step,E,var
0,-24.00000000,1.20e+1
100,-25.51280098,2.17e-1
200,-25.52273285,4.54e-2
300,-25.52373354,2.45e-2
400,-25.52425589,1.56e-2
500,-25.52444202,1.18e-2
600,-25.52468817,8.61e-3
700,-25.52470503,7.41e-3
800,-25.52478381,6.14e-3
900,-25.52486321,5.14e-3
1000,-25.52489120,4.48e-3
1100,-25.52482226,4.72e-3
1200,-25.52478080,4.77e-3
1300,-25.52494952,3.33e-3
1400,-25.52499671,2.78e-3
1500,-25.52499855,2.61e-3
1600,-25.52497865,2.60e-3
1700,-25.52498603,2.49e-3
1800,-25.52502489,2.10e-3
1900,-25.52502891,1.99e-3
2000,-25.52503687,1.86e-3
2100,-25.52504379,1.74e-3
2200,-25.52505272,1.62e-3
2300,-25.52506156,1.51e-3
2400,-25.52505946,1.50e-3
2500,-25.52506070,1.45e-3
2600,-25.52506155,1.41e-3
2700,-25.52507171,1.31e-3
2800,-25.52506784,1.30e-3
2900,-25.52507179,1.25e-3
3000,-25.52507921,1.18e-3
3100,-25.52508143,1.16e-3
3200,-25.52508224,1.14e-3
3300,-25.52508344,1.11e-3
3400,-25.52508447,1.10e-3
3500,-25.52508623,1.08e-3
3600,-25.52508832,1.05e-3
3700,-25.52508777,1.05e-3
3800,-25.52508829,1.04e-3
3900,-25.52508908,1.02e-3
4000,-25.52508819,1.03e-3
