t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4823	243
5	0	0.20	0.00	68750	243
10	0	1.32	0.00	369674	241
15	0	1.39	0.00	388760	240
20	0	1.44	0.00	401238	240
25	0	4.61	0.00	945254	233
30	0	7.81	0.00	1794247	228
36	0	11.07	0.00	2659785	223
41	0	14.37	0.00	3532818	218
47	0	17.77	0.00	4428489	213
52	0	21.12	0.00	5321904	210
58	0	24.52	0.00	6202703	207
63	0	27.86	0.00	7100361	204
69	0	30.70	0.00	7752413	205
74	0	30.70	0.00	7752734	202
80	0	30.70	0.00	7753175	199
86	0	30.70	0.00	7753495	195
92	0	30.70	0.00	7753783	191
98	0	30.70	0.00	7754009	188
104	0	30.70	0.00	7754325	184
110	0	30.70	0.00	7754653	180
117	0	34.07	0.00	8374231	171
123	2	35.48	0.00	9249897	164
129	2	36.60	0.00	9250978	161
135	2	36.62	0.00	9251902	159
141	2	36.66	0.00	9252501	157
147	100	36.69	0.00	9252804	156
153	100	36.75	0.00	9253341	157
160	100	36.79	0.00	9253915	154
166	100	36.84	0.00	9254407	154
172	100	36.89	0.00	9254768	154
