t_s	step	pid	cpu_s	stat	rss_mb
20	0	1491972	2	Rl	449
25	0	1491972	48	Rl	2948
31	0	1491972	101	Rl	2959
36	0	1491972	155	Sl	3539
41	0	1491972	212	Rl	3601
47	0	1491972	267	Sl	3716
52	0	1491972	324	Rl	3852
58	0	1491972	381	Rl	3832
63	0	1491972	437	Rl	3721
69	0	1492452	3	Rl	413
75	0	1492452	44	Sl	5047
75	0	1493025	4	Rl	421
80	0	1492452	44	Sl	5095
80	0	1493025	47	Sl	5042
80	0	1493260	4	Rl	419
86	0	1492452	44	Sl	5095
86	0	1493025	47	Sl	5075
86	0	1493260	46	Sl	4940
86	0	1493509	4	Rl	417
92	0	1492452	44	Sl	5095
92	0	1493025	47	Sl	5075
92	0	1493260	46	Sl	4940
92	0	1493509	46	Sl	5026
92	0	1493758	4	Rl	419
98	0	1492452	44	Sl	5095
98	0	1493025	47	Sl	5075
98	0	1493260	46	Sl	4940
98	0	1493509	46	Sl	5026
98	0	1493758	44	Sl	5034
98	0	1493992	4	Rl	424
104	0	1492452	44	Sl	5095
104	0	1493025	47	Sl	5075
104	0	1493260	46	Sl	4940
104	0	1493509	46	Sl	5026
104	0	1493758	44	Sl	5034
104	0	1493992	45	Sl	5015
104	0	1494229	4	Rl	413
110	0	1492452	44	Sl	5095
110	0	1493025	47	Sl	5075
110	0	1493260	46	Sl	4940
110	0	1493509	46	Sl	5026
110	0	1493758	44	Sl	5034
110	0	1493992	45	Sl	5015
110	0	1494229	46	Sl	5095
110	0	1494470	4	Rl	415
117	0	1492452	51	Rl	5009
117	0	1493025	54	Sl	5039
117	0	1493260	53	Sl	4952
117	0	1493509	54	Sl	5035
117	0	1493758	51	Sl	5088
117	0	1493992	52	Sl	5055
117	0	1494229	52	Sl	5141
117	0	1494470	32	Sl	3266
123	2	1492452	63	Rl	5084
123	2	1493025	67	Rl	4845
123	2	1493260	66	Sl	5317
123	2	1493509	65	Rl	5247
123	2	1493758	62	Rl	5288
123	2	1493992	64	Sl	5091
123	2	1494229	64	Sl	5209
123	2	1494470	68	Sl	5152
129	2	1492452	82	Rl	5266
129	2	1493025	84	Sl	5247
129	2	1493260	84	Sl	5048
129	2	1493509	83	Sl	5152
129	2	1493758	80	Sl	5329
129	2	1493992	82	Sl	5216
129	2	1494229	81	Sl	5280
129	2	1494470	85	Sl	5288
135	2	1492452	98	Rl	5777
135	2	1493025	102	Rl	5438
135	2	1493260	101	Sl	5154
135	2	1493509	100	Sl	5214
135	2	1493758	97	Sl	5427
135	2	1493992	98	Sl	5222
135	2	1494229	94	Rl	5260
135	2	1494470	97	Sl	5676
141	2	1492452	114	Sl	5597
141	2	1493025	119	Sl	5417
141	2	1493260	118	Sl	5218
141	2	1493509	118	Sl	5324
141	2	1493758	113	Sl	5466
141	2	1493992	115	Sl	5345
141	2	1494229	114	Rl	5700
141	2	1494470	114	Rl	5552
148	100	1492452	131	Sl	5643
148	100	1493025	136	Sl	5445
148	100	1493260	135	Sl	5302
148	100	1493509	134	Sl	5290
148	100	1493758	130	Rl	6124
148	100	1493992	126	Rl	5463
148	100	1494229	127	Rl	5490
148	100	1494470	131	Sl	5493
154	100	1492452	148	Sl	5702
154	100	1493025	152	Sl	5501
154	100	1493260	150	Rl	5516
154	100	1493509	146	Rl	5438
154	100	1493758	142	Sl	5549
154	100	1493992	143	Sl	5416
154	100	1494229	145	Sl	5522
154	100	1494470	148	Sl	5557
160	100	1492452	165	Rl	5737
160	100	1493025	165	Rl	5845
160	100	1493260	164	Rl	5575
160	100	1493509	163	Rl	5400
160	100	1493758	159	Sl	5643
160	100	1493992	161	Sl	5417
160	100	1494229	162	Sl	5604
160	100	1494470	165	Sl	5585
166	100	1492452	178	Rl	5523
166	100	1493025	182	Rl	5889
166	100	1493260	182	Rl	5652
166	100	1493509	180	Rl	5480
166	100	1493758	176	Sl	5697
166	100	1493992	178	Sl	5548
166	100	1494229	180	Sl	5657
166	100	1494470	182	Sl	5655
172	100	1492452	194	Sl	6072
172	100	1493025	199	Sl	5643
172	100	1493260	198	Sl	5438
172	100	1493509	197	Sl	5444
172	100	1493758	193	Sl	5732
172	100	1493992	195	Sl	5616
172	100	1494229	197	Sl	5714
172	100	1494470	199	Sl	5673
