t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.02	0.00	4912	240
5	0	0.20	0.00	68508	240
10	0	1.30	0.00	362451	239
15	0	1.40	0.00	388029	239
20	0	1.43	0.00	400852	240
25	0	4.14	0.00	815427	234
30	0	7.32	0.00	1680963	227
36	0	10.63	0.00	2546500	221
41	0	13.93	0.00	3417926	216
47	0	17.37	0.00	4352836	211
52	0	20.82	0.00	5256004	207
58	0	24.38	0.00	6186995	204
63	0	27.90	0.00	7136994	201
69	0	30.69	0.00	7752025	201
74	0	30.69	0.00	7752345	199
80	0	30.69	0.00	7752664	195
85	0	30.69	0.00	7753106	191
91	0	33.19	0.00	8250985	184
97	2	35.29	0.00	8421906	179
103	2	35.31	0.00	8422663	178
109	2	35.35	0.00	8423034	177
115	2	35.40	0.00	8423330	176
121	100	35.44	0.00	8423816	177
127	100	35.49	0.00	8424377	176
133	100	35.53	0.00	8424759	176
139	100	35.58	0.00	8425369	176
145	100	35.63	0.00	8425643	174
