t_s	step	pid	cpu_s	stat	rss_mb
20	0	1496386	2	Rl	184
25	0	1496386	40	Rl	2901
30	0	1496386	95	Sl	3209
36	0	1496386	149	Rl	3532
41	0	1496386	206	Rl	3663
47	0	1496386	263	Rl	3774
52	0	1496386	320	Sl	3847
58	0	1496386	379	Sl	3897
63	0	1496386	439	Rl	3969
69	0	1496825	3	Rl	471
74	0	1496825	35	Sl	5123
74	0	1497062	3	Rl	572
80	0	1496825	35	Sl	5123
80	0	1497062	35	Sl	5060
80	0	1497299	3	Rl	581
85	0	1496825	35	Sl	5123
85	0	1497062	35	Sl	5060
85	0	1497299	34	Sl	5077
85	0	1497535	3	Rl	571
91	0	1496825	46	Sl	5180
91	0	1497062	41	Sl	5104
91	0	1497299	40	Sl	5093
91	0	1497535	37	Rl	5126
97	2	1496825	69	Sl	5603
97	2	1497062	68	Rl	5382
97	2	1497299	67	Rl	5828
97	2	1497535	64	Sl	5450
103	2	1496825	103	Rl	5515
103	2	1497062	101	Rl	5372
103	2	1497299	99	Rl	5926
103	2	1497535	96	Rl	5465
109	2	1496825	134	Rl	5238
109	2	1497062	130	Rl	5820
109	2	1497299	126	Rl	5706
109	2	1497535	129	Rl	5691
115	2	1496825	166	Rl	5582
115	2	1497062	160	Rl	5683
115	2	1497299	156	Rl	5524
115	2	1497535	159	Sl	5847
121	100	1496825	192	Sl	5611
121	100	1497062	193	Rl	5789
121	100	1497299	190	Rl	5878
121	100	1497535	188	Sl	5859
127	100	1496825	220	Rl	5813
127	100	1497062	223	Rl	5785
127	100	1497299	219	Sl	5637
127	100	1497535	219	Rl	6260
133	100	1496825	251	Sl	5773
133	100	1497062	256	Sl	5804
133	100	1497299	246	Rl	5433
133	100	1497535	247	Rl	5846
139	100	1496825	279	Rl	5626
139	100	1497062	285	Sl	6180
139	100	1497299	279	Rl	5901
139	100	1497535	280	Rl	5866
145	100	1496825	313	Rl	6193
145	100	1497062	318	Rl	6055
145	100	1497299	307	Sl	6155
145	100	1497535	310	Sl	6118
