t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4882	243
5	0	0.21	0.00	68834	242
11	0	1.32	0.00	366312	241
16	0	1.41	0.00	393304	240
21	0	1.44	0.00	405428	241
26	0	4.03	0.00	782573	235
31	0	7.09	0.00	1610477	229
37	0	10.48	0.00	2511479	222
42	0	13.80	0.00	3392893	218
47	0	17.26	0.00	4319982	212
53	0	20.78	0.00	5223150	208
58	0	24.20	0.00	6126318	202
64	0	27.66	0.00	7063697	197
69	0	30.70	0.00	7756801	197
75	0	30.70	0.00	7757120	196
81	0	30.70	0.00	7757559	194
87	0	30.70	0.00	7757880	191
92	0	30.70	0.00	7758198	188
98	0	30.70	0.00	7758398	185
104	0	33.49	0.00	8228667	178
110	2	34.35	0.00	8903887	171
117	2	36.02	0.00	8980416	167
123	2	36.04	0.00	8980870	168
129	2	36.08	0.00	8981172	167
135	100	36.13	0.00	8981654	167
141	100	36.18	0.00	8981953	167
148	100	36.23	0.00	8982331	165
154	100	36.29	0.00	8982591	164
