t_s	step	pid	cpu_s	stat	rss_mb
21	0	1502801	1	RNl	27
26	0	1502801	38	RNl	2688
31	0	1502801	91	RNl	2986
37	0	1502801	148	RNl	3662
42	0	1502801	205	RNl	3711
47	0	1502801	263	SNl	3794
53	0	1502801	322	RNl	3657
58	0	1502801	380	RNl	3793
64	0	1502801	439	SNl	3964
69	0	1503232	2	RNl	391
75	0	1503232	40	SNl	5023
75	0	1503466	3	RNl	410
81	0	1503232	40	SNl	5023
81	0	1503466	41	SNl	5039
81	0	1503704	3	RNl	413
87	0	1503232	40	SNl	5023
87	0	1503466	41	SNl	5039
87	0	1503704	41	SNl	5009
87	0	1503938	4	RNl	407
93	0	1503232	40	SNl	5023
93	0	1503466	41	SNl	5039
93	0	1503704	41	SNl	5009
93	0	1503938	42	SNl	5061
93	0	1504172	4	RNl	413
98	0	1503232	40	SNl	5023
98	0	1503466	41	SNl	5039
98	0	1503704	41	SNl	5009
98	0	1503938	42	SNl	5061
98	0	1504172	40	SNl	5021
98	0	1504407	3	RNl	413
104	0	1503232	46	RNl	4879
104	0	1503466	47	SNl	5045
104	0	1503704	48	SNl	5048
104	0	1503938	49	SNl	5093
104	0	1504172	46	SNl	5105
104	0	1504407	33	RNl	4395
110	2	1503232	63	RNl	5448
110	2	1503466	64	SNl	5168
110	2	1503704	66	SNl	5096
110	2	1503938	67	SNl	5220
110	2	1504172	59	RNl	5280
110	2	1504407	63	RNl	5463
117	2	1503232	87	RNl	5501
117	2	1503466	87	RNl	5282
117	2	1503704	90	SNl	5227
117	2	1503938	91	SNl	5375
117	2	1504172	82	RNl	5275
117	2	1504407	87	SNl	5559
123	2	1503232	110	SNl	5297
123	2	1503466	112	SNl	5311
123	2	1503704	113	SNl	5311
123	2	1503938	114	SNl	5387
123	2	1504172	109	RNl	5838
123	2	1504407	111	RNl	5612
129	2	1503232	133	SNl	5362
129	2	1503466	135	SNl	5340
129	2	1503704	136	SNl	5441
129	2	1503938	136	RNl	5892
129	2	1504172	127	RNl	5546
129	2	1504407	134	RNl	5503
135	100	1503232	157	RNl	5631
135	100	1503466	159	RNl	5457
135	100	1503704	160	SNl	5565
135	100	1503938	161	RNl	6069
135	100	1504172	150	RNl	5318
135	100	1504407	158	RNl	5730
141	100	1503232	180	RNl	5610
141	100	1503466	182	SNl	5422
141	100	1503704	183	SNl	5621
141	100	1503938	185	SNl	5633
141	100	1504172	177	RNl	5852
141	100	1504407	182	SNl	5758
148	100	1503232	204	RNl	5646
148	100	1503466	206	SNl	5528
148	100	1503704	206	SNl	5696
148	100	1503938	208	RNl	6254
148	100	1504172	197	RNl	5412
148	100	1504407	205	RNl	5739
154	100	1503232	227	RNl	5660
154	100	1503466	230	SNl	5624
154	100	1503704	230	SNl	5763
154	100	1503938	232	SNl	5742
154	100	1504172	220	SNl	6017
154	100	1504407	229	SNl	5822
159	200	1503232	245	RNl	3736
159	200	1503704	248	RNl	4127
