t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4886	243
5	0	0.21	0.00	68763	243
11	0	1.31	0.00	363878	241
16	0	1.41	0.00	392047	240
21	0	1.45	0.00	403129	241
26	0	4.10	0.00	817827	234
31	0	7.30	0.00	1645732	230
37	0	10.51	0.00	2511271	223
42	0	13.80	0.00	3376807	219
47	0	17.25	0.00	4312878	213
53	0	20.79	0.00	5220775	209
58	0	24.28	0.00	6161575	204
64	0	27.73	0.00	7064983	197
69	0	30.71	0.00	7754425	198
75	0	30.71	0.00	7754744	198
80	0	30.71	0.00	7755062	198
86	0	30.71	0.00	7755501	197
91	0	30.71	0.00	7755816	196
97	0	30.71	0.00	7756133	194
103	0	30.71	0.00	7756654	192
109	0	31.42	0.00	7868811	188
114	2	35.54	0.00	8785670	179
120	2	35.82	0.00	8785814	177
126	2	36.23	0.00	9162815	174
131	2	36.53	0.00	9238116	171
137	2	36.54	0.00	9238371	169
143	2	36.55	0.00	9238663	167
149	2	36.57	0.00	9238992	167
155	2	36.60	0.00	9239169	167
160	100	36.62	0.00	9239485	165
166	100	36.67	0.00	9239638	165
172	100	36.69	0.00	9239868	164
177	100	36.72	0.00	9240119	162
183	100	36.75	0.00	9240198	163
189	100	36.78	0.00	9240398	163
195	100	36.81	0.00	9240581	162
200	200	36.84	0.00	9240677	161
206	200	36.87	0.00	9240838	162
212	200	36.90	0.00	9241054	161
217	200	36.94	0.00	9241131	161
223	200	36.97	0.00	9241168	162
229	200	37.00	0.00	9241301	162
234	300	35.55	0.29	9277300	163
