t_s	step	pid	cpu_s	stat	rss_mb
21	0	1452563	2	Rl	168
26	0	1452563	40	Sl	2898
31	0	1452563	94	Rl	3044
37	0	1452563	150	Rl	3471
42	0	1452563	205	Rl	3530
47	0	1452563	264	Sl	3766
53	0	1452563	323	Rl	3698
58	0	1452563	382	Rl	3894
64	0	1452563	442	Rl	3834
69	0	1453029	3	Rl	400
75	0	1453029	9	Sl	1517
75	0	1453215	3	Rl	621
80	0	1453029	16	Sl	2503
80	0	1453215	10	Sl	1584
80	0	1453383	4	Rl	945
86	0	1453029	20	Sl	3317
86	0	1453215	17	Sl	2568
86	0	1453383	11	Sl	1753
86	0	1453550	5	Rl	951
91	0	1453029	20	Sl	3317
91	0	1453215	20	Sl	3328
91	0	1453383	19	Sl	3298
91	0	1453550	11	Rl	1847
91	0	1453727	5	Rl	954
97	0	1453029	20	Sl	3317
97	0	1453215	20	Sl	3328
97	0	1453383	19	Sl	3298
97	0	1453550	19	Sl	3306
97	0	1453727	12	Rl	1993
97	0	1453896	6	Rl	966
103	0	1453029	20	Sl	3317
103	0	1453215	20	Sl	3328
103	0	1453383	19	Sl	3298
103	0	1453550	19	Sl	3306
103	0	1453727	19	Sl	3325
103	0	1453896	13	Rl	2004
103	0	1454099	7	Rl	1238
109	0	1453029	22	Sl	3341
109	0	1453215	21	Sl	3622
109	0	1453383	20	Sl	3592
109	0	1453550	20	Sl	3600
109	0	1453727	20	Sl	3619
109	0	1453896	23	Sl	3618
109	0	1454099	15	Rl	2403
109	0	1454254	8	Rl	1266
114	2	1453029	31	Sl	3576
114	2	1453215	30	Rl	3749
114	2	1453383	29	Rl	3965
114	2	1453550	29	Rl	3831
114	2	1453727	29	Rl	3760
114	2	1453896	32	Rl	3724
114	2	1454099	24	Rl	3976
114	2	1454254	14	Rl	2045
120	2	1453029	31	Sl	3576
120	2	1453215	30	Sl	3584
120	2	1453383	29	Sl	3531
120	2	1453550	30	Sl	3568
120	2	1453727	30	Sl	3564
120	2	1453896	33	Sl	3561
120	2	1454099	33	Sl	3560
120	2	1454254	25	Rl	3581
126	2	1453029	38	Sl	3667
