t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4902	244
5	0	0.20	0.00	69267	243
11	0	1.30	0.00	363669	241
16	0	1.41	0.00	394139	241
21	0	1.44	0.00	405439	241
26	0	4.32	0.00	857643	234
31	0	7.56	0.00	1723181	229
37	0	10.92	0.00	2626351	223
42	0	14.22	0.00	3522253	216
47	0	17.68	0.00	4432687	213
53	0	21.21	0.00	5335855	209
58	0	24.70	0.00	6276655	205
64	0	28.22	0.00	7217455	201
69	0	30.70	0.00	7756611	202
75	0	30.70	0.00	7756933	201
80	0	30.70	0.00	7757251	201
86	0	30.70	0.00	7757695	199
91	0	30.70	0.00	7758013	197
97	0	30.70	0.00	7758530	194
103	0	30.70	0.00	7758856	191
109	0	33.62	0.00	8271037	185
115	2	35.56	0.00	8777601	176
120	2	35.84	0.00	8828658	175
126	2	36.25	0.00	9154720	173
131	2	36.55	0.00	9230012	170
137	2	36.56	0.00	9230200	167
143	2	36.58	0.00	9230421	167
149	2	36.59	0.00	9230604	166
154	2	36.62	0.00	9230852	166
160	100	36.64	0.00	9231023	164
166	100	36.69	0.00	9231326	163
171	100	36.72	0.00	9231461	164
177	100	36.74	0.00	9231740	164
183	100	36.77	0.00	9231821	163
189	100	36.80	0.00	9231915	163
194	200	36.83	0.00	9267107	162
