t_s	step	pid	cpu_s	stat	rss_mb
11	0	1462106	0	Ss	3
16	0	1462106	0	Ss	3
21	0	1462106	0	Ss	3
21	0	1462516	2	Rl	384
26	0	1462106	0	Ss	3
26	0	1462516	43	Rl	2709
31	0	1462106	0	Ss	3
31	0	1462516	99	Rl	3120
37	0	1462106	0	Ss	3
37	0	1462516	155	Sl	3612
42	0	1462106	0	Ss	3
42	0	1462516	213	Sl	3737
47	0	1462106	0	Ss	3
47	0	1462516	270	Sl	3788
53	0	1462106	0	Ss	3
53	0	1462516	330	Rl	3729
58	0	1462106	0	Ss	3
58	0	1462516	388	Sl	3902
64	0	1462106	0	Ss	3
64	0	1462516	449	Rl	3982
70	0	1462106	0	Ss	3
70	0	1463069	3	Rl	619
75	0	1462106	0	Ss	3
75	0	1463069	10	Rl	1671
75	0	1463238	4	Rl	950
80	0	1462106	0	Ss	3
80	0	1463069	18	Sl	2627
80	0	1463238	11	Rl	1793
80	0	1463427	5	Rl	951
86	0	1462106	0	Ss	3
86	0	1463069	21	Sl	3333
86	0	1463238	20	Rl	3017
86	0	1463427	11	Sl	1820
86	0	1463598	5	Rl	953
91	0	1462106	0	Ss	3
91	0	1463069	21	Sl	3333
91	0	1463238	20	Sl	3324
91	0	1463427	21	Sl	2711
91	0	1463598	12	Rl	1853
91	0	1463805	6	Rl	961
97	0	1462106	0	Ss	3
97	0	1463069	21	Sl	3333
97	0	1463238	20	Sl	3324
97	0	1463427	21	Sl	3323
97	0	1463598	20	Sl	3296
97	0	1463805	13	Rl	2077
97	0	1463978	7	Rl	1232
103	0	1462106	0	Ss	3
103	0	1463069	21	Sl	3333
103	0	1463238	20	Sl	3324
103	0	1463427	21	Sl	3323
103	0	1463598	20	Sl	3296
103	0	1463805	22	Sl	3347
103	0	1463978	14	Sl	2280
103	0	1464156	8	Sl	1310
103	0	1464318	2	Rl	383
109	0	1462106	0	Ss	3
109	0	1463069	25	Sl	3392
109	0	1463238	23	Sl	3338
109	0	1463427	24	Sl	3346
109	0	1463598	23	Sl	3348
109	0	1463805	25	Sl	3371
109	0	1463978	22	Sl	3338
109	0	1464156	15	Sl	2273
109	0	1464318	8	Rl	1408
115	2	1462106	0	Ss	3
115	2	1463069	31	Sl	3560
115	2	1463238	30	Sl	3536
115	2	1463427	31	Sl	3502
115	2	1463598	30	Sl	3526
115	2	1463805	32	Sl	3600
115	2	1463978	30	Sl	3533
115	2	1464156	25	Sl	3435
115	2	1464318	15	Sl	2188
120	2	1462106	0	Ss	3
120	2	1463069	31	Sl	3560
120	2	1463238	30	Sl	3536
120	2	1463427	31	Sl	3502
120	2	1463598	30	Sl	3526
120	2	1463805	32	Sl	3600
120	2	1463978	30	Sl	3533
120	2	1464156	35	Sl	3586
120	2	1464318	26	Sl	3664
126	2	1462106	0	Ss	3
126	2	1463069	40	Sl	3719
126	2	1463238	39	Sl	3685
126	2	1463427	39	Sl	3659
126	2	1463598	38	Sl	3670
126	2	1463805	39	Sl	3664
126	2	1463978	36	Sl	3618
126	2	1464156	41	Sl	3637
126	2	1464318	36	Rl	3844
131	2	1462106	0	Ss	3
131	2	1463069	49	Sl	3845
131	2	1463238	48	Sl	3771
131	2	1463427	48	Sl	3767
131	2	1463598	47	Sl	3803
131	2	1463805	48	Sl	3780
131	2	1463978	45	Sl	3775
131	2	1464156	50	Rl	3801
131	2	1464318	45	Rl	4048
137	2	1462106	0	Ss	3
137	2	1463069	58	Sl	3997
137	2	1463238	57	Sl	3906
137	2	1463427	57	Rl	3919
137	2	1463598	56	Sl	3925
137	2	1463805	57	Rl	4005
137	2	1463978	55	Rl	4042
137	2	1464156	60	Rl	4021
137	2	1464318	55	Sl	3813
143	2	1462106	0	Ss	3
143	2	1463069	67	Sl	4103
143	2	1463238	66	Sl	4016
143	2	1463427	66	Sl	4018
143	2	1463598	66	Sl	4028
143	2	1463805	67	Rl	4164
143	2	1463978	65	Rl	4172
143	2	1464156	70	Rl	4165
143	2	1464318	64	Sl	3966
149	2	1462106	0	Ss	3
149	2	1463069	76	Rl	4265
149	2	1463238	75	Rl	4216
149	2	1463427	76	Rl	4213
149	2	1463598	75	Rl	4190
149	2	1463805	76	Sl	4056
149	2	1463978	74	Sl	4069
149	2	1464156	79	Sl	4095
149	2	1464318	74	Sl	4078
154	2	1462106	0	Ss	3
154	2	1463069	86	Rl	4240
154	2	1463238	84	Rl	4161
154	2	1463427	85	Rl	4330
154	2	1463598	85	Rl	4355
154	2	1463805	85	Sl	4110
154	2	1463978	83	Sl	4127
154	2	1464156	88	Sl	4146
154	2	1464318	83	Sl	4195
160	100	1462106	0	Ss	3
160	100	1463069	95	Sl	4245
160	100	1463238	93	Sl	4195
160	100	1463427	94	Sl	4212
160	100	1463598	94	Rl	4169
160	100	1463805	94	Rl	4199
160	100	1463978	92	Sl	4175
160	100	1464156	97	Rl	4206
160	100	1464318	92	Sl	4241
166	100	1462106	0	Ss	3
166	100	1463069	104	Sl	4283
166	100	1463238	102	Sl	4214
166	100	1463427	103	Sl	4258
166	100	1463598	103	Sl	4196
166	100	1463805	103	Sl	4258
166	100	1463978	101	Sl	4224
166	100	1464156	106	Sl	4250
166	100	1464318	101	Sl	4302
171	100	1462106	0	Ss	3
171	100	1463069	113	Sl	4293
171	100	1463238	111	Sl	4252
171	100	1463427	112	Rl	4305
171	100	1463598	112	Sl	4225
171	100	1463805	112	Rl	4535
171	100	1463978	111	Sl	4537
171	100	1464156	115	Sl	4273
171	100	1464318	111	Rl	4591
177	100	1462106	0	Ss	3
177	100	1463069	122	Sl	4326
177	100	1463238	120	Sl	4304
177	100	1463427	121	Sl	4340
177	100	1463598	121	Sl	4253
177	100	1463805	122	Rl	4539
177	100	1463978	120	Rl	4351
177	100	1464156	125	Rl	4457
177	100	1464318	120	Rl	4533
183	100	1462106	0	Ss	3
183	100	1463069	131	Rl	4469
183	100	1463238	129	Rl	4439
183	100	1463427	131	Sl	4660
183	100	1463598	130	Rl	4405
183	100	1463805	131	Sl	4394
183	100	1463978	130	Sl	4290
183	100	1464156	135	Rl	4488
183	100	1464318	129	Sl	4451
189	100	1462106	0	Ss	3
189	100	1463069	141	Rl	4424
189	100	1463238	139	Rl	4421
189	100	1463427	140	Rl	4486
189	100	1463598	140	Sl	4418
189	100	1463805	140	Sl	4454
189	100	1463978	139	Sl	4317
189	100	1464156	144	Sl	4407
189	100	1464318	139	Sl	4515
194	200	1462106	0	Ss	3
194	200	1463069	150	Sl	4412
194	200	1463238	148	Rl	4412
194	200	1463427	150	Rl	4519
194	200	1463598	149	Sl	4448
194	200	1463805	149	Sl	4489
194	200	1463978	148	Sl	4362
194	200	1464156	153	Sl	4410
194	200	1464318	148	Sl	4536
