t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4905	244
5	0	0.20	0.00	69308	243
10	0	1.30	0.00	363467	241
15	0	1.41	0.00	393244	241
21	0	1.43	0.00	403551	241
26	0	3.99	0.00	780810	234
31	0	7.10	0.00	1608715	229
36	0	10.34	0.00	2474254	223
41	0	13.64	0.00	3339790	219
47	0	17.04	0.00	4242958	213
52	0	20.39	0.00	5137921	210
58	0	23.69	0.00	6011662	207
63	0	27.14	0.00	6914830	204
69	0	30.69	0.00	7755042	203
75	0	30.69	0.00	7755362	204
80	0	30.69	0.00	7755680	203
86	0	30.69	0.00	7756119	201
91	0	30.69	0.00	7756434	199
97	0	30.69	0.00	7756750	197
102	0	30.69	0.00	7757065	194
107	0	30.69	0.00	7757395	193
113	2	34.54	0.00	8711043	181
119	2	35.83	0.00	8786492	177
124	2	35.84	0.00	9088318	176
130	2	36.54	0.00	9238973	173
136	2	36.55	0.00	9239185	171
141	2	36.56	0.00	9239466	169
147	2	36.58	0.00	9239822	167
153	2	36.60	0.00	9240077	166
158	100	36.62	0.00	9240451	164
164	100	36.66	0.00	9240652	165
170	100	36.70	0.00	9240820	165
176	100	36.73	0.00	9240979	165
181	100	36.75	0.00	9241239	164
187	100	36.78	0.00	9241367	163
193	100	36.81	0.00	9241479	162
199	200	36.84	0.00	9241700	163
204	200	36.87	0.00	9241818	163
210	200	36.91	0.00	9241897	162
216	200	36.94	0.00	9242096	161
221	200	36.97	0.00	9242156	161
227	200	36.99	0.00	9242336	160
233	200	37.03	0.00	9242394	159
239	300	37.06	0.00	9242460	161
244	300	37.09	0.00	9242524	160
250	300	37.11	0.00	9242565	159
256	300	37.14	0.00	9242631	159
261	300	37.18	0.00	9242681	159
267	300	37.21	0.00	9242842	160
273	300	37.24	0.00	9242897	159
