t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4882	243
5	0	0.21	0.00	68920	243
10	0	1.32	0.00	365980	241
15	0	1.40	0.00	391230	240
20	0	1.43	0.00	402894	241
25	0	4.21	0.00	855099	234
30	0	7.47	0.00	1720635	227
36	0	10.86	0.00	2612743	221
41	0	14.26	0.00	3526972	216
47	0	17.68	0.00	4430140	210
52	0	21.11	0.00	5333308	207
58	0	24.54	0.00	6202605	203
63	0	27.97	0.00	7138390	200
69	0	30.69	0.00	7754064	200
74	0	30.69	0.00	7754388	200
80	0	30.69	0.00	7754707	199
85	0	30.69	0.00	7755155	198
91	0	30.69	0.00	7755476	196
96	0	30.69	0.00	7755798	194
102	0	30.69	0.00	7756216	191
108	0	31.29	0.00	7869007	186
114	2	35.55	0.00	8787607	178
119	2	35.83	0.00	8787751	176
125	2	36.24	0.00	9165349	172
131	2	36.54	0.00	9240726	170
136	2	36.55	0.00	9241061	169
142	2	36.56	0.00	9241434	167
148	2	36.58	0.00	9241791	167
154	2	36.61	0.00	9242140	166
159	100	36.63	0.00	9242349	168
165	100	35.19	0.29	9272823	169
