t_s	step	pid	cpu_s	stat	rss_mb
20	0	1466759	2	Rl	356
25	0	1466759	42	Rl	2925
31	0	1466759	97	Rl	3195
36	0	1466759	155	Sl	3600
41	0	1466759	213	Sl	3678
47	0	1466759	270	Sl	3778
52	0	1466759	327	Sl	3869
58	0	1466759	384	Rl	3831
63	0	1466759	441	Sl	3937
69	0	1467223	3	Rl	450
74	0	1467223	9	Rl	1572
74	0	1467398	4	Rl	669
80	0	1467223	17	Sl	2590
80	0	1467398	10	Sl	1700
80	0	1467570	5	Rl	950
85	0	1467223	20	Sl	3331
85	0	1467398	19	Sl	2677
85	0	1467570	11	Rl	1730
85	0	1467739	5	Rl	952
91	0	1467223	20	Sl	3331
91	0	1467398	20	Sl	3332
91	0	1467570	20	Sl	2607
91	0	1467739	11	Rl	1889
91	0	1467947	5	Rl	954
96	0	1467223	20	Sl	3331
96	0	1467398	20	Sl	3332
96	0	1467570	22	Sl	3317
96	0	1467739	21	Rl	3062
96	0	1467947	12	Rl	1956
96	0	1468119	6	Rl	960
102	0	1467223	20	Sl	3331
102	0	1467398	20	Sl	3332
102	0	1467570	22	Sl	3317
102	0	1467739	21	Sl	3348
102	0	1467947	20	Sl	3329
102	0	1468119	13	Rl	2051
102	0	1468290	7	Rl	1220
108	0	1467223	22	Sl	3354
108	0	1467398	21	Sl	3626
108	0	1467570	23	Sl	3611
108	0	1467739	22	Sl	3642
108	0	1467947	21	Sl	3623
108	0	1468119	22	Sl	3610
108	0	1468290	14	Sl	2232
108	0	1468459	8	Sl	1269
114	2	1467223	30	Sl	3595
114	2	1467398	30	Rl	3853
114	2	1467570	32	Rl	3657
114	2	1467739	31	Rl	3813
114	2	1467947	30	Sl	3585
114	2	1468119	32	Rl	3686
114	2	1468290	24	Rl	3430
114	2	1468459	14	Sl	2019
119	2	1467223	30	Sl	3595
119	2	1467398	31	Sl	3585
119	2	1467570	33	Sl	3524
119	2	1467739	31	Sl	3542
119	2	1467947	30	Sl	3585
119	2	1468119	32	Sl	3511
119	2	1468290	35	Rl	3778
119	2	1468459	25	Rl	3604
125	2	1467223	38	Sl	3653
125	2	1467398	38	Sl	3659
125	2	1467570	39	Sl	3604
125	2	1467739	38	Sl	3626
125	2	1467947	36	Sl	3635
125	2	1468119	37	Sl	3914
125	2	1468290	40	Sl	3966
125	2	1468459	35	Sl	3528
131	2	1467223	47	Sl	3785
131	2	1467398	47	Sl	3781
131	2	1467570	49	Sl	3766
131	2	1467739	47	Sl	3763
131	2	1467947	46	Sl	4063
131	2	1468119	47	Rl	3963
131	2	1468290	50	Rl	3881
131	2	1468459	44	Sl	3663
136	2	1467223	56	Sl	3936
136	2	1467398	56	Sl	3903
136	2	1467570	58	Rl	3999
136	2	1467739	56	Sl	4173
136	2	1467947	56	Rl	3967
136	2	1468119	57	Rl	3852
136	2	1468290	60	Sl	3892
136	2	1468459	54	Sl	3777
142	2	1467223	66	Sl	4321
142	2	1467398	66	Rl	4269
142	2	1467570	68	Rl	4216
142	2	1467739	66	Rl	4029
142	2	1467947	65	Rl	4131
142	2	1468119	66	Sl	3918
142	2	1468290	69	Sl	3958
142	2	1468459	63	Sl	3889
148	2	1467223	75	Rl	4158
148	2	1467398	75	Rl	4067
148	2	1467570	78	Rl	4367
148	2	1467739	76	Rl	4136
148	2	1467947	75	Sl	4039
148	2	1468119	75	Sl	3970
148	2	1468290	78	Sl	4047
148	2	1468459	73	Sl	3987
154	2	1467223	85	Rl	4337
154	2	1467398	85	Rl	4104
154	2	1467570	87	Sl	4199
154	2	1467739	85	Sl	4091
154	2	1467947	84	Sl	4084
154	2	1468119	85	Sl	4057
154	2	1468290	88	Sl	4102
154	2	1468459	82	Sl	4062
159	100	1467223	94	Sl	4147
159	100	1467398	94	Sl	4129
159	100	1467570	96	Sl	4253
159	100	1467739	94	Sl	4126
159	100	1467947	93	Sl	4130
159	100	1468119	94	Sl	4133
159	100	1468290	97	Sl	4152
159	100	1468459	91	Sl	4141
165	100	1467223	103	Sl	4192
165	100	1467398	100	Sl	4169
165	100	1467570	103	Sl	4303
165	100	1467739	101	Sl	4154
165	100	1467947	101	Sl	4190
165	100	1468119	102	Sl	4161
165	100	1468290	105	Sl	4207
165	100	1468459	101	Rl	4795
