t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4913	243
5	0	0.21	0.00	68724	243
10	0	1.30	0.00	360474	241
15	0	1.40	0.00	388121	240
20	0	1.44	0.00	403131	241
25	0	4.13	0.00	817706	234
31	0	7.18	0.00	1611712	230
36	0	10.36	0.00	2473518	225
41	0	13.75	0.00	3376686	220
47	0	17.09	0.00	4242468	215
52	0	20.55	0.00	5183022	208
58	0	24.10	0.00	6089933	204
63	0	27.56	0.00	7011177	201
69	0	30.70	0.00	7754321	201
75	0	30.70	0.00	7754643	199
81	0	30.70	0.00	7755085	196
86	0	30.70	0.00	7755407	193
92	0	30.70	0.00	7755726	189
98	0	30.70	0.00	7755924	185
104	0	33.48	0.00	8229679	177
110	2	35.95	0.00	8902619	173
116	2	36.02	0.00	8979383	169
122	2	36.04	0.00	9055981	167
128	2	36.08	0.00	9056450	166
134	100	36.13	0.00	9056762	166
140	100	36.18	0.00	9057381	165
147	100	36.22	0.00	9057817	165
153	100	36.27	0.00	9058422	165
159	100	36.33	0.00	9058765	166
