t_s	step	pid	cpu_s	stat	rss_mb
20	0	1512187	2	Rl	169
25	0	1512187	40	Sl	2880
31	0	1512187	92	Rl	3204
36	0	1512187	147	Rl	3522
41	0	1512187	202	Sl	3732
47	0	1512187	259	Rl	3736
52	0	1512187	317	Rl	3743
58	0	1512187	376	Rl	3902
63	0	1512187	434	Sl	4012
69	0	1512681	2	Rl	388
75	0	1512681	39	Sl	5130
75	0	1512920	3	Rl	393
81	0	1512681	39	Sl	5130
81	0	1512920	42	Sl	4986
81	0	1513156	4	Rl	407
86	0	1512681	39	Sl	5130
86	0	1512920	42	Sl	4986
86	0	1513156	41	Sl	5080
86	0	1513391	3	Rl	413
92	0	1512681	39	Sl	5130
92	0	1512920	42	Sl	4986
92	0	1513156	41	Sl	5080
92	0	1513391	40	Sl	5029
92	0	1513638	4	Rl	415
98	0	1512681	39	Sl	5130
98	0	1512920	42	Sl	4986
98	0	1513156	41	Sl	5080
98	0	1513391	40	Sl	5029
98	0	1513638	40	Sl	5022
98	0	1513874	4	Rl	430
104	0	1512681	46	Rl	5051
104	0	1512920	49	Sl	5040
104	0	1513156	48	Sl	5107
104	0	1513391	47	Sl	5077
104	0	1513638	47	Sl	5136
104	0	1513874	39	Rl	4802
110	2	1512681	63	Rl	5477
110	2	1512920	66	Sl	5110
110	2	1513156	65	Sl	5155
110	2	1513391	64	Sl	5190
110	2	1513638	60	Rl	5091
110	2	1513874	62	Rl	5421
116	2	1512681	85	Sl	5273
116	2	1512920	89	Sl	5170
116	2	1513156	84	Rl	4960
116	2	1513391	82	Sl	5570
116	2	1513638	80	Sl	5342
116	2	1513874	84	Sl	5269
122	2	1512681	104	Rl	5329
122	2	1512920	108	Rl	5528
122	2	1513156	106	Rl	5593
122	2	1513391	104	Rl	5449
122	2	1513638	103	Sl	5415
122	2	1513874	106	Sl	5344
128	2	1512681	127	Rl	5272
128	2	1512920	130	Sl	5295
128	2	1513156	129	Sl	5440
128	2	1513391	127	Sl	5463
128	2	1513638	125	Sl	5509
128	2	1513874	129	Sl	5384
134	100	1512681	148	Rl	5603
134	100	1512920	154	Sl	5395
134	100	1513156	152	Sl	5569
134	100	1513391	150	Sl	5560
134	100	1513638	142	Sl	5851
134	100	1513874	146	Sl	5732
140	100	1512681	171	Rl	5618
140	100	1512920	177	Sl	5486
140	100	1513156	175	Rl	5920
140	100	1513391	169	Rl	5329
140	100	1513638	165	Sl	5905
140	100	1513874	169	Rl	5655
147	100	1512681	194	Sl	5592
147	100	1512920	201	Sl	5595
147	100	1513156	198	Sl	5639
147	100	1513391	192	Rl	5615
147	100	1513638	188	Sl	5948
147	100	1513874	192	Sl	5523
153	100	1512681	216	Sl	5626
153	100	1512920	224	Rl	6227
153	100	1513156	216	Rl	5563
153	100	1513391	215	Rl	5969
153	100	1513638	210	Rl	5741
153	100	1513874	215	Sl	5551
159	100	1512681	239	Sl	5682
159	100	1512920	242	Rl	5766
159	100	1513156	238	Sl	5701
159	100	1513391	237	Sl	5725
159	100	1513638	232	Sl	5754
159	100	1513874	237	Sl	5623
