t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4913	243
5	0	0.20	0.00	70552	243
10	0	1.32	0.00	369491	241
15	0	1.40	0.00	390025	240
20	0	1.44	0.00	404167	241
26	0	4.46	0.00	929815	233
31	0	7.76	0.00	1767800	227
36	0	11.06	0.00	2662714	221
42	0	14.46	0.00	3565882	217
47	0	17.88	0.00	4469050	212
53	0	21.40	0.00	5380392	208
58	0	24.85	0.00	6313018	205
64	0	28.43	0.00	7253818	202
69	0	30.70	0.00	7755342	202
75	0	30.70	0.00	7755664	202
80	0	30.70	0.00	7755985	202
86	0	30.70	0.00	7756428	200
91	0	30.70	0.00	7756745	197
97	0	30.70	0.00	7757235	196
103	0	30.70	0.00	7757588	193
109	0	33.61	0.00	8238636	186
114	2	35.56	0.00	8784931	178
120	2	35.84	0.00	8785076	176
125	2	36.25	0.00	9162240	173
131	2	36.54	0.00	9237589	171
137	2	36.56	0.00	9237875	169
143	2	36.57	0.00	9238271	167
148	2	36.59	0.00	9238536	167
154	2	36.61	0.00	9238838	166
160	100	36.64	0.00	9239216	165
165	100	35.19	0.29	9270945	166
