t_s	step	pid	cpu_s	stat	rss_mb
20	0	1481378	2	Rl	423
26	0	1481378	46	Rl	2972
31	0	1481378	100	Rl	3261
36	0	1481378	155	Rl	3476
42	0	1481378	212	Rl	3719
47	0	1481378	270	Sl	3782
53	0	1481378	329	Rl	3809
58	0	1481378	388	Rl	3748
64	0	1481378	446	Sl	3968
69	0	1481833	4	Rl	655
75	0	1481833	10	Rl	1689
75	0	1482004	4	Rl	950
80	0	1481833	19	Sl	2644
80	0	1482004	11	Sl	1774
80	0	1482180	5	Rl	952
86	0	1481833	21	Sl	3361
86	0	1482004	20	Sl	2722
86	0	1482180	12	Rl	1827
86	0	1482350	5	Rl	954
91	0	1481833	21	Sl	3361
91	0	1482004	21	Sl	3320
91	0	1482180	20	Sl	3297
91	0	1482350	12	Rl	1890
91	0	1482522	6	Rl	968
97	0	1481833	21	Sl	3361
97	0	1482004	21	Sl	3320
97	0	1482180	20	Sl	3297
97	0	1482350	21	Sl	3344
97	0	1482522	13	Sl	2080
97	0	1482693	7	Rl	1210
103	0	1481833	21	Sl	3361
103	0	1482004	21	Sl	3320
103	0	1482180	20	Sl	3297
103	0	1482350	21	Sl	3344
103	0	1482522	20	Sl	3293
103	0	1482693	14	Rl	2190
103	0	1482862	8	Rl	1299
103	0	1483026	2	Rl	390
109	0	1481833	25	Sl	3394
109	0	1482004	23	Sl	3345
109	0	1482180	22	Sl	3338
109	0	1482350	23	Sl	3348
109	0	1482522	22	Sl	3299
109	0	1482693	25	Rl	3333
109	0	1482862	15	Sl	2312
109	0	1483026	9	Sl	1376
114	2	1481833	31	Sl	3531
114	2	1482004	31	Sl	3611
114	2	1482180	30	Sl	3546
114	2	1482350	31	Sl	3564
114	2	1482522	30	Sl	3517
114	2	1482693	33	Sl	3511
114	2	1482862	25	Rl	3447
114	2	1483026	15	Sl	2125
120	2	1481833	31	Sl	3531
120	2	1482004	31	Sl	3611
120	2	1482180	30	Sl	3546
120	2	1482350	31	Sl	3564
120	2	1482522	30	Sl	3517
120	2	1482693	33	Sl	3511
120	2	1482862	35	Sl	3571
120	2	1483026	26	Rl	3594
125	2	1481833	39	Sl	3656
125	2	1482004	39	Sl	3743
125	2	1482180	37	Sl	3665
125	2	1482350	39	Sl	3650
125	2	1482522	36	Sl	3631
125	2	1482693	39	Sl	3574
125	2	1482862	40	Sl	3638
125	2	1483026	36	Rl	3899
131	2	1481833	48	Sl	3756
131	2	1482004	48	Sl	3864
131	2	1482180	46	Sl	3773
131	2	1482350	47	Sl	3763
131	2	1482522	45	Sl	3810
131	2	1482693	48	Rl	4010
131	2	1482862	50	Rl	3869
131	2	1483026	45	Sl	3690
137	2	1481833	57	Sl	3896
137	2	1482004	57	Sl	3993
137	2	1482180	55	Sl	3886
137	2	1482350	57	Rl	3894
137	2	1482522	55	Rl	4227
137	2	1482693	58	Rl	3914
137	2	1482862	59	Rl	3883
137	2	1483026	55	Sl	3779
143	2	1481833	66	Sl	4005
143	2	1482004	66	Rl	4377
143	2	1482180	64	Rl	4136
143	2	1482350	67	Rl	4288
143	2	1482522	65	Rl	4126
143	2	1482693	67	Rl	4181
143	2	1482862	69	Sl	3936
143	2	1483026	64	Sl	3899
148	2	1481833	76	Rl	4230
148	2	1482004	76	Rl	4265
148	2	1482180	74	Rl	4157
148	2	1482350	76	Rl	4688
148	2	1482522	74	Rl	4415
148	2	1482693	77	Rl	4008
148	2	1482862	79	Sl	4037
148	2	1483026	74	Sl	3961
154	2	1481833	85	Rl	4430
154	2	1482004	85	Rl	4278
154	2	1482180	83	Rl	4181
154	2	1482350	85	Sl	4140
154	2	1482522	83	Sl	4164
154	2	1482693	86	Sl	4067
154	2	1482862	88	Sl	4093
154	2	1483026	83	Sl	4054
160	100	1481833	94	Sl	4229
160	100	1482004	94	Sl	4244
160	100	1482180	92	Sl	4154
160	100	1482350	94	Sl	4185
160	100	1482522	92	Sl	4201
160	100	1482693	95	Sl	4109
160	100	1482862	97	Sl	4154
160	100	1483026	93	Rl	4103
165	100	1481833	103	Sl	4264
165	100	1482004	101	Sl	4288
165	100	1482180	98	Sl	4214
165	100	1482350	101	Sl	4215
165	100	1482522	99	Sl	4253
165	100	1482693	103	Sl	4133
165	100	1482862	105	Sl	4186
165	100	1483026	102	Rl	4438
