t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4846	243
5	0	0.20	0.00	68756	243
10	0	1.31	0.00	364450	241
15	0	1.40	0.00	391265	241
21	0	1.43	0.00	402172	241
26	0	4.02	0.00	813240	235
31	0	7.31	0.00	1644779	227
36	0	10.61	0.00	2539900	222
42	0	13.93	0.00	3413484	217
47	0	17.37	0.00	4320109	212
53	0	20.82	0.00	5257452	209
58	0	24.41	0.00	6198252	203
64	0	27.96	0.00	7139052	199
69	0	30.69	0.00	7753471	200
75	0	30.69	0.00	7753793	200
80	0	30.69	0.00	7754110	199
86	0	30.69	0.00	7754552	198
91	0	30.69	0.00	7754871	197
97	0	30.69	0.00	7755190	196
102	0	30.69	0.00	7755507	192
108	0	30.69	0.00	7755993	190
113	2	35.23	0.00	8780341	180
119	2	35.80	0.00	8780493	178
124	2	35.83	0.00	9127400	175
130	2	36.51	0.00	9233056	171
136	2	36.52	0.00	9233202	170
142	2	36.54	0.00	9233658	168
147	2	36.56	0.00	9233967	167
153	2	36.58	0.00	9234220	166
159	100	36.60	0.00	9234459	165
164	100	35.17	0.00	9263808	169
