t_s	step	pid	cpu_s	stat	rss_mb
21	0	1470760	2	Rl	58
26	0	1470760	39	Rl	2880
31	0	1470760	94	Rl	3145
36	0	1470760	149	Rl	3554
42	0	1470760	203	Rl	3405
47	0	1470760	263	Rl	3677
53	0	1470760	320	Sl	3821
58	0	1470760	379	Sl	3875
64	0	1470760	439	Rl	3941
69	0	1471256	3	Rl	477
75	0	1471256	9	Rl	1565
75	0	1471425	4	Rl	794
80	0	1471256	18	Sl	2594
80	0	1471425	10	Sl	1693
80	0	1471596	5	Rl	950
86	0	1471256	20	Sl	3350
86	0	1471425	18	Sl	2580
86	0	1471596	11	Sl	1764
86	0	1471799	5	Rl	950
91	0	1471256	20	Sl	3350
91	0	1471425	21	Sl	3323
91	0	1471596	20	Sl	2658
91	0	1471799	11	Rl	1804
91	0	1471970	5	Rl	954
97	0	1471256	20	Sl	3350
97	0	1471425	21	Sl	3323
97	0	1471596	21	Sl	3293
97	0	1471799	21	Sl	2725
97	0	1471970	12	Rl	1900
97	0	1472143	6	Rl	960
102	0	1471256	20	Sl	3350
102	0	1471425	21	Sl	3323
102	0	1471596	21	Sl	3293
102	0	1471799	22	Sl	3333
102	0	1471970	21	Sl	3350
102	0	1472143	13	Rl	2094
102	0	1472315	6	Rl	968
108	0	1471256	20	Rl	3413
108	0	1471425	21	Sl	3323
108	0	1471596	21	Sl	3293
108	0	1471799	22	Sl	3333
108	0	1471970	21	Sl	3350
108	0	1472143	21	Sl	3306
108	0	1472315	13	Rl	2041
108	0	1472491	6	Rl	1042
113	2	1471256	30	Sl	3564
113	2	1471425	29	Sl	3481
113	2	1471596	29	Sl	3434
113	2	1471799	30	Rl	3486
113	2	1471970	30	Sl	3484
113	2	1472143	29	Sl	3446
113	2	1472315	22	Sl	3371
113	2	1472491	13	Rl	1917
119	2	1471256	30	Sl	3585
119	2	1471425	31	Sl	3544
119	2	1471596	31	Sl	3493
119	2	1471799	32	Sl	3546
119	2	1471970	32	Sl	3539
119	2	1472143	31	Sl	3509
119	2	1472315	32	Sl	3489
119	2	1472491	23	Sl	2698
124	2	1471256	35	Sl	3942
124	2	1471425	37	Rl	3633
124	2	1471596	36	Sl	3897
124	2	1471799	37	Sl	3622
124	2	1471970	36	Sl	3629
124	2	1472143	36	Rl	4166
124	2	1472315	39	Rl	3737
124	2	1472491	33	Sl	3424
130	2	1471256	45	Rl	4060
130	2	1471425	47	Sl	4084
130	2	1471596	46	Rl	4008
130	2	1471799	46	Rl	3823
130	2	1471970	46	Sl	3817
130	2	1472143	45	Sl	3682
130	2	1472315	48	Sl	3726
130	2	1472491	43	Sl	3625
136	2	1471256	55	Rl	3976
136	2	1471425	56	Rl	4000
136	2	1471596	56	Rl	4188
136	2	1471799	56	Sl	3880
136	2	1471970	55	Sl	3969
136	2	1472143	54	Sl	3788
136	2	1472315	57	Sl	3852
136	2	1472491	52	Sl	3841
142	2	1471256	64	Sl	4053
142	2	1471425	65	Sl	3998
142	2	1471596	65	Sl	3976
142	2	1471799	65	Sl	3983
142	2	1471970	64	Sl	4084
142	2	1472143	63	Sl	3894
142	2	1472315	66	Sl	3962
142	2	1472491	61	Rl	3953
147	2	1471256	73	Sl	4116
147	2	1471425	75	Sl	4053
147	2	1471596	74	Sl	4028
147	2	1471799	74	Sl	4065
147	2	1471970	74	Sl	4204
147	2	1472143	73	Sl	3981
147	2	1472315	76	Sl	4028
147	2	1472491	71	Rl	4295
153	2	1471256	82	Sl	4161
153	2	1471425	84	Sl	4117
153	2	1471596	83	Sl	4086
153	2	1471799	83	Sl	4115
153	2	1471970	83	Sl	4290
153	2	1472143	82	Sl	4043
153	2	1472315	85	Sl	4392
153	2	1472491	81	Rl	4363
159	100	1471256	91	Sl	4233
159	100	1471425	93	Sl	4180
159	100	1471596	92	Sl	4126
159	100	1471799	92	Rl	4260
159	100	1471970	92	Sl	4647
159	100	1472143	92	Rl	4205
159	100	1472315	95	Rl	4753
159	100	1472491	90	Sl	4157
164	100	1471256	99	Sl	4278
164	100	1471425	101	Sl	4206
164	100	1471596	101	Sl	4158
164	100	1471799	102	Sl	4200
164	100	1471970	102	Sl	4413
164	100	1472143	101	Rl	4299
164	100	1472315	104	Sl	4197
164	100	1472491	100	Sl	4206
