epoch_s	step	rss_anon_gb
0	0	0.01
5	0	0.20
10	0	1.30
15	0	1.40
20	0	1.43
25	0	4.07
30	0	7.32
35	0	10.60
40	0	13.87
45	0	17.15
50	0	20.44
55	0	23.69
61	0	26.99
66	0	30.35
71	0	30.71
76	0	30.71
81	0	30.71
86	0	30.71
91	0	30.71
96	0	30.71
101	0	30.71
106	0	33.24
112	2	37.78
117	2	38.07
122	2	41.27
127	2	46.23
132	2	49.73
137	2	53.83
142	2	57.35
147	2	60.87
152	2	64.96
157	100	68.17
162	100	70.05
167	100	73.55
172	100	77.04
177	100	77.73
182	100	77.74
187	100	79.31
192	100	80.19
197	200	80.47
203	200	80.48
208	200	80.48
213	200	81.34
218	200	84.64
223	200	87.11
228	200	87.40
233	300	87.40
238	300	87.69
243	300	90.60
248	300	92.12
253	300	92.14
258	300	92.15
263	300	92.16
269	300	92.16
274	300	92.16
280	300	92.16
285	300	92.16
290	300	92.16
296	300	92.15
301	300	92.15
306	300	92.15
312	300	92.15
317	300	92.15
323	300	92.14
328	300	92.16
333	400	90.58
