epoch_s	step	rss_anon_gb
0	0	0.01
5	0	0.21
11	0	1.31
16	0	1.41
21	0	1.44
26	0	4.32
31	0	7.47
36	0	10.63
41	0	13.88
46	0	17.09
51	0	20.32
56	0	23.55
61	0	26.81
66	0	30.01
71	0	30.72
76	0	30.72
81	0	30.72
86	0	30.72
91	0	30.72
96	0	30.72
101	0	30.72
106	0	30.72
111	2	33.16
117	2	33.15
122	2	33.16
127	2	33.16
132	2	33.16
137	2	33.16
142	2	33.16
147	2	33.16
152	2	33.16
157	2	33.16
162	2	33.15
167	2	33.16
172	2	33.16
177	2	33.16
182	2	33.16
187	100	33.16
192	100	33.16
197	100	33.16
202	100	33.16
207	100	33.16
212	100	33.16
217	100	33.16
223	100	33.16
228	100	33.16
233	100	33.16
238	100	33.16
243	100	33.16
248	100	33.16
253	100	33.16
258	100	33.16
263	200	33.16
268	200	33.16
273	200	33.16
278	200	33.16
283	200	33.16
288	200	33.16
293	200	33.16
298	200	33.16
303	200	33.16
308	200	33.16
313	200	33.16
319	200	33.16
324	200	33.16
329	200	33.16
334	300	33.16
339	300	33.16
344	300	33.16
349	300	33.16
354	300	33.16
359	300	33.16
364	300	33.16
369	300	33.16
374	300	33.16
379	300	33.16
384	300	33.16
389	300	33.16
394	300	33.16
399	300	33.16
