t_s	step	rss_anon_gb	free_gb
0	0	0.02	146
5	0	0.21	146
10	0	1.31	144
15	0	1.42	144
20	0	1.44	144
25	0	4.04	138
30	0	7.13	131
35	0	10.26	127
41	0	13.44	123
46	0	16.64	118
51	0	19.80	114
56	0	22.89	112
61	0	26.03	110
66	0	29.27	106
71	0	30.73	108
76	0	30.73	107
81	0	30.73	106
86	0	30.73	105
91	0	30.73	102
96	0	30.73	100
101	0	30.73	98
106	0	30.73	96
111	2	34.78	87
116	2	36.07	83
121	2	38.39	79
126	2	42.47	73
132	2	48.31	66
137	2	51.79	62
142	2	55.63	57
147	2	59.74	50
152	2	62.78	47
157	100	63.70	45
162	100	65.41	42
167	100	66.11	41
172	100	66.11	40
177	100	66.12	38
182	100	66.12	38
187	100	66.71	37
192	100	66.70	37
197	200	66.78	35
202	200	66.80	35
207	200	66.80	35
213	200	67.09	36
218	200	67.09	35
223	200	67.09	35
228	200	70.57	33
233	300	70.54	31
238	300	70.55	31
243	300	72.87	30
248	300	73.50	29
253	300	73.80	27
258	300	73.80	26
263	300	73.80	26
268	300	74.48	26
