t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4890	243
6	0	0.20	0.00	69204	243
11	0	1.30	0.00	363303	241
16	0	1.40	0.00	391516	240
21	0	1.43	0.00	403503	241
26	0	4.16	0.00	818078	234
31	0	7.41	0.00	1683615	227
37	0	10.72	0.00	2573138	223
42	0	14.07	0.00	3456574	218
48	0	17.52	0.00	4393122	214
53	0	21.07	0.00	5296483	209
59	0	24.55	0.00	6237090	206
64	0	28.11	0.00	7177890	202
70	0	30.69	0.00	7754675	203
75	0	30.69	0.00	7754998	202
81	0	30.69	0.00	7755316	200
86	0	30.69	0.00	7755761	199
92	2	33.28	0.00	8420724	193
97	2	34.69	0.00	8421844	190
103	2	35.08	0.00	8422358	189
108	2	35.29	0.00	8422486	189
114	2	35.29	0.00	8422820	188
119	2	35.30	0.00	8423383	188
125	2	35.30	0.00	8423465	188
131	2	35.31	0.00	8423534	188
136	2	35.32	0.00	8423693	188
142	2	35.34	0.00	8423873	188
147	2	35.36	0.00	8424153	188
153	2	35.37	0.00	8424402	187
158	2	35.39	0.00	8424538	186
164	2	35.40	0.00	8424686	186
170	2	35.41	0.00	8424776	186
175	100	35.42	0.00	8424891	185
181	100	35.44	0.00	8424986	185
186	100	35.45	0.00	8425054	185
192	100	31.38	0.29	8455258	190
