t_s	step	pid	cpu_s	stat	rss_mb
21	0	1474846	2	Rl	180
26	0	1474846	39	Rl	2747
31	0	1474846	96	Rl	3041
37	0	1474846	152	Rl	3653
42	0	1474846	209	Rl	3644
48	0	1474846	266	Sl	3758
53	0	1474846	326	Rl	3759
59	0	1474846	383	Sl	3888
64	0	1474846	443	Sl	3939
70	0	1475312	3	Rl	585
75	0	1475312	9	Rl	2018
75	0	1475487	4	Rl	943
81	0	1475312	18	Sl	3353
81	0	1475487	10	Sl	2265
81	0	1475660	5	Rl	950
86	0	1475312	18	Sl	3353
86	0	1475487	16	Sl	3330
86	0	1475660	11	Sl	2411
86	0	1475831	5	Rl	954
92	2	1475312	26	Sl	3515
92	2	1475487	24	Sl	3474
92	2	1475660	22	Sl	3713
92	2	1475831	12	Sl	2463
97	2	1475312	31	Sl	3592
97	2	1475487	31	Sl	3592
97	2	1475660	32	Sl	3568
97	2	1475831	23	Rl	3478
103	2	1475312	41	Sl	3759
103	2	1475487	41	Sl	3722
103	2	1475660	41	Sl	3702
103	2	1475831	33	Sl	3589
108	2	1475312	52	Rl	4027
108	2	1475487	51	Sl	3815
108	2	1475660	52	Sl	3819
108	2	1475831	43	Sl	3736
114	2	1475312	61	Sl	3971
114	2	1475487	61	Sl	3897
114	2	1475660	62	Sl	3890
114	2	1475831	54	Rl	4202
119	2	1475312	71	Sl	4340
119	2	1475487	71	Rl	4002
119	2	1475660	72	Rl	4148
119	2	1475831	63	Sl	3924
125	2	1475312	81	Sl	4133
125	2	1475487	81	Sl	4090
125	2	1475660	82	Sl	4038
125	2	1475831	73	Sl	4030
131	2	1475312	91	Sl	4183
131	2	1475487	91	Sl	4110
131	2	1475660	91	Sl	4094
131	2	1475831	83	Sl	4104
136	2	1475312	100	Sl	4243
136	2	1475487	100	Sl	4148
136	2	1475660	101	Rl	4256
136	2	1475831	93	Sl	4159
142	2	1475312	111	Rl	4486
142	2	1475487	111	Sl	4175
142	2	1475660	111	Sl	4177
142	2	1475831	103	Sl	4174
147	2	1475312	120	Sl	4289
147	2	1475487	120	Sl	4210
147	2	1475660	121	Sl	4216
147	2	1475831	112	Sl	4234
153	2	1475312	130	Sl	4346
153	2	1475487	130	Sl	4253
153	2	1475660	130	Sl	4246
153	2	1475831	122	Sl	4278
158	2	1475312	139	Sl	4373
158	2	1475487	140	Sl	4300
158	2	1475660	140	Rl	4464
158	2	1475831	132	Rl	4549
164	2	1475312	149	Sl	4679
164	2	1475487	150	Rl	4457
164	2	1475660	150	Sl	4305
164	2	1475831	142	Sl	4380
170	2	1475312	159	Sl	4407
170	2	1475487	159	Sl	4334
170	2	1475660	159	Sl	4316
170	2	1475831	151	Rl	4688
175	100	1475312	169	Sl	4432
175	100	1475487	169	Sl	4353
175	100	1475660	170	Rl	4646
175	100	1475831	161	Sl	4442
181	100	1475312	179	Rl	4674
181	100	1475487	179	Rl	4479
181	100	1475660	180	Sl	4367
181	100	1475831	171	Sl	4449
186	100	1475312	189	Sl	4455
186	100	1475487	189	Sl	4398
186	100	1475660	189	Sl	4416
186	100	1475831	181	Rl	4757
192	100	1475312	198	Sl	4468
192	100	1475487	197	Sl	4419
192	100	1475660	199	Rl	4697
192	100	1475831	191	Sl	4471
