t_s	step	rss_anon_gb	free_gb
0	0	0.02	136
5	0	0.20	136
10	0	1.30	138
15	0	1.40	139
20	0	1.45	140
26	0	4.12	134
31	0	7.26	128
36	0	10.48	123
41	0	13.66	119
46	0	16.82	114
51	0	19.98	111
56	0	23.28	107
61	0	26.51	104
66	0	29.77	100
71	0	30.74	103
76	0	30.74	103
81	0	30.74	102
86	0	30.74	100
91	2	34.77	93
96	2	35.81	91
101	2	37.55	89
106	2	39.01	87
111	2	41.05	86
117	2	43.10	83
122	2	44.86	82
127	2	46.62	80
132	2	48.95	79
137	2	50.42	76
142	2	52.47	75
147	2	53.94	73
152	2	55.98	72
157	2	57.74	70
162	2	59.50	67
167	2	59.79	67
172	2	60.65	66
177	100	60.93	66
182	100	61.55	65
187	100	61.55	64
192	100	62.40	64
197	100	63.24	62
202	100	63.24	62
208	100	63.52	61
213	100	63.52	61
218	100	63.52	61
223	100	63.52	61
228	100	63.52	61
233	100	63.52	61
238	100	63.52	61
243	100	64.98	59
248	100	64.98	59
253	100	65.55	59
258	100	65.54	57
263	200	65.54	57
268	200	65.55	59
273	200	65.56	58
278	200	65.57	58
283	200	65.57	57
288	200	65.57	58
293	200	65.57	58
298	200	65.57	58
304	200	65.57	59
309	200	65.58	58
314	200	65.58	58
319	200	65.58	58
324	200	67.31	55
329	200	68.76	54
334	200	69.08	54
339	200	69.11	54
344	200	69.92	54
349	300	70.21	54
354	300	70.23	53
359	300	70.25	52
364	300	70.25	53
369	300	70.25	53
374	300	70.25	53
379	300	70.25	53
384	300	70.26	53
389	300	70.26	52
394	300	70.26	53
400	300	70.26	52
405	300	70.27	52
410	300	70.27	51
415	300	70.27	51
420	300	70.27	52
425	300	70.26	52
430	400	68.61	55
