t_s	step	rss_anon_gb	free_gb
0	0	0.02	143
5	0	0.20	143
10	0	1.14	142
15	0	1.20	142
20	0	1.23	143
25	0	3.53	139
30	0	6.40	134
35	0	9.42	130
40	0	12.43	126
45	0	15.45	122
50	0	18.46	119
55	0	21.48	116
60	0	24.55	114
66	0	27.64	110
71	0	30.51	108
76	0	30.51	108
81	0	30.51	108
86	0	30.51	108
91	0	30.51	107
97	0	30.51	104
102	0	30.51	101
107	0	30.51	98
112	0	31.83	94
117	2	35.65	86
122	2	35.86	83
127	2	36.44	82
132	2	38.97	78
137	2	42.83	72
142	2	47.05	65
147	2	50.42	60
153	2	54.53	56
158	2	57.47	52
163	2	62.14	47
168	100	65.37	43
173	100	69.15	40
178	100	72.67	35
183	100	74.72	33
188	100	77.90	29
193	100	80.80	26
198	100	81.54	25
203	100	82.17	24
208	100	82.58	23
213	200	82.58	21
218	200	82.61	21
223	200	82.96	20
228	200	82.96	21
234	200	82.96	19
239	200	82.96	20
244	200	83.54	19
249	200	83.54	17
254	300	85.85	16
259	300	88.75	14
264	300	89.89	13
269	300	89.92	12
274	300	89.92	13
279	300	90.53	11
284	300	90.80	11
289	300	90.81	9
