t_s	step	rss_anon_gb	free_gb
0	0	0.02	144
5	0	0.20	144
10	0	1.31	142
15	0	1.41	142
20	0	1.44	143
25	0	4.15	136
30	0	7.27	130
35	0	10.44	124
40	0	13.61	121
45	0	16.81	117
50	0	19.97	114
55	0	23.21	111
60	0	26.43	107
65	0	29.62	103
70	0	30.72	105
76	0	30.72	105
81	0	30.72	103
86	0	30.72	102
91	0	30.72	100
96	0	30.72	97
101	0	30.72	95
106	0	30.72	93
111	2	34.94	86
116	2	36.70	78
121	2	38.92	73
126	2	43.09	68
131	2	47.39	62
136	2	52.14	56
141	2	56.98	51
146	2	61.01	45
151	2	66.89	40
156	100	72.45	34
161	100	77.75	29
167	100	84.53	22
172	100	88.03	17
177	100	88.37	17
182	100	89.35	14
187	100	89.37	14
