t_s	step	rss_anon_gb	free_gb
0	0	0.02	144
5	0	0.20	144
10	0	0.83	143
15	0	0.89	143
20	0	0.94	143
26	0	1.00	143
31	0	1.01	143
36	0	1.05	143
41	0	1.06	142
46	0	1.10	143
51	0	1.10	143
56	0	1.10	142
61	0	1.10	142
66	0	1.10	142
71	0	1.10	142
76	0	1.10	142
81	0	3.26	137
86	0	6.42	131
91	0	9.58	125
96	0	12.88	119
101	0	16.04	116
106	0	19.23	112
111	0	22.50	108
116	0	25.66	106
121	0	28.96	102
127	0	30.39	102
132	0	30.39	102
137	0	30.39	102
142	0	30.39	101
147	0	30.39	100
152	0	30.39	98
157	0	30.39	96
162	0	30.39	94
167	2	35.02	85
172	2	37.01	78
177	2	39.34	75
182	2	43.12	69
187	2	48.37	63
192	2	52.11	60
197	2	56.26	54
202	2	59.79	49
207	2	63.30	45
213	100	67.27	41
218	100	70.32	38
223	100	74.70	35
228	100	75.93	32
233	100	79.78	31
238	100	80.43	27
243	100	80.43	27
248	100	81.02	26
253	200	81.86	24
258	200	81.86	23
263	200	81.86	24
268	200	81.86	24
273	200	81.86	22
278	200	81.86	22
283	200	81.86	23
288	200	84.19	21
294	300	88.53	19
299	300	91.41	14
304	300	94.91	13
309	300	95.22	11
314	300	95.26	12
319	300	95.82	10
324	300	96.37	11
329	300	96.38	9
334	400	94.76	11
