t_s	step	rss_anon_gb	free_gb
0	0	0.02	145
5	0	0.21	145
10	0	1.30	143
15	0	1.40	142
21	0	1.43	143
26	0	4.29	136
31	0	7.45	130
36	0	10.62	125
41	0	13.78	122
46	0	16.97	115
51	0	20.24	109
56	0	23.49	106
61	0	26.70	103
66	0	29.98	100
71	0	30.71	103
76	0	30.78	102
81	0	33.01	101
86	2	33.65	101
91	2	33.80	102
96	2	34.09	102
101	2	34.38	101
106	2	34.96	102
111	2	35.25	102
116	2	35.55	102
122	2	35.84	102
127	2	36.43	102
132	2	36.72	102
137	2	37.01	102
142	2	37.31	101
147	2	37.89	101
152	2	38.18	101
157	2	38.48	101
162	2	39.06	100
167	2	39.36	99
172	2	39.65	99
177	2	39.91	98
182	2	39.97	98
187	2	39.97	99
192	2	39.97	99
197	2	39.97	99
202	2	39.97	99
207	2	39.97	99
212	2	39.97	99
217	2	39.97	99
222	2	39.97	99
228	2	39.97	99
233	2	39.97	99
238	2	39.97	99
243	2	39.97	99
248	2	39.97	100
253	2	39.97	100
258	2	39.97	100
263	2	39.97	100
268	2	39.97	100
273	2	40.12	100
278	2	40.50	99
283	2	40.50	99
288	2	40.50	99
293	2	40.51	98
298	2	40.51	98
303	2	40.51	98
308	2	40.51	98
313	2	40.51	98
318	2	40.51	98
323	2	40.51	98
328	2	40.51	98
334	2	40.51	98
339	2	40.51	98
344	2	40.51	98
349	2	40.51	98
354	2	40.51	98
359	2	40.51	98
364	2	40.51	98
369	2	40.88	97
374	2	40.89	97
379	2	40.89	98
384	2	40.89	98
389	2	40.90	97
394	2	40.90	97
399	2	40.90	97
404	2	40.90	97
409	2	40.90	98
414	2	40.90	98
419	2	40.90	98
424	2	40.91	97
429	2	40.91	98
435	2	40.91	98
440	2	40.91	98
445	2	40.91	97
450	2	40.91	97
455	2	40.91	97
460	2	40.91	97
465	2	40.91	97
470	2	40.91	97
475	2	40.91	97
480	100	40.93	97
485	100	41.21	97
490	100	41.21	97
495	100	41.21	97
500	100	41.21	97
505	100	41.21	97
510	100	41.21	97
515	100	41.21	97
520	100	41.21	97
525	100	41.21	97
530	100	41.21	97
535	100	41.21	97
541	100	41.21	98
546	100	41.21	97
551	100	41.21	97
556	100	41.21	97
561	100	41.21	97
566	100	41.21	97
571	100	41.21	97
576	100	41.21	97
581	100	41.21	97
586	100	41.21	97
591	100	41.21	97
596	100	41.21	97
601	100	41.21	97
606	100	41.21	97
611	100	41.21	97
616	100	41.21	97
621	100	41.21	97
626	100	41.21	97
631	100	41.21	97
636	100	41.21	97
641	100	41.21	97
647	100	41.21	97
652	100	41.21	97
657	100	41.21	96
662	100	41.21	96
667	100	41.21	96
672	100	41.21	97
677	100	41.21	97
682	100	41.21	97
687	100	41.21	97
692	100	41.21	97
697	100	41.21	97
702	100	41.21	97
707	100	41.21	97
712	100	41.21	97
717	100	41.21	97
722	100	41.21	97
727	100	41.21	97
732	100	41.21	97
737	100	41.21	97
742	100	41.21	97
747	100	41.21	97
753	100	41.21	97
758	100	41.21	97
763	100	41.21	97
768	100	41.21	97
773	100	41.21	97
778	100	41.21	97
783	100	41.21	97
788	100	41.21	97
793	100	41.22	97
798	100	41.22	96
803	100	41.22	96
808	100	41.22	96
813	100	41.22	96
818	100	41.22	96
823	100	41.22	96
828	100	41.22	96
833	100	41.22	96
838	100	41.22	96
843	100	41.22	96
848	100	41.22	97
854	100	41.22	96
859	100	41.22	96
864	100	41.22	97
869	100	41.22	97
874	100	41.22	96
879	200	41.22	96
884	200	41.22	96
889	200	41.22	97
894	200	41.22	97
899	200	41.22	97
904	200	41.22	97
909	200	41.22	97
914	200	41.22	97
919	200	41.22	97
924	200	41.22	97
929	200	41.22	97
934	200	41.22	97
939	200	41.22	96
944	200	41.22	97
949	200	41.22	96
954	200	41.22	96
960	200	41.21	96
965	200	41.21	96
970	200	41.21	96
975	200	41.21	96
980	200	41.21	96
985	200	41.21	95
990	200	41.21	96
995	200	41.21	96
1000	200	41.21	95
1005	200	41.21	96
1010	200	41.21	96
1015	200	41.21	96
1020	200	41.21	96
1025	200	41.21	96
1030	200	41.21	97
1035	200	41.21	96
1040	200	41.19	96
1045	200	41.19	97
1050	200	41.20	97
1055	200	41.20	96
1061	200	41.21	96
1066	200	41.21	96
1071	200	41.21	96
