epoch,train_loss,lr,top1,top5
1,6.029708,0.003200,20.616000,43.224000
2,4.804910,0.006400,37.742000,63.986000
3,4.256881,0.009600,46.870000,72.312000
4,3.990032,0.012800,51.944000,76.610000
5,3.860741,0.016000,54.804000,78.836000
6,3.733388,0.015798,56.784000,80.182000
7,3.623987,0.015599,58.754000,81.752000
8,3.556801,0.015402,60.206000,82.798000
9,3.502741,0.015208,61.064000,83.392000
10,3.464345,0.015016,61.794000,83.920000
11,3.426745,0.014827,62.646000,84.560000
12,3.392691,0.014640,63.312000,84.954000
13,3.372881,0.014455,63.790000,85.250000
14,3.343445,0.014273,64.098000,85.398000
15,3.317822,0.014093,64.514000,85.790000
16,3.306102,0.013915,65.032000,86.010000
17,3.284575,0.013740,65.366000,86.284000
18,3.270288,0.013567,65.526000,86.348000
19,3.253070,0.013395,65.762000,86.514000
20,3.235075,0.013226,66.060000,86.746000
21,3.226552,0.013060,66.404000,86.866000
22,3.209490,0.012895,66.684000,87.074000
23,3.199183,0.012732,66.828000,87.194000
24,3.187502,0.012572,66.918000,87.236000
25,3.178934,0.012413,67.016000,87.394000
26,3.160125,0.012257,67.350000,87.518000
27,3.155246,0.012102,67.356000,87.590000
28,3.144485,0.011950,67.476000,87.728000
29,3.135197,0.011799,67.788000,87.938000
30,3.118683,0.011650,67.910000,88.052000
31,3.113036,0.011503,68.092000,88.190000
32,3.108703,0.011358,68.236000,88.218000
33,3.100739,0.011215,68.400000,88.286000
34,3.089123,0.011073,68.522000,88.408000
35,3.079291,0.010934,68.728000,88.446000
36,3.070630,0.010796,68.792000,88.564000
37,3.064346,0.010660,69.036000,88.680000
38,3.058803,0.010525,69.178000,88.720000
39,3.057201,0.010393,69.290000,88.700000
40,3.048871,0.010261,69.386000,88.800000
41,3.033810,0.010132,69.468000,88.828000
42,3.028250,0.010004,69.566000,88.966000
43,3.022285,0.009878,69.480000,89.018000
44,3.018970,0.009754,69.630000,89.028000
45,3.008055,0.009631,69.730000,89.134000
46,3.005458,0.009509,69.738000,89.148000
47,2.998806,0.009389,69.810000,89.208000
48,2.990815,0.009271,69.930000,89.270000
49,2.990678,0.009154,70.032000,89.254000
50,2.979537,0.009038,70.224000,89.300000
51,2.980255,0.008924,70.274000,89.364000
52,2.965952,0.008812,70.282000,89.432000
53,2.961895,0.008701,70.350000,89.488000
54,2.960882,0.008591,70.466000,89.562000
55,2.947241,0.008483,70.558000,89.636000
56,2.945483,0.008376,70.638000,89.602000
57,2.941294,0.008270,70.798000,89.680000
58,2.942023,0.008166,70.824000,89.720000
59,2.931379,0.008063,70.856000,89.744000
60,2.928014,0.007961,70.910000,89.778000
61,2.919826,0.007861,70.974000,89.886000
62,2.919615,0.007762,71.088000,89.866000
63,2.915393,0.007664,71.148000,89.974000
64,2.908782,0.007567,71.342000,90.050000
65,2.895107,0.007472,71.282000,90.050000
66,2.894618,0.007377,71.268000,90.034000
67,2.894826,0.007284,71.374000,90.104000
68,2.888637,0.007192,71.538000,90.156000
69,2.883253,0.007102,71.516000,90.186000
70,2.873444,0.007012,71.570000,90.190000
71,2.873219,0.006924,71.606000,90.272000
72,2.867332,0.006836,71.722000,90.330000
73,2.864952,0.006750,71.684000,90.332000
74,2.857132,0.006665,71.736000,90.360000
75,2.855406,0.006581,71.808000,90.354000
76,2.852101,0.006498,71.794000,90.420000
77,2.845907,0.006416,71.942000,90.364000
78,2.846768,0.006335,72.044000,90.510000
79,2.841422,0.006255,72.108000,90.570000
80,2.834143,0.006176,72.008000,90.474000
81,2.825023,0.006099,72.036000,90.496000
82,2.823513,0.006022,72.048000,90.554000
83,2.818604,0.005946,72.160000,90.630000
84,2.824341,0.005871,72.276000,90.624000
85,2.816378,0.005797,72.214000,90.610000
86,2.810684,0.005724,72.172000,90.656000
87,2.802685,0.005651,72.260000,90.670000
88,2.800436,0.005580,72.388000,90.734000
89,2.791478,0.005510,72.404000,90.740000
90,2.792613,0.005440,72.404000,90.744000
91,2.786901,0.005372,72.408000,90.764000
92,2.777598,0.005304,72.460000,90.822000
93,2.780699,0.005237,72.610000,90.886000
94,2.775929,0.005171,72.700000,90.940000
95,2.770225,0.005106,72.756000,90.952000
96,2.767447,0.005041,72.802000,90.918000
97,2.762192,0.004978,72.698000,91.004000
98,2.758967,0.004915,72.818000,90.984000
99,2.760425,0.004853,72.790000,91.008000
100,2.751673,0.004792,72.830000,91.070000
101,2.747424,0.004731,72.902000,91.010000
102,2.748745,0.004672,72.942000,91.024000
103,2.734283,0.004613,72.972000,91.100000
104,2.734210,0.004555,73.024000,91.126000
105,2.733647,0.004497,73.066000,91.156000
106,2.730600,0.004440,73.000000,91.152000
107,2.725258,0.004384,73.114000,91.176000
108,2.725490,0.004329,73.122000,91.212000
109,2.719192,0.004275,73.246000,91.238000
110,2.718768,0.004221,73.300000,91.274000
111,2.713916,0.004167,73.386000,91.310000
112,2.710525,0.004115,73.252000,91.294000
113,2.707601,0.004063,73.310000,91.328000
114,2.702847,0.004012,73.376000,91.348000
115,2.694451,0.003961,73.468000,91.346000
116,2.696952,0.003911,73.444000,91.420000
117,2.695464,0.003862,73.364000,91.406000
118,2.690225,0.003813,73.488000,91.400000
119,2.682274,0.003765,73.542000,91.524000
120,2.680324,0.003718,73.532000,91.552000
121,2.677390,0.003671,73.596000,91.572000
122,2.674018,0.003624,73.626000,91.540000
123,2.674720,0.003579,73.676000,91.508000
124,2.667757,0.003534,73.610000,91.536000
125,2.665610,0.003489,73.638000,91.602000
126,2.652293,0.003445,73.708000,91.566000
127,2.649044,0.003402,73.618000,91.530000
128,2.654588,0.003359,73.834000,91.534000
129,2.652025,0.003316,73.820000,91.524000
130,2.646341,0.003275,73.836000,91.580000
131,2.642429,0.003233,73.734000,91.564000
132,2.639718,0.003192,73.790000,91.622000
133,2.643188,0.003152,73.746000,91.590000
134,2.642651,0.003112,73.786000,91.664000
135,2.629009,0.003073,73.862000,91.740000
136,2.631454,0.003034,73.966000,91.746000
137,2.630922,0.002996,73.940000,91.742000
138,2.626264,0.002958,73.974000,91.738000
139,2.621164,0.002921,73.986000,91.752000
140,2.619305,0.002884,74.120000,91.794000
141,2.617435,0.002848,74.162000,91.826000
142,2.615967,0.002812,74.170000,91.826000
143,2.610794,0.002776,74.230000,91.838000
144,2.606896,0.002741,74.188000,91.838000
145,2.606110,0.002707,74.188000,91.854000
146,2.602179,0.002673,74.250000,91.880000
147,2.602452,0.002639,74.268000,91.892000
148,2.597336,0.002606,74.336000,91.956000
149,2.595052,0.002573,74.430000,91.952000
150,2.588945,0.002540,74.410000,91.980000
151,2.587282,0.002508,74.442000,91.988000
152,2.585285,0.002477,74.492000,91.968000
153,2.581268,0.002446,74.552000,91.988000
154,2.575509,0.002415,74.562000,92.014000
155,2.576533,0.002384,74.708000,92.064000
156,2.572575,0.002354,74.512000,92.048000
157,2.572225,0.002325,74.544000,92.038000
158,2.561364,0.002295,74.600000,91.956000
159,2.561985,0.002266,74.666000,92.024000
160,2.559217,0.002238,74.678000,92.004000
161,2.555321,0.002209,74.718000,92.036000
162,2.555443,0.002182,74.762000,92.068000
163,2.551365,0.002154,74.666000,92.070000
164,2.548641,0.002127,74.796000,92.100000
165,2.543098,0.002100,74.832000,92.082000
166,2.543917,0.002074,74.770000,92.138000
167,2.544161,0.002047,74.862000,92.190000
168,2.538913,0.002022,74.936000,92.190000
169,2.542304,0.001996,74.924000,92.164000
170,2.534428,0.001971,74.884000,92.136000
171,2.533542,0.001946,74.912000,92.228000
172,2.534142,0.001922,74.838000,92.194000
173,2.529510,0.001897,74.926000,92.210000
174,2.528075,0.001873,74.922000,92.206000
175,2.526298,0.001850,74.926000,92.274000
176,2.524052,0.001826,74.924000,92.292000
177,2.517887,0.001803,74.944000,92.318000
178,2.519786,0.001781,74.898000,92.326000
179,2.509551,0.001758,74.992000,92.336000
180,2.513740,0.001736,75.038000,92.354000
181,2.510014,0.001714,75.062000,92.314000
182,2.510635,0.001693,75.146000,92.304000
183,2.504430,0.001671,75.100000,92.360000
184,2.501244,0.001650,75.096000,92.348000
185,2.494944,0.001629,75.150000,92.370000
186,2.495401,0.001609,75.166000,92.418000
187,2.498990,0.001588,75.236000,92.386000
188,2.494656,0.001568,75.186000,92.362000
189,2.488838,0.001549,75.330000,92.406000
190,2.488768,0.001529,75.402000,92.440000
191,2.485154,0.001510,75.406000,92.430000
192,2.483001,0.001491,75.440000,92.354000
193,2.477595,0.001472,75.408000,92.378000
194,2.473714,0.001453,75.370000,92.400000
195,2.473561,0.001435,75.364000,92.388000
196,2.472034,0.001417,75.476000,92.420000
197,2.476400,0.001399,75.462000,92.394000
198,2.475448,0.001381,75.368000,92.398000
199,2.470291,0.001364,75.438000,92.404000
200,2.466160,0.001347,75.496000,92.460000
201,2.462451,0.001330,75.538000,92.514000
202,2.462530,0.001313,75.492000,92.458000
203,2.456011,0.001297,75.444000,92.524000
204,2.459359,0.001280,75.478000,92.520000
205,2.450523,0.001264,75.436000,92.468000
206,2.447840,0.001248,75.476000,92.514000
207,2.450497,0.001232,75.522000,92.520000
208,2.451045,0.001217,75.528000,92.476000
209,2.448573,0.001201,75.576000,92.538000
210,2.444334,0.001186,75.514000,92.566000
211,2.445126,0.001171,75.504000,92.584000
212,2.442561,0.001157,75.474000,92.592000
213,2.438341,0.001142,75.506000,92.594000
214,2.434410,0.001128,75.618000,92.576000
215,2.438354,0.001113,75.734000,92.544000
216,2.430515,0.001099,75.710000,92.562000
217,2.432054,0.001085,75.768000,92.584000
218,2.430899,0.001072,75.770000,92.604000
219,2.428481,0.001058,75.804000,92.528000
220,2.428799,0.001045,75.808000,92.594000
221,2.426271,0.001032,75.766000,92.564000
222,2.425017,0.001019,75.706000,92.558000
223,2.420626,0.001006,75.784000,92.656000
224,2.421155,0.000993,75.748000,92.610000
225,2.412499,0.000981,75.778000,92.646000
226,2.415475,0.000968,75.830000,92.610000
227,2.416474,0.000956,75.846000,92.612000
228,2.407074,0.000944,75.852000,92.648000
229,2.405383,0.000932,75.890000,92.684000
230,2.407350,0.000920,75.902000,92.670000
231,2.407859,0.000909,75.976000,92.690000
232,2.404792,0.000897,75.930000,92.720000
233,2.396730,0.000886,75.944000,92.720000
234,2.397600,0.000875,76.014000,92.734000
235,2.393107,0.000864,75.962000,92.742000
236,2.392652,0.000853,75.956000,92.766000
237,2.396537,0.000842,75.962000,92.780000
238,2.396052,0.000832,75.994000,92.756000
239,2.392595,0.000821,76.010000,92.788000
240,2.383549,0.000811,75.986000,92.762000
241,2.384315,0.000800,76.008000,92.716000
242,2.387395,0.000790,76.068000,92.702000
243,2.379993,0.000780,76.120000,92.710000
244,2.384467,0.000771,76.066000,92.744000
245,2.378601,0.000761,76.068000,92.744000
246,2.374192,0.000751,76.046000,92.786000
247,2.380416,0.000742,76.066000,92.772000
248,2.377977,0.000732,76.110000,92.786000
249,2.373611,0.000723,76.084000,92.766000
250,2.368697,0.000714,76.122000,92.802000
251,2.372446,0.000705,76.182000,92.808000
252,2.372129,0.000696,76.138000,92.812000
253,2.365124,0.000687,76.136000,92.794000
254,2.369375,0.000679,76.236000,92.834000
255,2.364894,0.000670,76.272000,92.804000
256,2.362279,0.000662,76.260000,92.792000
257,2.363266,0.000653,76.212000,92.816000
258,2.360188,0.000645,76.178000,92.856000
259,2.354187,0.000637,76.252000,92.884000
260,2.358026,0.000629,76.216000,92.882000
261,2.352575,0.000621,76.206000,92.898000
262,2.354810,0.000613,76.188000,92.882000
263,2.353530,0.000605,76.198000,92.878000
264,2.350353,0.000598,76.210000,92.898000
265,2.343986,0.000590,76.194000,92.894000
266,2.348802,0.000583,76.248000,92.908000
267,2.345445,0.000575,76.304000,92.914000
268,2.342428,0.000568,76.260000,92.880000
