epoch	unix	utc	trainer_rss_anon_kb	mem_available_kb	swap_used_kb
1	1789255198	2026-09-12 23:19:58			
2	1789256043	2026-09-12 23:34:03	33791672	135181092	5181096
3	1789256752	2026-09-12 23:45:52	31924664	137578284	8213680
4	1789257451	2026-09-12 23:57:31	31930596	135211108	8156512
5	1789258153	2026-09-13 00:09:13	31934448	135060096	8143364
6	1789258855	2026-09-13 00:20:55	31937008	135401104	8136916
7	1789259556	2026-09-13 00:32:36	31939708	134376684	8132656
8	1789260259	2026-09-13 00:44:19	31940772	134583692	8129260
9	1789260966	2026-09-13 00:56:06	31778556	135664668	8385372
10	1789261668	2026-09-13 01:07:48	31780124	136010352	8384852
11	1789262370	2026-09-13 01:19:30	31781316	136256540	8329624
12	1789263071	2026-09-13 01:31:11	31786872	135102684	8359548
13	1789263773	2026-09-13 01:42:53	31787196	134616996	8354872
14	1789264475	2026-09-13 01:54:35	31789448	135145584	8352812
15	1789265178	2026-09-13 02:06:18	31790308	136077084	8349132
16	1789265879	2026-09-13 02:17:59	31791444	134819680	8344752
17	1789266580	2026-09-13 02:29:40	31791852	134082220	8340500
18	1789267281	2026-09-13 02:41:21	31792072	134150044	8338600
19	1789267982	2026-09-13 02:53:02	31793196	133997260	8334384
20	1789268684	2026-09-13 03:04:44	31793280	133785408	8313256
21	1789269386	2026-09-13 03:16:26	31794728	133927120	8312408
22	1789270090	2026-09-13 03:28:10	31795484	134105804	8311208
23	1789270792	2026-09-13 03:39:52	31796256	134366728	8308696
24	1789271495	2026-09-13 03:51:35	31796416	134683416	8306664
25	1789272198	2026-09-13 04:03:18	31797056	133408968	8302768
26	1789272900	2026-09-13 04:15:00	31797368	133443764	8301168
27	1789273601	2026-09-13 04:26:41	31797292	133732272	8300612
28	1789274303	2026-09-13 04:38:23	31798244	134823392	8299932
29	1789275004	2026-09-13 04:50:04	31799060	133646948	8298484
30	1789275707	2026-09-13 05:01:47	31799996	133311084	8297044
31	1789276409	2026-09-13 05:13:29	31800300	133877280	8295760
32	1789277113	2026-09-13 05:25:13	31800776	133626772	8294780
33	1789277817	2026-09-13 05:36:57	31801192	134067524	8292668
34	1789278517	2026-09-13 05:48:37	31800848	133896208	8291884
35	1789279220	2026-09-13 06:00:20	31801280	134595636	8291020
36	1789279924	2026-09-13 06:12:04	31802840	134834872	8289580
37	1789280627	2026-09-13 06:23:47	31803740	133459464	8288012
38	1789281329	2026-09-13 06:35:29	31804060	133727352	8287496
39	1789282030	2026-09-13 06:47:10	31811340	133548036	8283216
40	1789282733	2026-09-13 06:58:53	31813972	132849568	8278940
41	1789283438	2026-09-13 07:10:38	31814752	133398488	8277924
42	1789284141	2026-09-13 07:22:21	31815348	133822504	8277240
43	1789284844	2026-09-13 07:34:04	31815044	134159980	8276860
44	1789285548	2026-09-13 07:45:48	31815748	133047912	8276296
45	1789286252	2026-09-13 07:57:32	31816324	132792184	8276136
46	1789286956	2026-09-13 08:09:16	31816868	133020716	8275884
47	1789287661	2026-09-13 08:21:01	31816956	133338596	8274108
48	1789288365	2026-09-13 08:32:45	31816728	133927872	8272436
49	1789289070	2026-09-13 08:44:30	31817272	133102196	8271792
50	1789289761	2026-09-13 08:56:01	31817940	132445984	8271252
51	1789290452	2026-09-13 09:07:32	31818164	132072888	8271108
52	1789291144	2026-09-13 09:19:04	31731824	133770928	8388472
53	1789291834	2026-09-13 09:30:34	31731740	131789436	8388224
54	1789292522	2026-09-13 09:42:02	31732056	132715928	8388420
55	1789293211	2026-09-13 09:53:31	31732392	133374980	8388544
56	1789293900	2026-09-13 10:05:00	31732384	132755892	8388516
57	1789294589	2026-09-13 10:16:29	31732444	133155688	8387660
58	1789295277	2026-09-13 10:27:57	31732816	131610188	8386352
59	1789295964	2026-09-13 10:39:24	31732572	131952808	8383176
60	1789296657	2026-09-13 10:50:57	31733604	132283164	8382852
61	1789297345	2026-09-13 11:02:25	31733108	131321964	8377680
62	1789298043	2026-09-13 11:14:03	31734004	130919120	8377196
63	1789298734	2026-09-13 11:25:34	31733840	132054568	8376340
64	1789299426	2026-09-13 11:37:06	31735156	131166772	8376164
65	1789300178	2026-09-13 11:49:38	31735400	130302724	8374228
66	1789300974	2026-09-13 12:02:54	31735824	131400980	8372420
67	1789301738	2026-09-13 12:15:38	31735552	131408460	8371880
68	1789302431	2026-09-13 12:27:11	31736100	131073616	8371792
69	1789303257	2026-09-13 12:40:57	31735332	131315920	8367740
70	1789304059	2026-09-13 12:54:19	31736440	131049132	8367208
71	1789304891	2026-09-13 13:08:11	31736020	129841236	8366664
72	1789305948	2026-09-13 13:25:48	31736252	130320520	8365884
73	1789306844	2026-09-13 13:40:44	31736140	130137668	8365192
74	1789307609	2026-09-13 13:53:29	31737124	130660648	8364708
75	1789308308	2026-09-13 14:05:08	31737252	130316424	8364284
76	1789309003	2026-09-13 14:16:43	31737052	129797728	8363916
77	1789309694	2026-09-13 14:28:14	31736752	130673656	8363776
78	1789310385	2026-09-13 14:39:45	31735592	131014024	8363348
79	1789311611	2026-09-13 15:00:11	31735760	129681532	8362244
80	1789312830	2026-09-13 15:20:30	31736280	129194660	8360848
81	1789313677	2026-09-13 15:34:37	31737876	129400396	8360208
82	1789314529	2026-09-13 15:48:49	31738432	129050412	8359932
83	1789315569	2026-09-13 16:06:09	31737924	129101664	8359768
84	1789316838	2026-09-13 16:27:18	31737932	127608076	8359140
85	1789317666	2026-09-13 16:41:06	31736208	127942100	8358952
86	1789318493	2026-09-13 16:54:53	31736340	128034700	8358280
87	1789319510	2026-09-13 17:11:50	31736808	127833596	8356872
88	1789320940	2026-09-13 17:35:40	31736328	126963880	8356720
89	1789322364	2026-09-13 17:59:24	31736620	126923968	8356640
90	1789323788	2026-09-13 18:23:08	31737152	126394016	8355860
91	1789325017	2026-09-13 18:43:37	31737212	126264808	8355672
92	1789325838	2026-09-13 18:57:18	31736796	126117620	8354528
93	1789326658	2026-09-13 19:10:58	31731888	126220664	8354400
94	1789327479	2026-09-13 19:24:39	31732104	125527008	8353600
95	1789328318	2026-09-13 19:38:38	31737176	125947820	8352960
96	1789329137	2026-09-13 19:52:17	31737876	126295252	8351664
97	1789329976	2026-09-13 20:06:16	31737888	125998648	8351300
98	1789330788	2026-09-13 20:19:48	31737980	125713764	8350596
99	1789331623	2026-09-13 20:33:43	31737244	125307624	8349948
100	1789332409	2026-09-13 20:46:49	31738168	125277436	8349740
101	1789333089	2026-09-13 20:58:09	31732632	124575428	8349652
102	1789333780	2026-09-13 21:09:40	31732700	124879436	8349576
103	1789334497	2026-09-13 21:21:37	31732328	123608816	8349172
104	1789335193	2026-09-13 21:33:13	31732888	124072680	8348408
105	1789335921	2026-09-13 21:45:21	31740212	123207172	8348364
106	1789336766	2026-09-13 21:59:26	31740304	122720380	8347316
107	1789337452	2026-09-13 22:10:52	31740864	123024672	8346708
108	1789338556	2026-09-13 22:29:16	31740004	123187100	8337672
109	1789339529	2026-09-13 22:45:29	31740356	121941324	8337448
110	1789340858	2026-09-13 23:07:38	31740484	121437192	8336740
111	1789342200	2026-09-13 23:30:00	31740672	121963208	8336576
112	1789343315	2026-09-13 23:48:35	31741300	121569096	8336456
113	1789344125	2026-09-14 00:02:05	31741336	121273960	8335496
114	1789345121	2026-09-14 00:18:41	31741356	121291872	8335116
115	1789346444	2026-09-14 00:40:44	31741488	120744552	8334112
116	1789347744	2026-09-14 01:02:24	31741864	119471268	8332952
117	1789348879	2026-09-14 01:21:19	31715920	120035436	8388432
118	1789350064	2026-09-14 01:41:04	31715876	118625588	8388568
119	1789351325	2026-09-14 02:02:05	31715736	118628588	8388488
120	1789352578	2026-09-14 02:22:58	31715788	118369952	8388540
121	1789353825	2026-09-14 02:43:45	31713452	118257836	8388396
122	1789355069	2026-09-14 03:04:29	31713072	117670088	8388316
123	1789356322	2026-09-14 03:25:22	1121840	188754680	1950720
124	1789357147	2026-09-14 03:39:07	36751444	132089112	1950112
125	1789357847	2026-09-14 03:50:47		188678484	1957128
126	1789358686	2026-09-14 04:04:46	36689616	132867440	2023612
127	1789359385	2026-09-14 04:16:25	36732904	131240088	2039964
128	1789360094	2026-09-14 04:28:14	32313416	136623380	7467320
129	1789360799	2026-09-14 04:39:59	32320088	136253116	7410392
130	1789361500	2026-09-14 04:51:40	32323480	135306432	7394648
131	1789362200	2026-09-14 05:03:20	31702756	136841592	8356268
132	1789362900	2026-09-14 05:15:00	31704640	136696180	8305680
133	1789363600	2026-09-14 05:26:40	31706876	136195164	8300052
134	1789364301	2026-09-14 05:38:21	31707832	136426128	8295512
135	1789365001	2026-09-14 05:50:01	31710444	136216432	8292092
136	1789365700	2026-09-14 06:01:40	31715376	136029396	8275640
137	1789366402	2026-09-14 06:13:22	31716656	136311068	8261748
138	1789367103	2026-09-14 06:25:03	31717032	135470272	8260088
139	1789367804	2026-09-14 06:36:44	31717136	136134732	8259108
140	1789368505	2026-09-14 06:48:25	31718672	135640732	8258116
141	1789369206	2026-09-14 07:00:06	31720236	135852812	8253652
142	1789369908	2026-09-14 07:11:48	31720936	135556752	8251344
143	1789370608	2026-09-14 07:23:28	31721800	135606512	8247032
144	1789371310	2026-09-14 07:35:10	31722628	135000432	8246344
145	1789372010	2026-09-14 07:46:50	31724080	135504736	8242952
146	1789372712	2026-09-14 07:58:32	31725136	135113900	8241148
147	1789373412	2026-09-14 08:10:12	31724700	135699892	8234860
148	1789374113	2026-09-14 08:21:53	31725972	135769208	8232396
149	1789374813	2026-09-14 08:33:33	31726336	135665056	8231836
150	1789375517	2026-09-14 08:45:17	31726292	134531300	8231420
151	1789376217	2026-09-14 08:56:57	31727328	135125716	8230672
152	1789376918	2026-09-14 09:08:38	31727264	135695068	8229740
153	1789377619	2026-09-14 09:20:19	31728032	134979428	8228876
154	1789378324	2026-09-14 09:32:04	31728456	134851560	8228340
155	1789379025	2026-09-14 09:43:45	31728336	135285456	8226824
156	1789379728	2026-09-14 09:55:28	31728268	135346376	8225068
157	1789380432	2026-09-14 10:07:12	31729468	135448564	8223900
158	1789381136	2026-09-14 10:18:56	31728948	134561800	8223356
159	1789381840	2026-09-14 10:30:40	31729524	134449392	8221932
160	1789382542	2026-09-14 10:42:22		190391984	1971000
161	1789383373	2026-09-14 10:56:13	36698228	132548312	1970444
162	1789384078	2026-09-14 11:07:58	36741744	131898648	1970432
163	1789384782	2026-09-14 11:19:42	36744284	131024680	1970368
164	1789385488	2026-09-14 11:31:28	36746260	130001092	1970352
165	1789386194	2026-09-14 11:43:14	36747380	129952676	1970348
166	1789386899	2026-09-14 11:54:59	36749084	130599876	1970324
167	1789387605	2026-09-14 12:06:45	36750452	129361000	1970288
168	1789388309	2026-09-14 12:18:29	36752040	129720292	1970268
169	1789389014	2026-09-14 12:30:14	36752848	129407228	1970248
170	1789389719	2026-09-14 12:41:59	36754164	130003516	1970132
171	1789390423	2026-09-14 12:53:43	36757648	129579320	1970092
172	1789391126	2026-09-14 13:05:26	36757780	129142828	1970092
173	1789391830	2026-09-14 13:17:10	36758316	127903048	1969988
174	1789392527	2026-09-14 13:28:47	36758728	128585456	1969936
175	1789393220	2026-09-14 13:40:20	36759264	128175136	1969936
176	1789393916	2026-09-14 13:51:56	36759400	128313068	1969824
177	1789394604	2026-09-14 14:03:24	36759688	127888780	1969816
178	1789395294	2026-09-14 14:14:54	36759100	128165236	1969812
179	1789395981	2026-09-14 14:26:21	36760780	127551284	1969812
180	1789396669	2026-09-14 14:37:49	36761744	126782864	1969812
181	1789397358	2026-09-14 14:49:18	36762264	127690904	1969812
182	1789398050	2026-09-14 15:00:50	36762888	126674024	1968744
183	1789398770	2026-09-14 15:12:50	36763240	127192568	1967540
184	1789399459	2026-09-14 15:24:19	36763604	126554104	1966676
185	1789400177	2026-09-14 15:36:17	36763496	126119152	1966676
186	1789400868	2026-09-14 15:47:48	36764028	126950456	1966600
187	1789401579	2026-09-14 15:59:39	36764416	126123304	1966592
188	1789402301	2026-09-14 16:11:41	36764624	126074260	1966560
189	1789403022	2026-09-14 16:23:42	36764088	126588792	1966556
190	1789403753	2026-09-14 16:35:53	36764596	126040932	1966540
191	1789404583	2026-09-14 16:49:43	36765244	125674416	1966472
192	1789405276	2026-09-14 17:01:16	36767512	125557896	1966368
193	1789406017	2026-09-14 17:13:37	36767800	125330688	1902548
194	1789406799	2026-09-14 17:26:39	32165276	129942016	7930160
195	1789407715	2026-09-14 17:41:55	31900264	128735832	8388464
196	1789408640	2026-09-14 17:57:20	31857444	129920384	8388120
197	1789409360	2026-09-14 18:09:20	31901692	128076356	8272824
198	1789410076	2026-09-14 18:21:16	31904428	130418636	8387776
199	1789410800	2026-09-14 18:33:20	31904440	131270144	8380592
200	1789411569	2026-09-14 18:46:09		189446512	2073104
201	1789412428	2026-09-14 19:00:28	36664572	130278500	2192920
202	1789413148	2026-09-14 19:12:28	34551124	131699804	4434488
203	1789413873	2026-09-14 19:24:33	33769916	135003548	7711596
204	1789414589	2026-09-14 19:36:29	33773580	135039084	7006764
205	1789415333	2026-09-14 19:48:53	33776416	134575376	6785532
206	1789416070	2026-09-14 20:01:10	32678068	135763084	7953800
207	1789416804	2026-09-14 20:13:24	32681824	134563724	7947864
208	1789417535	2026-09-14 20:25:35	32684104	135314684	7892812
209	1789418267	2026-09-14 20:37:47	32686564	135005972	7879084
210	1789419030	2026-09-14 20:50:30	32689308	135131908	7859564
211	1789419732	2026-09-14 21:02:12	32690260	135425732	7842068
212	1789420434	2026-09-14 21:13:54	32691564	135551092	7827660
213	1789421134	2026-09-14 21:25:34	32692064	135399480	7819732
214	1789421836	2026-09-14 21:37:16	32693260	135610680	7815552
215	1789422538	2026-09-14 21:48:58	32694056	135401496	7810184
216	1789423239	2026-09-14 22:00:39	32695696	135548332	7802628
217	1789423939	2026-09-14 22:12:19	32697136	134516996	7797680
218	1789424642	2026-09-14 22:24:02	32697600	134931972	7790680
219	1789425398	2026-09-14 22:36:38	32697652	135138520	7781048
220	1789426101	2026-09-14 22:48:21	32699632	135014420	7777504
221	1789426804	2026-09-14 23:00:04	32700272	134681716	7770712
222	1789427508	2026-09-14 23:11:48	32700740	133460956	7763700
223	1789428208	2026-09-14 23:23:28	32701388	134039876	7758632
224	1789428912	2026-09-14 23:35:12	32153372	134064260	8388212
225	1789429617	2026-09-14 23:46:57	32153984	134657688	8388580
226	1789430320	2026-09-14 23:58:40	32155108	135108408	8380432
227	1789431020	2026-09-15 00:10:20	32147588	135095400	8388584
228	1789431722	2026-09-15 00:22:02	31938644	135686720	8388448
229	1789432423	2026-09-15 00:33:43	31951996	135846520	8352996
230	1789433123	2026-09-15 00:45:23	31953792	135451144	8343220
231	1789433820	2026-09-15 00:57:00	31954584	134303924	8335036
232	1789434514	2026-09-15 01:08:34	31955288	133322100	8325672
233	1789435200	2026-09-15 01:20:00	31956784	134363768	8310088
234	1789435884	2026-09-15 01:31:24	31956852	134271772	8294408
235	1789436573	2026-09-15 01:42:53	31963388	133641252	8286408
236	1789437258	2026-09-15 01:54:18	31963788	133035716	8266836
237	1789437944	2026-09-15 02:05:44	31963936	133170208	8266412
