utc	epoch	pid	etime_s	rss_gib	arena_class_gib	arena_class_maps	threads
2026-09-14 18:43:32	199	2957315	28768	5.26	3.99	324	168
2026-09-14 18:43:32	199	2957423	28764	5.34	4.16	323	168
2026-09-14 18:43:32	199	2957627	28759	5.54	4.27	321	168
2026-09-14 18:43:32	199	2957808	28755	9.28	7.81	409	168
2026-09-14 18:43:32	199	3059100	0	0.00	0.00	0	1
2026-09-14 19:00:33	201	3063438	755	5.24	3.51	377	168
2026-09-14 19:00:33	201	3063558	750	5.27	3.52	373	168
2026-09-14 19:00:33	201	3063747	745	5.11	3.39	368	168
2026-09-14 19:00:33	201	3063951	740	5.11	3.45	369	168
2026-09-14 19:12:34	202	3063438	1476	5.14	3.61	372	168
2026-09-14 19:12:34	202	3063558	1471	5.28	3.77	359	168
2026-09-14 19:12:34	202	3063747	1466	5.15	3.66	357	168
2026-09-14 19:12:34	202	3063951	1461	5.16	3.72	356	168
2026-09-14 19:24:35	203	3063438	2196	4.74	3.50	363	168
2026-09-14 19:24:35	203	3063558	2192	5.15	3.83	352	168
2026-09-14 19:24:35	203	3063747	2187	4.85	3.63	350	168
2026-09-14 19:24:35	203	3063951	2182	5.00	3.79	344	168
2026-09-14 19:36:35	204	3063438	2917	4.86	3.61	359	168
2026-09-14 19:36:35	204	3063558	2913	5.17	3.86	346	168
2026-09-14 19:36:36	204	3063747	2908	5.01	3.81	341	168
2026-09-14 19:36:36	204	3063951	2903	5.09	3.88	339	168
2026-09-14 19:49:06	205	3063438	3668	4.82	3.63	351	168
2026-09-14 19:49:06	205	3063558	3663	5.07	3.81	341	168
2026-09-14 19:49:07	205	3063747	3659	4.98	3.84	339	168
2026-09-14 19:49:07	205	3063951	3654	5.04	3.91	337	168
2026-09-14 20:01:37	206	3063438	4419	4.85	3.76	349	168
2026-09-14 20:01:37	206	3063558	4414	5.59	3.82	339	168
2026-09-14 20:01:37	206	3063747	4409	4.79	3.74	336	168
2026-09-14 20:01:38	206	3063951	4405	5.05	3.98	335	168
2026-09-14 20:13:38	207	3063438	5140	4.95	3.75	340	168
2026-09-14 20:13:38	207	3063558	5135	5.11	3.85	339	168
2026-09-14 20:13:38	207	3063747	5130	4.95	3.82	334	168
2026-09-14 20:13:38	207	3063951	5125	5.05	3.91	333	168
2026-09-14 20:25:39	208	3063438	5861	4.96	3.76	335	168
2026-09-14 20:25:39	208	3063558	5856	5.10	3.83	336	168
2026-09-14 20:25:39	208	3063747	5851	5.04	3.90	333	168
2026-09-14 20:25:39	208	3063951	5846	5.13	3.99	334	168
2026-09-14 20:38:10	209	3063438	6612	4.95	3.75	332	168
2026-09-14 20:38:10	209	3063558	6607	5.17	3.91	334	168
2026-09-14 20:38:10	209	3063747	6602	5.03	3.88	333	168
2026-09-14 20:38:10	209	3063951	6597	5.19	4.07	331	168
2026-09-14 20:50:41	210	3063438	7362	5.02	3.73	330	168
2026-09-14 20:50:41	210	3063558	7358	5.20	3.93	332	168
2026-09-14 20:50:41	210	3063747	7353	5.07	3.93	333	168
2026-09-14 20:50:41	210	3063951	7348	5.06	4.05	337	168
2026-09-14 21:02:41	211	3063438	8083	5.18	3.86	331	168
2026-09-14 21:02:42	211	3063558	8079	5.30	3.98	326	168
2026-09-14 21:02:42	211	3063747	8074	5.06	3.93	331	168
2026-09-14 21:02:42	211	3063951	8069	5.25	4.09	331	168
2026-09-14 21:14:12	212	3063438	8774	5.14	3.84	328	168
2026-09-14 21:14:12	212	3063558	8770	5.23	3.92	324	168
2026-09-14 21:14:13	212	3063747	8765	5.16	4.00	330	168
2026-09-14 21:14:13	212	3063951	8760	5.27	4.16	331	168
2026-09-14 21:25:43	213	3063438	9465	5.20	3.90	326	168
2026-09-14 21:25:43	213	3063558	9460	5.28	3.99	326	168
2026-09-14 21:25:43	213	3063747	9456	5.22	4.07	330	168
2026-09-14 21:25:44	213	3063951	9451	5.22	4.09	331	168
2026-09-14 21:37:44	214	3063438	10186	5.17	3.88	325	168
2026-09-14 21:37:44	214	3063558	10181	5.27	3.95	323	168
2026-09-14 21:37:44	214	3063747	10176	5.03	3.87	330	168
2026-09-14 21:37:44	214	3063951	10171	5.22	4.07	326	168
