epoch,train_loss,lr,top1,top5
1,6.057826,0.020000,8.704000,22.718000
2,4.720288,0.040000,17.344000,38.556000
3,4.147939,0.060000,25.782000,50.714000
4,3.862625,0.080000,33.286000,59.414000
5,3.720007,0.100000,30.062000,56.000000
6,3.610821,0.099966,32.502000,58.880000
7,3.517792,0.099863,40.346000,67.466000
8,3.462374,0.099693,40.424000,67.028000
9,3.415327,0.099455,37.952000,64.124000
10,3.379336,0.099149,44.640000,71.256000
11,3.356909,0.098776,43.020000,69.366000
12,3.334873,0.098336,41.010000,67.550000
13,3.312557,0.097830,43.500000,69.950000
14,3.292173,0.097259,42.272000,68.506000
15,3.283251,0.096624,44.320000,71.270000
16,3.263034,0.095924,41.556000,68.146000
17,3.257690,0.095162,41.190000,67.276000
18,3.241765,0.094339,48.746000,74.818000
19,3.226006,0.093454,45.398000,71.602000
20,3.219893,0.092511,46.138000,72.180000
21,3.210032,0.091509,43.962000,70.298000
22,3.197333,0.090451,45.606000,72.048000
23,3.190426,0.089337,47.066000,73.310000
24,3.178556,0.088170,44.614000,71.226000
25,3.167491,0.086950,48.232000,74.432000
26,3.162205,0.085681,47.122000,73.100000
27,3.149746,0.084362,47.140000,72.992000
28,3.138741,0.082996,47.708000,73.676000
29,3.127194,0.081586,49.058000,75.064000
30,3.122511,0.080132,48.696000,74.786000
31,3.112914,0.078637,50.764000,76.252000
32,3.103476,0.077103,49.482000,75.210000
33,3.086961,0.075532,49.918000,75.802000
34,3.078230,0.073926,50.870000,76.070000
35,3.070768,0.072287,45.042000,71.150000
36,3.056982,0.070618,49.854000,75.592000
37,3.050970,0.068921,51.510000,76.834000
38,3.039530,0.067197,49.340000,74.972000
39,3.026947,0.065451,52.372000,77.708000
40,3.015498,0.063683,48.836000,74.622000
41,3.002648,0.061897,52.118000,77.764000
42,2.989363,0.060094,51.936000,77.208000
43,2.979262,0.058278,52.538000,77.548000
44,2.968616,0.056450,53.340000,78.034000
45,2.952905,0.054613,53.344000,78.376000
46,2.941852,0.052771,53.546000,78.498000
47,2.929228,0.050924,53.954000,79.032000
48,2.913850,0.049076,55.016000,79.746000
49,2.904657,0.047229,54.298000,79.124000
50,2.893199,0.045387,56.342000,80.704000
51,2.873570,0.043550,55.950000,80.550000
52,2.858758,0.041722,53.802000,78.900000
53,2.844049,0.039906,57.108000,81.384000
54,2.824143,0.038103,56.808000,81.292000
55,2.812752,0.036317,58.256000,82.262000
56,2.797323,0.034549,59.130000,82.682000
57,2.781105,0.032803,56.062000,80.478000
58,2.757175,0.031079,57.572000,81.316000
59,2.745698,0.029382,59.864000,83.102000
60,2.724718,0.027713,60.718000,83.794000
61,2.707714,0.026074,59.124000,82.640000
62,2.689098,0.024468,61.548000,84.596000
63,2.675442,0.022897,61.540000,84.290000
64,2.646765,0.021363,62.140000,84.690000
65,2.630577,0.019868,58.112000,81.982000
66,2.612488,0.018414,62.456000,84.754000
67,2.590570,0.017004,63.994000,86.112000
68,2.573229,0.015638,64.528000,86.466000
69,2.544366,0.014319,63.400000,85.312000
70,2.528598,0.013050,65.452000,86.610000
71,2.503342,0.011830,66.198000,87.044000
72,2.479838,0.010663,67.156000,87.774000
73,2.451901,0.009549,67.612000,88.166000
74,2.433780,0.008491,67.276000,87.626000
75,2.404176,0.007489,68.536000,88.752000
76,2.377235,0.006546,69.730000,89.520000
77,2.361833,0.005661,69.570000,89.428000
78,2.331976,0.004838,70.410000,89.764000
79,2.307550,0.004076,70.622000,89.884000
80,2.277969,0.003376,71.560000,90.404000
81,2.253059,0.002741,71.610000,90.414000
82,2.234579,0.002170,72.366000,90.774000
83,2.218211,0.001664,72.702000,90.994000
84,2.192154,0.001224,73.036000,91.246000
85,2.176072,0.000851,73.420000,91.470000
86,2.157853,0.000545,73.724000,91.582000
87,2.149088,0.000307,73.904000,91.636000
88,2.137863,0.000137,73.972000,91.728000
89,2.137715,0.000034,74.058000,91.722000
90,2.128329,0.000000,74.064000,91.754000
