epoch,loss,val_acc,test_acc
1,1.900930,57.884000,46.803000
2,0.416170,69.276000,54.810000
3,0.257190,73.172000,56.552000
4,0.195660,78.508000,62.484000
5,0.162870,78.619000,63.170000
6,0.139070,77.677000,63.726000
7,0.116450,80.096000,62.373000
8,0.103490,83.309000,63.411000
9,0.085680,83.733000,65.728000
10,0.078640,81.592000,62.966000
11,0.063480,83.253000,63.874000
12,0.052860,81.407000,64.004000
13,0.047680,86.540000,68.545000
14,0.032280,84.490000,67.748000
15,0.036400,84.841000,67.192000
16,0.023640,84.915000,69.249000
17,0.019650,85.377000,68.082000
18,0.017630,85.340000,66.636000
19,0.012900,86.780000,70.436000
20,0.008920,88.220000,71.029000
21,0.007250,87.445000,70.324000
22,0.005610,87.445000,67.970000
23,0.006340,87.112000,70.436000
24,0.003770,87.574000,70.639000
25,0.003680,87.592000,70.639000
26,0.002950,87.334000,70.547000
27,0.002720,87.555000,71.140000
28,0.002660,87.574000,70.973000
29,0.002460,87.555000,70.880000
30,0.002390,87.555000,70.955000
