epoch,loss,val_acc,test_acc
1,1.615390,70.015000,56.237000
2,0.311410,80.428000,63.911000
3,0.170750,82.866000,68.026000
4,0.122980,83.013000,68.563000
5,0.105230,86.300000,68.415000
6,0.077610,83.290000,68.007000
7,0.076230,83.253000,68.879000
8,0.062430,80.613000,65.042000
9,0.047760,87.445000,72.678000
10,0.039420,87.445000,74.402000
11,0.036420,84.989000,70.602000
12,0.028720,88.977000,75.292000
13,0.018030,90.066000,73.624000
14,0.024610,89.753000,75.070000
15,0.018890,86.983000,72.475000
16,0.012420,90.547000,76.812000
17,0.007450,88.885000,74.458000
18,0.008440,89.365000,73.753000
19,0.007810,90.030000,75.848000
20,0.005270,91.174000,77.720000
21,0.003610,91.691000,77.590000
22,0.003160,91.562000,77.349000
23,0.003010,91.433000,77.034000
24,0.002940,92.282000,78.777000
25,0.002840,91.747000,76.812000
26,0.002490,91.876000,77.368000
27,0.002250,91.710000,77.424000
28,0.002250,92.171000,77.739000
29,0.002080,92.134000,77.720000
30,0.002050,92.227000,77.868000
