epoch,loss,val_acc,test_acc
1,1.938700,74.870000,76.018000
2,0.420810,92.209000,92.876000
3,0.237550,93.301000,94.097000
4,0.180620,94.060000,94.523000
5,0.152180,94.597000,94.874000
6,0.127820,95.078000,95.873000
7,0.116940,95.078000,95.762000
8,0.094080,95.263000,96.244000
9,0.075530,94.041000,94.745000
10,0.073350,95.855000,97.021000
11,0.061450,96.281000,97.132000
12,0.047910,96.207000,97.002000
13,0.043810,96.854000,97.335000
14,0.030500,96.262000,97.039000
15,0.033010,96.910000,97.613000
16,0.019410,96.484000,97.021000
17,0.020050,97.335000,97.668000
18,0.013270,97.243000,97.687000
19,0.012340,97.465000,97.650000
20,0.007590,97.613000,98.001000
21,0.005730,97.613000,98.038000
22,0.004850,97.594000,98.113000
23,0.004140,97.761000,98.205000
24,0.003200,97.668000,98.113000
25,0.002510,97.705000,98.205000
26,0.002250,97.742000,98.150000
27,0.001910,97.798000,98.113000
28,0.001910,97.835000,98.205000
29,0.001830,97.816000,98.168000
30,0.001740,97.779000,98.261000
