epoch,loss,val_acc,test_acc
1,1.661210,85.492000,86.380000
2,0.307290,92.728000,93.301000
3,0.161340,94.597000,95.503000
4,0.119420,96.095000,96.244000
5,0.099300,95.929000,96.780000
6,0.081960,95.485000,96.207000
7,0.067110,94.189000,94.578000
8,0.051160,95.448000,95.318000
9,0.057730,97.576000,97.816000
10,0.033250,97.557000,97.650000
11,0.033790,97.058000,97.428000
12,0.030370,97.539000,97.835000
13,0.021780,97.650000,97.742000
14,0.018180,97.650000,98.261000
15,0.015610,97.687000,97.983000
16,0.010020,97.613000,97.983000
17,0.009510,97.890000,98.298000
18,0.011810,98.075000,98.279000
19,0.004200,98.150000,98.224000
20,0.004260,98.150000,98.501000
21,0.002760,98.261000,98.446000
22,0.002530,98.316000,98.353000
23,0.002230,98.372000,98.520000
24,0.002180,98.316000,98.464000
25,0.001880,98.279000,98.538000
26,0.001790,98.372000,98.557000
27,0.001610,98.316000,98.464000
28,0.001610,98.316000,98.464000
29,0.001480,98.335000,98.520000
30,0.001480,98.335000,98.501000
