epoch,loss,val_acc,test_acc
1,3.408310,12.408000,9.008000
2,3.117070,15.491000,10.658000
3,2.892640,15.122000,11.659000
4,2.710730,14.882000,14.124000
5,2.593180,19.978000,15.107000
6,2.502220,20.643000,14.958000
7,2.433890,17.153000,14.235000
8,2.357910,17.338000,12.956000
9,2.271670,20.089000,13.846000
10,2.230100,19.405000,13.883000
11,2.171240,18.316000,15.107000
12,2.130070,17.079000,13.753000
13,2.079110,20.735000,13.865000
14,2.035460,19.258000,13.883000
15,2.000740,17.633000,13.346000
16,1.964890,21.584000,15.070000
17,1.921840,19.092000,14.680000
18,1.896570,22.507000,14.884000
19,1.864420,22.157000,15.236000
20,1.830800,22.452000,14.347000
21,1.811910,25.000000,15.366000
22,1.790810,24.483000,14.903000
23,1.767230,23.449000,15.755000
24,1.752380,22.175000,16.367000
25,1.736520,24.465000,15.255000
26,1.721800,24.649000,16.867000
27,1.712860,23.837000,15.644000
28,1.705420,24.631000,15.829000
29,1.700310,24.280000,16.089000
30,1.697810,24.335000,15.848000
