epoch,loss,val_acc,test_acc
1,3.416630,17.709000,18.653000
2,3.136850,21.466000,22.927000
3,2.954550,21.225000,21.244000
4,2.805720,30.070000,30.496000
5,2.687850,26.517000,26.351000
6,2.635590,30.385000,30.848000
7,2.540370,34.123000,34.252000
8,2.486850,36.936000,38.027000
9,2.408830,37.898000,39.101000
10,2.359340,37.176000,37.398000
11,2.293550,38.509000,38.731000
12,2.246540,39.082000,38.564000
13,2.195880,42.080000,42.839000
14,2.173480,43.542000,44.356000
15,2.120690,40.137000,40.211000
16,2.083550,39.489000,40.063000
17,2.059100,45.744000,45.300000
18,2.011550,42.728000,43.190000
19,1.989520,46.095000,47.113000
20,1.960400,47.946000,47.872000
21,1.934070,49.075000,49.667000
22,1.911540,49.019000,49.315000
23,1.887950,48.150000,48.723000
24,1.871410,51.795000,51.499000
25,1.855340,51.499000,52.165000
26,1.840770,51.832000,52.443000
27,1.832420,52.239000,52.498000
28,1.824120,52.961000,52.646000
29,1.818880,52.887000,53.035000
30,1.816290,53.090000,53.201000
