epoch,loss,val_acc,test_acc
1,2.901220,21.492000,16.830000
2,1.931720,28.859000,22.150000
3,1.445900,35.635000,27.822000
4,1.143330,41.451000,27.915000
5,0.937410,43.630000,30.751000
6,0.833900,47.877000,33.272000
7,0.737600,50.111000,35.125000
8,0.635580,53.047000,34.921000
9,0.571290,54.487000,35.885000
10,0.543970,54.579000,38.091000
11,0.482590,52.936000,36.274000
12,0.442270,57.312000,38.387000
13,0.425730,58.530000,37.053000
14,0.380520,60.044000,39.685000
15,0.359930,60.377000,38.462000
16,0.338570,59.306000,39.944000
17,0.309800,62.020000,42.039000
18,0.294720,61.891000,42.243000
19,0.274010,63.922000,40.723000
20,0.258110,63.165000,42.521000
21,0.243430,64.402000,41.742000
22,0.230230,63.996000,41.687000
23,0.219760,63.589000,41.891000
24,0.210330,66.359000,42.095000
25,0.202670,65.214000,42.743000
26,0.195700,65.510000,43.299000
27,0.190170,66.119000,43.596000
28,0.186020,66.082000,43.188000
29,0.183310,66.137000,43.225000
30,0.182000,66.137000,43.318000
