epoch,loss,val_acc,test_acc
1,2.971730,27.313000,26.684000
2,2.092180,43.708000,43.061000
3,1.541470,55.903000,55.089000
4,1.205370,63.472000,63.360000
5,0.993300,71.540000,72.946000
6,0.830030,76.684000,77.498000
7,0.738620,82.457000,82.920000
8,0.644900,80.681000,80.903000
9,0.557590,82.568000,83.420000
10,0.526290,86.010000,87.380000
11,0.450370,87.805000,88.416000
12,0.413630,85.492000,86.195000
13,0.404280,89.859000,90.600000
14,0.347970,91.007000,91.895000
15,0.321720,90.285000,91.210000
16,0.293960,89.656000,90.192000
17,0.272730,91.284000,91.950000
18,0.255080,89.175000,90.007000
19,0.236670,91.118000,92.080000
20,0.218240,92.135000,93.338000
21,0.200510,92.691000,93.745000
22,0.186880,93.135000,94.301000
23,0.176650,93.468000,94.393000
24,0.166880,93.394000,94.541000
25,0.157280,93.616000,94.578000
26,0.151130,93.782000,94.708000
27,0.146060,93.671000,94.948000
28,0.141950,93.764000,94.837000
29,0.139060,93.801000,94.874000
30,0.137550,93.819000,94.856000
