epoch,train_loss,lr,top1,top5
1,6.917888,0.000013,0.514000,2.212000
2,6.856796,0.000025,0.666000,2.534000
3,6.801946,0.000038,1.516000,5.452000
4,6.701191,0.000050,2.506000,8.496000
5,6.594286,0.000063,4.244000,13.432000
6,6.459901,0.000075,7.392000,19.984000
7,6.305431,0.000087,12.106000,28.596000
8,6.137462,0.000100,16.820000,36.866000
9,5.961836,0.000112,22.382000,45.002000
10,5.770290,0.000125,28.188000,52.722000
11,5.586691,0.000138,34.140000,59.138000
12,5.405083,0.000150,38.888000,64.470000
13,5.232421,0.000163,43.818000,69.418000
14,5.083098,0.000175,47.496000,73.036000
15,4.943739,0.000188,50.502000,75.756000
16,4.835839,0.000200,53.394000,77.992000
17,4.754553,0.000212,55.478000,79.518000
18,4.672165,0.000225,57.030000,80.958000
19,4.607409,0.000238,58.250000,81.968000
20,4.571628,0.000250,59.772000,82.840000
21,4.504952,0.000250,60.592000,83.406000
22,4.449302,0.000250,61.814000,84.374000
23,4.393767,0.000250,62.938000,85.004000
24,4.354447,0.000250,63.620000,85.652000
25,4.318269,0.000250,64.566000,86.158000
26,4.263425,0.000250,65.294000,86.948000
27,4.227810,0.000250,65.758000,87.168000
28,4.203433,0.000249,66.888000,87.658000
29,4.161035,0.000249,67.166000,88.126000
30,4.139646,0.000249,67.576000,88.354000
31,4.136517,0.000249,67.882000,88.324000
32,4.102703,0.000249,68.650000,88.934000
33,4.082509,0.000249,68.192000,88.646000
34,4.045924,0.000248,68.896000,89.082000
35,4.029154,0.000248,69.142000,89.510000
36,4.006510,0.000248,69.412000,89.334000
37,4.008733,0.000248,69.710000,89.522000
38,3.976315,0.000247,70.106000,89.782000
39,3.975208,0.000247,70.544000,90.030000
40,3.955910,0.000247,70.702000,90.258000
41,3.933009,0.000247,70.776000,90.294000
42,3.927190,0.000246,70.936000,90.274000
43,3.918983,0.000246,71.058000,90.506000
44,3.895469,0.000245,71.412000,90.474000
45,3.871259,0.000245,71.678000,90.636000
46,3.877376,0.000245,71.754000,90.880000
47,3.864268,0.000244,71.890000,90.774000
48,3.844988,0.000244,71.848000,91.014000
49,3.855432,0.000243,72.172000,91.080000
50,3.839780,0.000243,72.222000,91.058000
51,3.833744,0.000243,72.438000,91.318000
52,3.815472,0.000242,72.560000,91.242000
53,3.811947,0.000242,72.852000,91.364000
54,3.814566,0.000241,72.686000,91.304000
55,3.789756,0.000240,72.944000,91.490000
56,3.797655,0.000240,73.178000,91.514000
57,3.772389,0.000239,73.204000,91.646000
58,3.767421,0.000239,73.404000,91.700000
59,3.771232,0.000238,73.476000,91.714000
60,3.761725,0.000238,73.506000,91.986000
61,3.754989,0.000237,73.292000,91.790000
62,3.754273,0.000236,73.838000,91.960000
63,3.748020,0.000236,73.604000,91.886000
64,3.720148,0.000235,73.980000,92.114000
65,3.726684,0.000234,73.774000,92.030000
66,3.717689,0.000234,73.824000,92.138000
67,3.702731,0.000233,73.858000,91.986000
68,3.712558,0.000232,73.960000,92.148000
69,3.699988,0.000232,73.686000,92.088000
70,3.697829,0.000231,74.068000,92.134000
71,3.699532,0.000230,74.078000,92.120000
72,3.687826,0.000229,74.050000,92.230000
73,3.673649,0.000229,74.118000,92.266000
74,3.679361,0.000228,74.614000,92.392000
75,3.666971,0.000227,74.268000,92.418000
76,3.670886,0.000226,74.408000,92.410000
77,3.661268,0.000225,74.672000,92.562000
78,3.665782,0.000224,74.728000,92.632000
79,3.660134,0.000224,74.724000,92.612000
80,3.653413,0.000223,74.606000,92.632000
81,3.649767,0.000222,74.936000,92.600000
82,3.636889,0.000221,74.864000,92.786000
83,3.633135,0.000220,74.684000,92.496000
84,3.624900,0.000219,74.784000,92.614000
85,3.627564,0.000218,75.084000,92.766000
86,3.615921,0.000217,74.780000,92.830000
87,3.624252,0.000216,74.952000,92.730000
88,3.608953,0.000215,75.312000,92.900000
89,3.629638,0.000214,75.278000,92.824000
90,3.605609,0.000213,75.220000,92.902000
91,3.599200,0.000212,75.366000,93.010000
92,3.598937,0.000211,75.346000,92.830000
93,3.603990,0.000210,75.216000,92.936000
94,3.582804,0.000209,75.640000,92.942000
95,3.588734,0.000208,75.476000,92.944000
96,3.586512,0.000207,75.702000,93.054000
97,3.586849,0.000206,75.342000,92.974000
98,3.591287,0.000205,75.744000,93.098000
99,3.580200,0.000204,75.626000,93.178000
100,3.578371,0.000203,75.852000,93.008000
101,3.573659,0.000202,75.610000,93.038000
102,3.568492,0.000201,75.846000,93.056000
103,3.578287,0.000200,75.786000,93.258000
104,3.557322,0.000198,75.900000,93.268000
105,3.555719,0.000197,76.048000,93.324000
106,3.546234,0.000196,76.146000,93.210000
107,3.537011,0.000195,76.030000,93.314000
108,3.542492,0.000194,75.932000,93.286000
109,3.536519,0.000193,75.840000,93.240000
110,3.524117,0.000192,76.354000,93.448000
111,3.536873,0.000190,75.970000,93.270000
112,3.537155,0.000189,76.106000,93.396000
113,3.538521,0.000188,76.124000,93.420000
114,3.521019,0.000187,76.490000,93.480000
115,3.512910,0.000185,76.554000,93.480000
116,3.528048,0.000184,76.610000,93.518000
117,3.513626,0.000183,76.600000,93.516000
118,3.517363,0.000182,76.546000,93.520000
119,3.506844,0.000180,76.582000,93.500000
120,3.511411,0.000179,76.568000,93.606000
121,3.490966,0.000178,76.636000,93.498000
122,3.505622,0.000177,76.348000,93.442000
123,3.500931,0.000175,76.760000,93.488000
124,3.493603,0.000174,76.714000,93.732000
125,3.497954,0.000173,76.576000,93.664000
126,3.467609,0.000172,76.798000,93.686000
127,3.480513,0.000170,76.714000,93.774000
128,3.461320,0.000169,76.980000,93.618000
129,3.467557,0.000168,76.934000,93.722000
130,3.475768,0.000166,76.828000,93.664000
131,3.461797,0.000165,77.022000,93.806000
132,3.454674,0.000164,76.808000,93.588000
133,3.456645,0.000162,76.854000,93.664000
134,3.457847,0.000161,77.062000,94.010000
135,3.463217,0.000160,77.168000,93.838000
136,3.445029,0.000158,77.092000,93.800000
137,3.440692,0.000157,77.250000,93.802000
138,3.442537,0.000156,77.234000,93.958000
139,3.447975,0.000154,77.192000,93.764000
140,3.434439,0.000153,77.384000,93.954000
141,3.423518,0.000151,77.418000,93.982000
142,3.421637,0.000150,77.540000,94.050000
143,3.411757,0.000149,77.472000,93.828000
144,3.418810,0.000147,77.384000,93.910000
145,3.410445,0.000146,77.586000,94.024000
146,3.406118,0.000145,77.424000,93.942000
147,3.404306,0.000143,77.550000,93.954000
148,3.395996,0.000142,77.406000,93.930000
149,3.395978,0.000140,77.646000,94.174000
150,3.404782,0.000139,77.880000,94.042000
151,3.395113,0.000138,77.604000,94.062000
152,3.388404,0.000136,77.894000,94.132000
153,3.387353,0.000135,77.686000,94.186000
154,3.369404,0.000133,77.776000,94.078000
155,3.378771,0.000132,77.962000,94.000000
156,3.358451,0.000131,77.868000,94.072000
157,3.367339,0.000129,77.978000,94.236000
158,3.369118,0.000128,78.036000,94.150000
159,3.366376,0.000126,77.894000,94.200000
160,3.357823,0.000125,78.096000,94.242000
161,3.362343,0.000124,77.934000,94.210000
162,3.347897,0.000122,78.118000,94.320000
163,3.351543,0.000121,78.154000,94.346000
164,3.336823,0.000119,78.608000,94.412000
165,3.332843,0.000118,78.210000,94.294000
166,3.325364,0.000117,78.156000,94.218000
167,3.335806,0.000115,78.430000,94.352000
168,3.324261,0.000114,78.282000,94.304000
169,3.323505,0.000112,78.388000,94.416000
170,3.323444,0.000111,78.366000,94.330000
171,3.314836,0.000110,78.206000,94.434000
172,3.306933,0.000108,78.554000,94.452000
173,3.305107,0.000107,78.400000,94.432000
174,3.303292,0.000105,78.702000,94.552000
175,3.303065,0.000104,78.436000,94.428000
176,3.294280,0.000103,78.892000,94.446000
177,3.295170,0.000101,78.810000,94.610000
178,3.275521,0.000100,78.750000,94.524000
179,3.275756,0.000099,78.840000,94.660000
180,3.268484,0.000097,78.912000,94.654000
181,3.288223,0.000096,78.766000,94.726000
182,3.256447,0.000094,79.074000,94.650000
183,3.284756,0.000093,78.878000,94.596000
184,3.261670,0.000092,78.896000,94.714000
185,3.265582,0.000090,78.750000,94.568000
186,3.254270,0.000089,79.026000,94.756000
187,3.256891,0.000088,78.962000,94.770000
188,3.243107,0.000086,79.060000,94.662000
189,3.255424,0.000085,78.930000,94.750000
190,3.240367,0.000084,79.176000,94.756000
191,3.223758,0.000082,79.064000,94.756000
192,3.218614,0.000081,79.204000,94.768000
193,3.207533,0.000080,79.086000,94.744000
194,3.211446,0.000078,79.296000,94.818000
195,3.208137,0.000077,79.342000,94.820000
196,3.204380,0.000076,79.356000,94.878000
197,3.187744,0.000075,79.186000,94.796000
198,3.202378,0.000073,79.324000,94.734000
199,3.187291,0.000072,79.656000,94.888000
200,3.187286,0.000071,79.568000,94.850000
201,3.164144,0.000070,79.568000,94.956000
202,3.177592,0.000068,79.674000,94.844000
203,3.164447,0.000067,79.580000,94.884000
204,3.166865,0.000066,79.528000,94.866000
205,3.146622,0.000065,79.678000,95.032000
206,3.157033,0.000063,79.762000,95.002000
207,3.162966,0.000062,79.718000,95.000000
208,3.162664,0.000061,79.820000,95.038000
209,3.138925,0.000060,79.756000,95.046000
210,3.138596,0.000058,79.922000,95.024000
211,3.134102,0.000057,79.744000,95.056000
212,3.132353,0.000056,79.732000,95.074000
213,3.124411,0.000055,79.748000,94.992000
214,3.120965,0.000054,79.768000,95.102000
215,3.119516,0.000053,79.740000,95.010000
216,3.129944,0.000052,79.898000,95.186000
217,3.097885,0.000050,79.978000,95.074000
218,3.096859,0.000049,80.104000,95.200000
219,3.094746,0.000048,80.170000,95.026000
220,3.101739,0.000047,79.970000,94.990000
221,3.082715,0.000046,80.096000,95.178000
222,3.076171,0.000045,80.134000,95.190000
223,3.075742,0.000044,80.214000,95.180000
224,3.062816,0.000043,80.188000,95.262000
225,3.058543,0.000042,80.184000,95.192000
226,3.055461,0.000041,80.262000,95.238000
227,3.052505,0.000040,80.308000,95.186000
228,3.049336,0.000039,80.268000,95.250000
229,3.041829,0.000038,80.150000,95.076000
230,3.032063,0.000037,80.368000,95.192000
231,3.048262,0.000036,80.266000,95.178000
232,3.043804,0.000035,80.320000,95.268000
233,3.026913,0.000034,80.308000,95.302000
234,3.020026,0.000033,80.490000,95.238000
235,3.019263,0.000032,80.422000,95.332000
236,3.020763,0.000031,80.538000,95.316000
237,3.005244,0.000030,80.446000,95.372000
238,3.008761,0.000029,80.572000,95.346000
239,3.003658,0.000028,80.694000,95.352000
240,2.999797,0.000027,80.526000,95.368000
241,2.996519,0.000026,80.654000,95.418000
242,2.988266,0.000026,80.598000,95.360000
243,2.985315,0.000025,80.556000,95.346000
244,2.979273,0.000024,80.662000,95.404000
245,2.959566,0.000023,80.630000,95.384000
246,2.963796,0.000022,80.682000,95.410000
247,2.956867,0.000021,80.742000,95.322000
248,2.964100,0.000021,80.836000,95.378000
249,2.967530,0.000020,80.840000,95.526000
250,2.951148,0.000019,80.996000,95.494000
