utc	epoch	pid	etime_s	rss_gib	arena_class_gib	arena_class_maps	threads
2026-09-18 15:06:48	2	67695	1124	4.85	3.26	383	168
2026-09-18 15:06:49	2	67793	1121	5.00	3.42	372	168
2026-09-18 15:06:49	2	67991	1118	5.09	3.47	374	168
2026-09-18 15:06:49	2	68175	1115	5.18	3.40	371	168
2026-09-18 15:25:19	3	67695	2235	5.36	3.40	378	168
2026-09-18 15:25:19	3	67793	2232	5.47	3.76	359	168
2026-09-18 15:25:20	3	67991	2229	5.52	3.72	360	168
2026-09-18 15:25:20	3	68175	2226	5.40	3.59	364	168
2026-09-18 15:43:50	4	67695	3346	5.29	3.48	376	168
2026-09-18 15:43:50	4	67793	3343	5.43	3.82	348	168
2026-09-18 15:43:50	4	67991	3340	5.48	3.84	350	168
2026-09-18 15:43:51	4	68175	3337	5.53	3.73	358	168
2026-09-18 16:02:21	5	67695	4457	5.41	3.54	375	168
2026-09-18 16:02:21	5	67793	4454	5.71	3.88	342	168
2026-09-18 16:02:21	5	67991	4451	5.58	3.91	347	168
2026-09-18 16:02:22	5	68175	4447	5.59	3.79	348	168
2026-09-18 16:20:52	6	67695	5568	5.77	3.67	376	168
2026-09-18 16:20:52	6	67793	5565	5.72	3.88	338	168
2026-09-18 16:20:52	6	67991	5562	5.75	3.90	340	168
2026-09-18 16:20:52	6	68175	5558	5.79	3.86	345	168
2026-09-18 16:39:23	7	67695	6679	5.47	3.66	375	168
2026-09-18 16:39:23	7	67793	6676	5.62	3.92	335	168
2026-09-18 16:39:23	7	67991	6673	5.61	3.88	335	168
2026-09-18 16:39:23	7	68175	6669	5.64	3.84	339	168
2026-09-18 16:57:24	8	67695	7760	5.74	3.68	373	168
2026-09-18 16:57:24	8	67793	7757	5.88	4.04	333	168
2026-09-18 16:57:24	8	67991	7754	5.75	3.88	334	168
2026-09-18 16:57:24	8	68175	7750	5.79	3.89	339	168
2026-09-18 17:15:55	9	67695	8871	5.61	3.79	372	168
2026-09-18 17:15:55	9	67793	8868	5.72	4.02	332	168
2026-09-18 17:15:55	9	67991	8865	5.64	3.90	335	168
2026-09-18 17:15:55	9	68175	8861	5.74	3.92	336	168
2026-09-18 17:34:26	10	67793	9979	5.81	4.12	331	168
2026-09-18 17:34:26	10	67991	9975	5.65	3.91	335	168
2026-09-18 17:34:26	10	68175	9972	5.73	3.91	335	168
2026-09-18 17:34:26	10	108102	25	3.80	2.30	399	168
2026-09-18 17:52:27	11	67793	11060	6.00	4.16	333	168
2026-09-18 17:52:27	11	67991	11056	5.82	3.91	334	168
2026-09-18 17:52:27	11	68175	11053	5.83	4.02	334	168
2026-09-18 17:52:27	11	108102	1106	5.09	3.26	385	168
2026-09-18 18:10:58	12	67793	12171	6.14	4.15	333	168
2026-09-18 18:10:58	12	67991	12167	5.69	3.95	329	168
2026-09-18 18:10:58	12	68175	12164	6.04	4.10	328	168
2026-09-18 18:10:58	12	108102	2216	5.20	3.51	383	168
2026-09-18 18:29:29	13	67793	13281	5.85	4.05	330	168
2026-09-18 18:29:29	13	67991	13278	5.66	3.93	327	168
2026-09-18 18:29:29	13	68175	13275	5.81	4.05	327	168
2026-09-18 18:29:29	13	108102	3327	5.32	3.71	382	168
2026-09-18 18:47:30	14	67793	14362	5.73	4.09	335	168
2026-09-18 18:47:30	14	67991	14359	5.64	3.91	330	168
2026-09-18 18:47:30	14	68175	14356	5.89	4.13	326	168
2026-09-18 18:47:30	14	108102	4408	5.27	3.66	378	168
2026-09-18 19:06:01	15	67793	15473	5.75	4.04	334	168
2026-09-18 19:06:01	15	67991	15470	5.69	3.97	330	168
2026-09-18 19:06:01	15	68175	15467	5.94	4.17	326	168
2026-09-18 19:06:01	15	108102	5519	5.38	3.77	376	168
2026-09-18 19:24:32	16	67793	16584	5.84	4.19	330	168
2026-09-18 19:24:32	16	67991	16581	5.70	3.98	329	168
2026-09-18 19:24:32	16	68175	16578	6.17	4.12	325	168
2026-09-18 19:24:32	16	108102	6630	5.53	3.88	379	168
2026-09-18 19:42:33	17	67793	17665	5.77	4.10	329	168
2026-09-18 19:42:33	17	67991	17662	5.75	4.02	329	168
2026-09-18 19:42:33	17	68175	17659	5.87	4.11	324	168
2026-09-18 19:42:33	17	108102	7711	5.49	3.88	380	168
2026-09-18 20:01:04	18	67793	18776	5.78	4.13	330	168
2026-09-18 20:01:04	18	67991	18773	6.12	4.10	332	168
2026-09-18 20:01:04	18	68175	18770	5.88	4.12	324	168
2026-09-18 20:01:04	18	108102	8822	5.63	3.86	376	168
2026-09-18 20:19:04	19	67793	19857	6.09	4.15	328	168
2026-09-18 20:19:05	19	67991	19854	5.88	4.15	330	168
2026-09-18 20:19:05	19	68175	19851	5.96	4.07	324	168
2026-09-18 20:19:05	19	108102	9903	5.47	3.81	373	168
2026-09-18 20:37:35	20	67991	20965	5.74	4.01	330	168
2026-09-18 20:37:36	20	68175	20961	6.09	4.09	323	168
2026-09-18 20:37:36	20	108102	11014	5.64	3.80	373	168
2026-09-18 20:37:36	20	147398	25	3.86	2.28	397	168
2026-09-18 20:55:36	21	67991	22046	5.83	4.10	330	168
2026-09-18 20:55:36	21	68175	22042	5.84	4.07	324	168
2026-09-18 20:55:37	21	108102	12095	5.72	3.78	361	168
2026-09-18 20:55:37	21	147398	1106	5.05	3.29	385	168
2026-09-18 21:14:07	22	67991	23157	5.97	4.11	329	168
2026-09-18 21:14:07	22	68175	23153	5.89	3.98	322	168
2026-09-18 21:14:08	22	108102	13206	5.60	3.82	351	168
2026-09-18 21:14:08	22	147398	2217	5.15	3.53	385	168
2026-09-18 21:32:08	23	67991	24238	5.95	4.08	329	168
2026-09-18 21:32:08	23	68175	24234	5.94	4.04	322	168
2026-09-18 21:32:09	23	108102	14287	5.74	3.86	347	168
2026-09-18 21:32:09	23	147398	3298	5.28	3.51	382	168
2026-09-18 21:50:39	24	67991	25349	5.91	4.03	329	168
2026-09-18 21:50:39	24	68175	25345	5.88	4.10	322	168
2026-09-18 21:50:39	24	108102	15398	5.60	3.90	344	168
2026-09-18 21:50:40	24	147398	4409	5.26	3.64	382	168
2026-09-18 22:08:40	25	67991	26430	5.82	4.08	329	168
2026-09-18 22:08:40	25	68175	26426	5.76	3.99	323	168
2026-09-18 22:08:40	25	108102	16479	5.72	3.87	343	168
2026-09-18 22:08:41	25	147398	5490	5.52	3.72	379	168
2026-09-18 22:27:11	26	67991	27540	5.87	4.13	327	168
2026-09-18 22:27:11	26	68175	27537	5.84	4.08	322	168
