epoch	lr	train_loss	top1_n	top1	top5	val_loss	train_s	val_s
1	1.2e-05	6.919	322	0.0064	0.0247	6.7495	1002.6	31.5
2	2.5e-05	6.857	338	0.0068	0.0281	6.6887	900.1	17.7
3	3.8e-05	6.803	651	0.013	0.0474	6.5203	900.0	17.6
4	5e-05	6.71	1168	0.0234	0.0779	6.2803	899.1	17.7
5	6.3e-05	6.5954	1914	0.0383	0.1138	5.9948	899.2	17.6
6	7.5e-05	6.4554	3239	0.0648	0.1787	5.6232	899.3	17.6
7	8.7e-05	6.2962	5268	0.1054	0.2537	5.2016	900.0	17.6
8	0.0001	6.1306	7511	0.1502	0.3319	4.7782	899.0	17.7
9	0.000112	5.9363	9975	0.1995	0.4129	4.3402	898.9	17.6
10	0.000125	5.7513	12817	0.2563	0.4901	3.9037	898.7	17.7
11	0.000137	5.5664	15656	0.3131	0.5601	3.5037	898.9	17.6
12	0.00015	5.3924	18388	0.3678	0.6197	3.1596	898.8	17.6
13	0.000163	5.2282	20863	0.4173	0.6693	2.8655	898.8	17.6
14	0.000175	5.0793	22908	0.4582	0.7084	2.6277	898.9	17.7
15	0.000188	4.9303	24611	0.4922	0.7365	2.4355	899.0	17.6
16	0.0002	4.818	26098	0.522	0.7628	2.2625	899.0	17.6
17	0.000213	4.7271	27498	0.55	0.7878	2.0894	899.1	17.6
18	0.000225	4.6533	28766	0.5753	0.8087	1.9471	898.8	17.6
19	0.000238	4.59	29831	0.5966	0.8251	1.8392	898.9	17.7
20	0.00025	4.5329	30757	0.6151	0.8388	1.7402	898.9	17.7
21	0.00025	4.4675	31638	0.6328	0.8517	1.6513	898.7	17.6
22	0.00025	4.4112	32345	0.6469	0.8616	1.5723	899.3	17.6
23	0.00025	4.3615	33060	0.6612	0.8695	1.5119	898.8	17.6
24	0.00025	4.3127	33579	0.6716	0.8764	1.4597	899.2	18.2
25	0.00025	4.2737	34008	0.6802	0.8831	1.4167	899.0	17.8
26	0.00025	4.2239	34366	0.6873	0.8875	1.3796	898.9	17.6
27	0.00025	4.1883	34728	0.6946	0.8909	1.3468	899.0	17.6
28	0.000249	4.1787	35033	0.7007	0.8945	1.3191	898.7	17.6
29	0.000249	4.1573	35281	0.7056	0.8983	1.295	898.6	17.6
30	0.000249	4.1102	35573	0.7115	0.9014	1.2711	898.3	17.6
31	0.000249	4.0962	35791	0.7158	0.9043	1.2509	898.5	17.7
32	0.000249	4.0827	35986	0.7197	0.907	1.2326	898.7	17.6
33	0.000249	4.0465	36124	0.7225	0.9095	1.2166	898.4	17.6
34	0.000248	4.0281	36331	0.7266	0.9111	1.2011	898.6	17.6
35	0.000248	4.0154	36545	0.7309	0.9126	1.1852	898.6	17.6
36	0.000248	3.9979	36618	0.7324	0.9147	1.1715	898.6	17.7
37	0.000248	3.9811	36755	0.7351	0.9163	1.1587	898.5	17.7
38	0.000247	3.9644	36881	0.7376	0.9173	1.1463	898.4	17.6
39	0.000247	3.9545	36992	0.7398	0.9188	1.1366	898.4	17.6
40	0.000247	3.9441	37086	0.7417	0.9198	1.1281	898.4	17.7
41	0.000247	3.9293	37194	0.7439	0.9215	1.1199	898.7	17.6
42	0.000246	3.9234	37279	0.7456	0.9225	1.1122	898.5	17.8
43	0.000246	3.8858	37368	0.7474	0.9233	1.1022	898.3	17.6
44	0.000245	3.9093	37448	0.749	0.9242	1.0951	897.6	17.7
45	0.000245	3.8943	37544	0.7509	0.925	1.0878	898.3	17.6
46	0.000245	3.8659	37580	0.7516	0.9265	1.0812	898.4	17.6
47	0.000244	3.8406	37677	0.7535	0.9267	1.0748	898.4	17.6
48	0.000244	3.8472	37736	0.7547	0.9268	1.0684	897.4	17.7
49	0.000243	3.8306	37800	0.756	0.9272	1.0609	897.6	17.6
50	0.000243	3.8261	37859	0.7572	0.9287	1.0558	900.1	17.6
51	0.000243	3.8125	37919	0.7584	0.9291	1.05	903.7	17.7
52	0.000242	3.808	38003	0.7601	0.9297	1.0445	898.9	17.6
53	0.000242	3.8142	38063	0.7613	0.9303	1.0389	898.5	17.6
54	0.000241	3.7932	38128	0.7626	0.931	1.0347	898.5	17.7
55	0.00024	3.8053	38149	0.763	0.9309	1.0313	898.6	17.6
56	0.00024	3.7776	38202	0.764	0.9319	1.0279	898.6	17.6
57	0.000239	3.7788	38259	0.7652	0.9326	1.0247	898.6	17.7
58	0.000239	3.7613	38330	0.7666	0.933	1.0191	898.3	17.6
59	0.000238	3.7574	38350	0.767	0.9337	1.0137	898.5	17.8
60	0.000238	3.7642	38400	0.768	0.9343	1.0096	898.2	17.6
61	0.000237	3.7611	38487	0.7697	0.9341	1.0064	898.4	20.7
62	0.000236	3.7435	38467	0.7693	0.9343	1.0012	900.0	17.6
63	0.000236	3.7491	38488	0.7698	0.9355	0.9981	899.9	17.6
64	0.000235	3.7297	38547	0.7709	0.9362	0.996	899.9	17.6
65	0.000234	3.7385	38551	0.771	0.9361	0.9936	898.8	17.7
66	0.000234	3.7266	38579	0.7716	0.9365	0.9909	898.8	17.7
67	0.000233	3.7179	38588	0.7718	0.9363	0.989	899.0	17.6
68	0.000232	3.7098	38642	0.7728	0.9371	0.9861	898.9	17.7
69	0.000232	3.7087	38670	0.7734	0.9377	0.9834	898.8	17.6
70	0.000231	3.7003	38743	0.7749	0.938	0.9797	899.0	18.0
71	0.00023	3.6914	38774	0.7755	0.9373	0.9775	900.1	17.6
72	0.000229	3.6838	38831	0.7766	0.9375	0.9737	900.8	17.7
73	0.000229	3.6848	38854	0.7771	0.9381	0.9706	900.4	17.6
74	0.000228	3.6838	38906	0.7781	0.9389	0.9675	899.1	17.7
75	0.000227	3.6822	38889	0.7778	0.9395	0.9664	901.0	17.6
76	0.000226	3.6763	38863	0.7773	0.9398	0.9644	899.0	17.8
77	0.000225	3.6636	38942	0.7788	0.9399	0.9619	899.3	17.6
78	0.000224	3.6632	38981	0.7796	0.9396	0.9605	899.1	17.6
79	0.000224	3.6617	38931	0.7786	0.9398	0.9598	899.2	17.6
80	0.000223	3.6603	38991	0.7798	0.9404	0.9587	899.3	17.6
81	0.000222	3.6558	38977	0.7795	0.9405	0.9563	898.7	17.8
82	0.000221	3.6446	39047	0.7809	0.9408	0.9534	898.9	17.6
83	0.00022	3.6441	39053	0.7811	0.9411	0.9498	899.0	17.7
84	0.000219	3.651	39058	0.7812	0.941	0.9477	899.0	17.6
85	0.000218	3.6373	39080	0.7816	0.941	0.9448	898.7	17.6
86	0.000217	3.6285	39134	0.7827	0.9415	0.9415	899.3	17.6
87	0.000216	3.6225	39198	0.784	0.9414	0.9383	899.2	17.8
88	0.000215	3.6299	39167	0.7833	0.9423	0.9371	899.3	17.6
89	0.000214	3.6201	39154	0.7831	0.9426	0.9362	898.9	17.7
90	0.000213	3.6069	39179	0.7836	0.9428	0.9352	899.0	17.6
91	0.000212	3.6041	39217	0.7843	0.9429	0.9334	898.7	17.6
92	0.000211	3.6065	39214	0.7843	0.9429	0.9318	899.3	17.6
93	0.00021	3.6015	39291	0.7858	0.9435	0.9308	899.1	17.8
94	0.000209	3.6003	39285	0.7857	0.943	0.9296	898.6	17.6
95	0.000208	3.6006	39308	0.7862	0.9431	0.9282	898.8	17.6
96	0.000207	3.6048	39277	0.7855	0.9436	0.9267	898.6	17.6
97	0.000206	3.5956	39286	0.7857	0.9436	0.9229	899.0	17.7
98	0.000205	3.5821	39335	0.7867	0.9438	0.9209	899.1	17.9
99	0.000204	3.5776	39369	0.7874	0.9438	0.9201	899.3	17.6
100	0.000203	3.5772	39395	0.7879	0.9442	0.9189	898.9	17.7
101	0.000202	3.573	39392	0.7878	0.9444	0.9181	900.8	17.6
102	0.000201	3.5764	39391	0.7878	0.944	0.9173	900.4	17.7
103	0.0002	3.5705	39410	0.7882	0.9439	0.9151	899.7	17.6
104	0.000198	3.5829	39439	0.7888	0.944	0.914	899.3	17.9
105	0.000197	3.565	39410	0.7882	0.9443	0.9134	900.4	17.6
106	0.000196	3.5613	39459	0.7892	0.9447	0.9121	899.1	17.7
107	0.000195	3.5691	39500	0.79	0.9444	0.9106	899.2	17.6
