epoch	unix	utc	trainer_rss_anon_kb	mem_available_kb	swap_used_kb
1	1790090921	2026-09-22 15:28:41	4492148	147272124	48116
2	1790091830	2026-09-22 15:43:50	2718396	147790120	2091724
3	1790092741	2026-09-22 15:59:01	2727092	148431184	2183344
4	1790093652	2026-09-22 16:14:12	1319040	150072796	5195232
5	1790094569	2026-09-22 16:29:29	1335560	152051568	4907980
6	1790095486	2026-09-22 16:44:46	1343304	150157552	4950176
7	1790096407	2026-09-22 17:00:07	1352672	150684648	5497300
8	1790097329	2026-09-22 17:15:29	1354288	150497848	5312348
9	1790098257	2026-09-22 17:30:57	1360844	149366492	5289444
10	1790099186	2026-09-22 17:46:26	1417296	149209008	5164096
11	1790100111	2026-09-22 18:01:51	1418332	150562072	5151424
12	1790101044	2026-09-22 18:17:24	1421908	149335240	5101264
13	1790101967	2026-09-22 18:32:47	1423528	149141536	5096608
14	1790102896	2026-09-22 18:48:16	1429164	148913744	5091992
15	1790103841	2026-09-22 19:04:01	1429968	148726152	5082360
16	1790104786	2026-09-22 19:19:46	1413572	149024016	5636720
17	1790105710	2026-09-22 19:35:10	1414140	149987236	5394756
18	1790106638	2026-09-22 19:50:38	1429136	149250796	5336076
19	1790107575	2026-09-22 20:06:15	1433344	150915856	5290368
20	1790108499	2026-09-22 20:21:39	3236484	149534152	5246900
21	1790109422	2026-09-22 20:37:02	1436784	148856272	5195368
22	1790110373	2026-09-22 20:52:53	1386652	150339736	6340536
23	1790111320	2026-09-22 21:08:40	1426368	153539984	8258808
24	1790112250	2026-09-22 21:24:10	1363708	150760996	6783744
25	1790113229	2026-09-22 21:40:29	1365484	150219968	6632916
26	1790114163	2026-09-22 21:56:03	1371236	149833012	6631236
27	1790115113	2026-09-22 22:11:53	1337952	151562368	7578376
28	1790116056	2026-09-22 22:27:36	1341984	150933980	6892320
29	1790116998	2026-09-22 22:43:18	1352044	150915304	6505920
30	1790117937	2026-09-22 22:58:57	1377288	150267404	6303456
31	1790118884	2026-09-22 23:14:44	1398108	151342220	6202604
32	1790119820	2026-09-22 23:30:20	1379628	150122084	6060624
33	1790120793	2026-09-22 23:46:33	1377780	149415760	6345192
34	1790121733	2026-09-23 00:02:13	1391008	149181860	5982620
35	1790122687	2026-09-23 00:18:07	3252128	151260908	7847148
36	1790123634	2026-09-23 00:33:54	1350224	150994104	8106288
37	1790124566	2026-09-23 00:49:26	1360904	150273760	7182516
38	1790125498	2026-09-23 01:04:58	1371556	150069816	6734688
39	1790126448	2026-09-23 01:20:48	1375928	151012476	6545108
40	1790127385	2026-09-23 01:36:25	1344900	151312544	7594616
41	1790128326	2026-09-23 01:52:06	1353456	150294924	6922576
42	1790129317	2026-09-23 02:08:37	1351352	150778268	7270740
43	1790130268	2026-09-23 02:24:28	1347036	152378200	8271524
44	1790131207	2026-09-23 02:40:07	1352504	151123008	7217520
45	1790132153	2026-09-23 02:55:53	2052556	151331680	6789500
46	1790133124	2026-09-23 03:12:04	1374188	149644864	6228520
47	1790134077	2026-09-23 03:27:57	1344620	151216480	7686256
48	1790135038	2026-09-23 03:43:58	1360844	150035456	6688056
49	1790135976	2026-09-23 03:59:36	1366508	149496804	6525520
50	1790136940	2026-09-23 04:15:40	1343184	151746284	7926916
51	1790137886	2026-09-23 04:31:26	1351612	150347628	7035644
52	1790138874	2026-09-23 04:47:54	1348120	151422100	7585156
53	1790139826	2026-09-23 05:03:46	1353088	150327816	6801716
54	1790140773	2026-09-23 05:19:33	1351672	150343872	6907008
55	1790141754	2026-09-23 05:35:54	1348456	151127060	6820484
56	1790142703	2026-09-23 05:51:43	1354092	149760004	6569356
57	1790143629	2026-09-23 06:07:09	1363004	149815936	6260512
58	1790144580	2026-09-23 06:23:00	3135588	150569004	6952240
59	1790145522	2026-09-23 06:38:42	2648532	148887776	6725812
60	1790146512	2026-09-23 06:55:12	1341084	150705732	7749188
61	1790147474	2026-09-23 07:11:14	1337280	150828076	8031688
62	1790148424	2026-09-23 07:27:04	1416836	153481048	8268540
63	1790149380	2026-09-23 07:43:00	1345032	151258456	7692452
64	1790150323	2026-09-23 07:58:43	1331468	151098060	7851688
65	1790151272	2026-09-23 08:14:32	1345112	149750168	6914024
66	1790152257	2026-09-23 08:30:57	1336696	150150216	8028464
67	1790153238	2026-09-23 08:47:18	1348604	151539868	8079692
68	1790154193	2026-09-23 09:03:13	1356016	150851672	8074744
69	1790155145	2026-09-23 09:19:05	1355104	151565504	7146092
70	1790156103	2026-09-23 09:35:03	1373268	150693596	6937036
71	1790157028	2026-09-23 09:50:28	1408452	151023072	6659568
72	1790158001	2026-09-23 10:06:41	1383620	150482080	7523944
73	1790158976	2026-09-23 10:22:56	1367048	151380740	8040896
74	1790159959	2026-09-23 10:39:19	1353856	151200332	8162672
75	1790160950	2026-09-23 10:55:50	1346736	151980680	8140104
76	1790161907	2026-09-23 11:11:47	1343412	151330496	8100664
77	1790162855	2026-09-23 11:27:35	2046904	151282896	7261948
78	1790163832	2026-09-23 11:43:52	1342260	151627740	7790192
79	1790164809	2026-09-23 12:00:09	1338628	151703580	8235700
80	1790165731	2026-09-23 12:15:31	1350284	151218108	7434796
81	1790166702	2026-09-23 12:31:42	1363268	150178672	7498356
82	1790167646	2026-09-23 12:47:26	1351668	150296360	8010004
83	1790168588	2026-09-23 13:03:08	1359956	149972576	7187988
84	1790169553	2026-09-23 13:19:13	1367108	149469524	6802364
85	1790170507	2026-09-23 13:35:07	1369864	149123284	6602380
86	1790171457	2026-09-23 13:50:57	1338132	151752836	8161320
87	1790172407	2026-09-23 14:06:47	1372696	149803100	7100264
88	1790173384	2026-09-23 14:23:04	1354496	149907564	7859000
89	1790174360	2026-09-23 14:39:20	1344120	151785884	8247340
