utc	epoch	pid	etime_s	rss_gib	arena_class_gib	arena_class_maps	threads
2026-09-22 15:28:48	1	246834	926	5.04	3.39	377	168
2026-09-22 15:28:48	1	246946	924	5.02	3.37	373	168
2026-09-22 15:28:48	1	247123	922	4.87	3.34	373	168
2026-09-22 15:28:48	1	247321	920	4.92	3.29	368	168
2026-09-22 15:44:19	2	246834	1856	4.92	3.43	376	168
2026-09-22 15:44:19	2	246946	1855	5.17	3.50	358	168
2026-09-22 15:44:19	2	247123	1853	5.07	3.53	358	168
2026-09-22 15:44:19	2	247321	1851	5.14	3.52	361	168
2026-09-22 15:59:20	3	246834	2757	4.91	3.40	372	168
2026-09-22 15:59:20	3	246946	2756	5.24	3.57	353	168
2026-09-22 15:59:20	3	247123	2753	5.23	3.67	355	168
2026-09-22 15:59:20	3	247321	2751	5.24	3.57	359	168
2026-09-22 16:14:21	4	246834	3658	4.90	3.43	362	168
2026-09-22 16:14:21	4	246946	3656	4.97	3.52	348	168
2026-09-22 16:14:21	4	247123	3654	4.88	3.50	348	168
2026-09-22 16:14:21	4	247321	3652	4.91	3.48	352	168
2026-09-22 16:29:51	5	246834	4589	5.02	3.55	360	168
2026-09-22 16:29:52	5	246946	4587	4.99	3.57	337	168
2026-09-22 16:29:52	5	247123	4585	4.95	3.56	345	168
2026-09-22 16:29:52	5	247321	4583	5.11	3.58	347	168
2026-09-22 16:44:52	6	246834	5490	4.91	3.54	360	168
2026-09-22 16:44:52	6	246946	5488	5.16	3.69	338	168
2026-09-22 16:44:52	6	247123	5486	5.05	3.64	343	168
2026-09-22 16:44:53	6	247321	5484	5.17	3.63	343	168
2026-09-22 17:00:23	7	246834	6420	5.09	3.61	355	168
2026-09-22 17:00:23	7	246946	6419	5.09	3.61	336	168
2026-09-22 17:00:23	7	247123	6417	5.17	3.76	342	168
2026-09-22 17:00:23	7	247321	6415	5.31	3.74	341	168
2026-09-22 17:15:54	8	246834	7351	5.15	3.67	353	168
2026-09-22 17:15:54	8	246946	7349	5.19	3.71	330	168
