epoch,train_loss,lr,top1,top5
1,6.037018,0.020000,9.410000,24.248000
2,4.675991,0.040000,18.964000,40.900000
3,4.095802,0.060000,27.784000,53.230000
4,3.807044,0.080000,33.248000,59.294000
5,3.663242,0.100000,32.038000,58.132000
6,3.561944,0.099966,33.520000,59.794000
7,3.466302,0.099863,37.744000,64.422000
8,3.406778,0.099693,41.382000,68.062000
9,3.361691,0.099455,39.874000,66.858000
10,3.323350,0.099149,45.310000,71.802000
11,3.299258,0.098776,43.414000,70.552000
12,3.275924,0.098336,43.032000,69.870000
13,3.255489,0.097830,44.172000,70.938000
14,3.232171,0.097259,41.474000,67.368000
15,3.220420,0.096624,42.764000,69.736000
16,3.205851,0.095924,44.514000,71.240000
17,3.194184,0.095162,41.078000,66.774000
18,3.187271,0.094339,46.102000,72.524000
19,3.165749,0.093454,43.688000,69.418000
20,3.161818,0.092511,43.358000,69.938000
21,3.153757,0.091509,41.060000,67.320000
22,3.139877,0.090451,42.826000,69.970000
23,3.129931,0.089337,46.982000,73.514000
24,3.122547,0.088170,48.046000,74.280000
25,3.110180,0.086950,43.388000,69.882000
26,3.104524,0.085681,48.804000,75.074000
27,3.092199,0.084362,47.972000,74.314000
28,3.081845,0.082996,48.866000,74.754000
29,3.067919,0.081586,48.426000,74.338000
30,3.060540,0.080132,49.086000,74.726000
31,3.052310,0.078637,49.212000,75.590000
32,3.043367,0.077103,47.684000,73.722000
33,3.030912,0.075532,51.096000,76.984000
34,3.018326,0.073926,47.350000,72.392000
35,3.007529,0.072287,49.502000,75.508000
36,2.999041,0.070618,49.214000,75.168000
37,2.997488,0.068921,51.508000,76.934000
38,2.980765,0.067197,48.922000,74.672000
39,2.970968,0.065451,50.288000,75.996000
40,2.957483,0.063683,47.714000,73.700000
41,2.945900,0.061897,53.444000,78.554000
42,2.928420,0.060094,50.694000,75.996000
43,2.917614,0.058278,51.082000,76.530000
44,2.909338,0.056450,52.558000,77.980000
45,2.891804,0.054613,53.916000,78.682000
46,2.880767,0.052771,54.378000,79.122000
47,2.865571,0.050924,54.002000,78.714000
48,2.853816,0.049076,54.244000,79.240000
49,2.843243,0.047229,57.214000,81.304000
50,2.833944,0.045387,54.378000,79.346000
51,2.810398,0.043550,55.806000,80.230000
52,2.793010,0.041722,53.814000,78.720000
53,2.781680,0.039906,56.652000,81.244000
54,2.763489,0.038103,57.944000,82.074000
55,2.747274,0.036317,56.154000,80.514000
56,2.731538,0.034549,58.066000,82.042000
57,2.724175,0.032803,58.790000,82.380000
58,2.698357,0.031079,56.898000,81.054000
59,2.682792,0.029382,57.678000,81.778000
60,2.668227,0.027713,58.106000,81.934000
61,2.649781,0.026074,60.542000,83.580000
62,2.633151,0.024468,60.612000,83.706000
63,2.612755,0.022897,61.982000,84.738000
64,2.587890,0.021363,62.090000,84.922000
65,2.575103,0.019868,60.606000,83.846000
66,2.549622,0.018414,60.952000,84.082000
67,2.532464,0.017004,63.186000,85.174000
68,2.508286,0.015638,64.034000,86.192000
69,2.486273,0.014319,65.380000,86.758000
70,2.466997,0.013050,65.856000,87.254000
71,2.445741,0.011830,66.750000,87.800000
72,2.418952,0.010663,66.910000,87.760000
73,2.394473,0.009549,66.590000,87.566000
74,2.370560,0.008491,67.142000,87.868000
75,2.341428,0.007489,68.572000,88.894000
76,2.319858,0.006546,68.824000,89.262000
77,2.300334,0.005661,69.540000,89.264000
78,2.273375,0.004838,70.214000,89.802000
79,2.248060,0.004076,71.042000,90.280000
80,2.214490,0.003376,71.404000,90.496000
81,2.193597,0.002741,71.958000,90.814000
82,2.175920,0.002170,72.358000,90.942000
83,2.155173,0.001664,72.980000,91.274000
84,2.128819,0.001224,73.238000,91.318000
85,2.115371,0.000851,73.434000,91.608000
86,2.097290,0.000545,73.938000,91.706000
87,2.085728,0.000307,74.084000,91.794000
88,2.079310,0.000137,74.150000,91.850000
89,2.073355,0.000034,74.142000,91.898000
90,2.068442,0.000000,74.168000,91.894000
