epoch	unix	utc	trainer_rss_anon_kb	mem_available_kb	swap_used_kb
1	1790183601	2026-09-23 17:13:21	5723024	123018616	926324
2	1790184405	2026-09-23 17:26:45	2489432	128562276	8209024
3	1790185193	2026-09-23 17:39:53	2427140	128261164	8087784
4	1790186004	2026-09-23 17:53:24	2445600	125493480	7856980
5	1790186785	2026-09-23 18:06:25	2446972	124748912	7571564
6	1790187568	2026-09-23 18:19:28	2424216	125398884	8032704
7	1790188347	2026-09-23 18:32:27	2409864	125510468	8359164
8	1790189128	2026-09-23 18:45:28	2416764	124512448	8033112
9	1790189915	2026-09-23 18:58:35	2420972	126620816	7882980
10	1790190694	2026-09-23 19:11:34	2390304	125319188	8304156
11	1790191481	2026-09-23 19:24:41	2391472	124830564	8178004
12	1790192277	2026-09-23 19:37:57	2393144	126214824	8068732
13	1790193061	2026-09-23 19:51:01	2382660	123763164	8379552
14	1790193840	2026-09-23 20:04:00	2393456	123181384	8168364
15	1790194637	2026-09-23 20:17:17	2399312	123481284	8160980
16	1790195426	2026-09-23 20:30:26	2405188	123386716	8140828
17	1790196208	2026-09-23 20:43:28	2410784	123769848	8239936
18	1790196999	2026-09-23 20:56:39	2411040	122711764	8384228
19	1790197792	2026-09-23 21:09:52	2408580	125063520	8366824
20	1790198575	2026-09-23 21:22:55	2410468	123241800	8147692
21	1790199366	2026-09-23 21:36:06	2411616	123494180	8224796
22	1790200164	2026-09-23 21:49:24	2407356	124076396	8141740
23	1790200942	2026-09-23 22:02:22	2402748	121899600	8377160
24	1790201726	2026-09-23 22:15:26	2404032	122293880	8343724
25	1790202512	2026-09-23 22:28:32	2407480	123201152	8165340
26	1790203304	2026-09-23 22:41:44	2412176	123050968	8199992
27	1790204096	2026-09-23 22:54:56	2405888	124447044	8388444
28	1790204908	2026-09-23 23:08:28	2413872	122452408	8352716
29	1790205707	2026-09-23 23:21:47	2421044	122799992	8273152
30	1790206505	2026-09-23 23:35:05	2423464	122619488	8273892
31	1790207295	2026-09-23 23:48:15	2410036	122551216	8386340
32	1790208083	2026-09-24 00:01:23	4115812	122735860	8116904
33	1790208879	2026-09-24 00:14:39	2415000	122660400	8320072
34	1790209676	2026-09-24 00:27:56	2417896	121813432	8118376
35	1790210466	2026-09-24 00:41:06	2410904	123863228	8365828
36	1790211264	2026-09-24 00:54:24	2415276	123772620	8388076
37	1790212062	2026-09-24 01:07:42	2425160	122536556	8383528
38	1790212864	2026-09-24 01:21:04	2418300	123075680	8387524
39	1790213660	2026-09-24 01:34:20	2425160	121544684	8366692
40	1790214452	2026-09-24 01:47:32	2430216	121130216	8175916
41	1790215262	2026-09-24 02:01:02	2413248	121573812	8314088
42	1790216060	2026-09-24 02:14:20	2422072	121375268	8272840
43	1790216857	2026-09-24 02:27:37	2419932	121866360	8293560
44	1790217661	2026-09-24 02:41:01	2425032	121415484	8056184
45	1790218463	2026-09-24 02:54:23	2414484	120678416	8269724
46	1790219257	2026-09-24 03:07:37	2422792	120487620	8261560
47	1790220046	2026-09-24 03:20:46	2415728	121643564	8263928
48	1790220840	2026-09-24 03:34:00	2423004	119929284	8204868
49	1790221633	2026-09-24 03:47:13	2411308	123480732	8388572
50	1790222449	2026-09-24 04:00:49	2427532	121153748	8338740
51	1790223244	2026-09-24 04:14:04	2424604	120580768	8265200
52	1790224036	2026-09-24 04:27:16	2425380	120500516	8379436
53	1790224820	2026-09-24 04:40:20	2422348	122109052	8237812
54	1790225611	2026-09-24 04:53:31	2417668	121053672	8327980
55	1790226400	2026-09-24 05:06:40	2432988	121346732	8290476
56	1790227188	2026-09-24 05:19:48	2423508	120815720	8384792
57	1790227974	2026-09-24 05:32:54	2414244	121712648	8327240
58	1790228781	2026-09-24 05:46:21	2423748	122102556	8199340
59	1790229581	2026-09-24 05:59:41	2426936	119480304	8093240
60	1790230380	2026-09-24 06:13:00	2515708	122972588	8299040
61	1790231164	2026-09-24 06:26:04	2428312	119954476	8267332
62	1790231965	2026-09-24 06:39:25	2431908	120615312	8237412
63	1790232758	2026-09-24 06:52:38	2427156	121013848	8277460
64	1790233553	2026-09-24 07:05:53	2418100	119911364	8290324
65	1790234371	2026-09-24 07:19:31	2425024	118738756	8320908
66	1790235159	2026-09-24 07:32:39	2423388	119736996	8351096
67	1790235939	2026-09-24 07:45:39	2418956	119461884	8289380
68	1790236726	2026-09-24 07:58:46	2525712	121236072	8327916
69	1790237514	2026-09-24 08:11:54	2433444	120373344	8268208
70	1790238331	2026-09-24 08:25:31	2431216	120427944	8341948
71	1790239118	2026-09-24 08:38:38	2425552	118944320	8310468
72	1790239911	2026-09-24 08:51:51	2430320	119521548	8370836
73	1790240694	2026-09-24 09:04:54	2427704	118272920	8315592
74	1790241468	2026-09-24 09:17:48	2432896	119897372	8379968
75	1790242261	2026-09-24 09:31:01	2436500	117294548	8336360
76	1790243048	2026-09-24 09:44:08	2437044	118422436	8383888
