utc	epoch	pid	etime_s	rss_gib	arena_class_gib	arena_class_maps	threads
2026-09-23 17:13:36	1	678359	836	5.29	3.76	428	168
2026-09-23 17:13:36	1	678489	833	5.33	3.74	420	168
2026-09-23 17:13:36	1	678691	829	5.33	3.77	422	168
2026-09-23 17:13:36	1	678881	826	5.35	3.82	420	168
2026-09-23 17:13:36	1	679084	822	5.32	3.79	425	168
2026-09-23 17:13:37	1	679268	819	5.33	3.75	424	168
2026-09-23 17:13:37	1	679446	815	5.27	3.71	422	168
2026-09-23 17:13:37	1	679641	812	5.38	3.81	422	168
2026-09-23 17:27:07	2	678359	1647	5.09	3.69	426	168
2026-09-23 17:27:08	2	678489	1644	5.11	3.77	411	168
2026-09-23 17:27:08	2	678691	1641	5.08	3.72	411	168
2026-09-23 17:27:08	2	678881	1637	5.26	3.74	412	168
2026-09-23 17:27:08	2	679084	1634	5.12	3.74	415	168
2026-09-23 17:27:08	2	679268	1630	5.24	3.75	415	168
2026-09-23 17:27:08	2	679446	1627	5.19	3.85	413	168
2026-09-23 17:27:08	2	679641	1623	5.26	3.73	413	168
2026-09-23 17:40:09	3	678359	2428	5.17	3.83	425	168
2026-09-23 17:40:09	3	678489	2426	5.04	3.95	404	168
2026-09-23 17:40:09	3	678691	2422	5.03	3.90	404	168
2026-09-23 17:40:09	3	678881	2419	5.20	3.93	403	168
2026-09-23 17:40:09	3	679084	2415	5.05	3.92	407	168
2026-09-23 17:40:09	3	679268	2412	5.20	3.96	411	168
2026-09-23 17:40:10	3	679446	2408	5.04	3.95	407	168
2026-09-23 17:40:10	3	679641	2405	5.09	3.93	406	168
2026-09-23 17:53:40	4	678359	3240	5.12	3.89	425	168
2026-09-23 17:53:40	4	678489	3237	5.13	4.05	395	168
2026-09-23 17:53:41	4	678691	3234	5.11	4.02	400	168
2026-09-23 17:53:41	4	678881	3230	5.24	4.04	397	168
2026-09-23 17:53:41	4	679084	3227	5.09	4.03	401	168
2026-09-23 17:53:41	4	679268	3223	5.28	4.08	407	168
2026-09-23 17:53:41	4	679446	3219	5.05	4.02	402	168
2026-09-23 17:53:41	4	679641	3216	5.12	4.02	402	168
2026-09-23 18:06:42	5	678359	4021	5.19	4.10	426	168
2026-09-23 18:06:42	5	678489	4018	5.23	4.16	391	168
2026-09-23 18:06:42	5	678691	4015	5.20	4.10	398	168
2026-09-23 18:06:42	5	678881	4011	5.27	4.07	393	168
2026-09-23 18:06:42	5	679084	4008	5.20	4.11	398	168
2026-09-23 18:06:42	5	679268	4004	5.54	4.14	400	168
2026-09-23 18:06:42	5	679446	4001	5.20	4.18	398	168
2026-09-23 18:06:43	5	679641	3997	5.17	4.05	399	168
2026-09-23 18:19:43	6	678359	4803	5.17	4.06	426	168
2026-09-23 18:19:43	6	678489	4800	5.23	4.17	391	168
2026-09-23 18:19:43	6	678691	4796	5.36	4.10	392	168
2026-09-23 18:19:43	6	678881	4793	5.29	4.13	392	168
2026-09-23 18:19:44	6	679084	4789	5.15	4.07	394	168
2026-09-23 18:19:44	6	679268	4786	5.35	4.14	398	168
2026-09-23 18:19:44	6	679446	4782	5.14	4.11	393	168
2026-09-23 18:19:44	6	679641	4779	5.26	4.18	395	168
2026-09-23 18:32:44	7	678359	5584	5.21	4.11	425	168
2026-09-23 18:32:45	7	678489	5581	5.15	4.09	388	168
2026-09-23 18:32:45	7	678691	5578	5.18	4.13	391	168
2026-09-23 18:32:45	7	678881	5574	5.28	4.13	387	168
2026-09-23 18:32:45	7	679084	5571	5.14	4.06	390	168
2026-09-23 18:32:45	7	679268	5567	5.35	4.14	393	168
2026-09-23 18:32:45	7	679446	5564	5.10	4.07	391	168
2026-09-23 18:32:45	7	679641	5560	5.30	4.21	392	168
2026-09-23 18:45:46	8	678359	6365	5.22	4.11	425	168
2026-09-23 18:45:46	8	678489	6363	5.21	4.16	386	168
2026-09-23 18:45:46	8	678691	6359	5.11	4.05	386	168
2026-09-23 18:45:46	8	678881	6356	5.40	4.25	385	168
2026-09-23 18:45:46	8	679084	6352	5.22	4.14	386	168
2026-09-23 18:45:47	8	679268	6349	5.46	4.12	389	168
2026-09-23 18:45:47	8	679446	6345	5.29	4.22	389	168
2026-09-23 18:45:47	8	679641	6342	5.33	4.25	390	168
2026-09-23 18:58:47	9	678359	7147	5.31	4.20	423	168
2026-09-23 18:58:47	9	678489	7144	5.22	4.16	385	168
2026-09-23 18:58:48	9	678691	7141	5.22	4.17	385	168
2026-09-23 18:58:48	9	678881	7137	5.37	4.22	383	168
2026-09-23 18:58:48	9	679084	7134	5.32	4.21	385	168
2026-09-23 18:58:48	9	679268	7130	5.40	4.20	389	168
2026-09-23 18:58:48	9	679446	7127	5.34	4.26	386	168
2026-09-23 18:58:48	9	679641	7123	5.37	4.28	387	168
2026-09-23 19:11:49	10	678359	7928	5.49	4.22	423	168
2026-09-23 19:11:49	10	678489	7926	5.39	4.19	382	168
2026-09-23 19:11:49	10	678691	7922	5.18	4.14	383	168
2026-09-23 19:11:49	10	678881	7919	5.41	4.27	381	168
2026-09-23 19:11:49	10	679084	7915	5.30	4.19	383	168
2026-09-23 19:11:49	10	679268	7912	5.28	4.17	389	168
2026-09-23 19:11:50	10	679446	7908	5.27	4.19	383	168
2026-09-23 19:11:50	10	679641	7905	5.37	4.29	387	168
2026-09-23 19:24:50	11	678359	8710	5.32	4.23	422	168
2026-09-23 19:24:50	11	678489	8707	5.36	4.26	377	168
2026-09-23 19:24:50	11	678691	8704	5.36	4.28	378	168
2026-09-23 19:24:51	11	678881	8700	5.41	4.25	379	168
