epoch,train_loss,lr,top1,top5
1,0.148945,0.001600,2.924000,9.280000
2,0.007058,0.003200,10.026000,25.578000
3,0.006484,0.004800,12.658000,30.390000
4,0.006075,0.006400,22.766000,45.924000
5,0.005827,0.008000,21.804000,45.034000
6,0.005606,0.007998,33.552000,59.988000
7,0.005396,0.007991,35.726000,62.152000
8,0.005231,0.007980,36.274000,62.014000
9,0.005124,0.007965,40.652000,67.334000
10,0.005034,0.007945,37.374000,63.162000
11,0.004948,0.007922,43.286000,69.568000
12,0.004878,0.007893,44.202000,70.302000
13,0.004810,0.007861,43.872000,70.240000
14,0.004752,0.007824,44.042000,69.528000
15,0.004685,0.007783,49.782000,75.506000
16,0.004669,0.007738,48.398000,73.738000
17,0.004611,0.007689,50.524000,76.308000
18,0.004570,0.007636,50.412000,75.728000
19,0.004556,0.007579,51.392000,76.402000
20,0.004522,0.007518,50.970000,75.954000
21,0.004518,0.007453,48.926000,74.172000
22,0.004476,0.007384,50.224000,75.220000
23,0.004432,0.007312,50.088000,75.408000
24,0.004381,0.007236,53.658000,78.754000
25,0.004373,0.007157,56.290000,80.574000
26,0.004364,0.007074,52.644000,77.486000
27,0.004323,0.006987,53.344000,78.084000
28,0.004325,0.006898,52.464000,77.022000
29,0.004269,0.006805,55.074000,79.282000
30,0.004242,0.006709,57.090000,80.726000
31,0.004222,0.006610,57.338000,81.466000
32,0.004220,0.006509,56.046000,80.088000
33,0.004197,0.006404,59.106000,82.496000
34,0.004156,0.006297,56.882000,80.302000
35,0.004157,0.006188,58.084000,81.778000
36,0.004113,0.006076,57.574000,81.106000
37,0.004124,0.005962,58.434000,81.998000
38,0.004067,0.005845,58.128000,81.158000
39,0.004043,0.005727,57.922000,81.938000
40,0.004005,0.005607,59.884000,82.774000
41,0.004002,0.005485,60.928000,83.644000
42,0.004014,0.005361,62.092000,84.270000
43,0.003962,0.005236,61.144000,83.914000
44,0.003928,0.005110,61.784000,84.336000
45,0.003906,0.004982,60.376000,83.444000
46,0.003883,0.004853,58.012000,80.896000
47,0.003866,0.004724,62.232000,84.170000
48,0.003831,0.004593,63.518000,85.436000
49,0.003803,0.004462,63.540000,85.524000
50,0.003796,0.004330,62.180000,84.508000
51,0.003751,0.004198,61.090000,83.262000
52,0.003711,0.004066,64.682000,85.888000
53,0.003714,0.003934,62.704000,84.786000
54,0.003676,0.003802,63.476000,85.364000
55,0.003646,0.003670,65.136000,86.278000
56,0.003609,0.003538,65.756000,86.886000
57,0.003581,0.003407,68.854000,88.822000
58,0.003581,0.003276,69.218000,89.068000
59,0.003530,0.003147,69.312000,89.254000
60,0.003497,0.003018,68.716000,88.614000
61,0.003481,0.002890,70.460000,89.718000
62,0.003451,0.002764,69.944000,89.580000
63,0.003445,0.002639,70.266000,89.682000
64,0.003430,0.002515,70.518000,89.860000
65,0.003393,0.002393,71.636000,90.488000
66,0.003366,0.002273,71.790000,90.622000
67,0.003311,0.002155,72.256000,90.806000
68,0.003311,0.002038,71.898000,90.722000
69,0.003253,0.001924,72.882000,91.194000
70,0.003277,0.001812,73.452000,91.450000
71,0.003219,0.001703,73.508000,91.660000
72,0.003228,0.001596,74.316000,92.096000
73,0.003184,0.001491,73.786000,91.802000
74,0.003141,0.001390,75.184000,92.296000
75,0.003147,0.001291,74.674000,92.140000
76,0.003133,0.001195,74.946000,92.078000
77,0.003082,0.001102,75.714000,92.706000
78,0.003090,0.001013,75.456000,92.626000
79,0.003008,0.000926,75.920000,92.858000
80,0.003048,0.000843,75.920000,92.944000
81,0.002992,0.000764,76.582000,93.196000
82,0.002971,0.000688,76.674000,93.154000
83,0.002990,0.000616,76.622000,93.326000
84,0.002939,0.000547,76.970000,93.416000
85,0.002897,0.000482,77.342000,93.486000
86,0.002958,0.000421,77.568000,93.588000
87,0.002887,0.000364,77.672000,93.634000
88,0.002902,0.000311,77.820000,93.698000
89,0.002888,0.000262,77.868000,93.802000
90,0.002813,0.000217,77.886000,93.792000
91,0.002877,0.000176,77.948000,93.790000
92,0.002852,0.000139,78.062000,93.908000
93,0.002836,0.000107,78.108000,93.902000
94,0.002861,0.000078,78.206000,93.948000
95,0.002833,0.000055,78.194000,93.940000
96,0.002816,0.000035,78.332000,93.990000
97,0.002824,0.000020,78.352000,93.986000
98,0.002786,0.000009,78.364000,94.026000
99,0.002803,0.000002,78.386000,94.036000
100,0.002803,0.000000,78.330000,94.034000
