utc	epoch	pid	etime_s	rss_gib	arena_class_gib	arena_class_maps	threads
2026-09-24 15:41:07	1	1097148	1296	5.01	3.35	389	168
2026-09-24 15:41:07	1	1097262	1294	4.98	3.36	394	168
2026-09-24 15:41:08	1	1097442	1292	4.95	3.32	388	168
2026-09-24 15:41:08	1	1097667	1289	5.02	3.38	387	168
2026-09-24 15:41:08	1	1097888	1287	5.03	3.40	385	168
2026-09-24 15:41:08	1	1098094	1284	4.84	3.34	389	168
2026-09-24 15:41:08	1	1098275	1281	4.96	3.29	380	168
2026-09-24 15:41:08	1	1098459	1279	5.09	3.47	391	168
2026-09-24 16:02:09	2	1097148	2557	4.61	3.20	392	168
2026-09-24 16:02:09	2	1097262	2555	4.68	3.28	395	168
2026-09-24 16:02:09	2	1097442	2553	4.74	3.30	387	168
2026-09-24 16:02:09	2	1097667	2550	4.66	3.29	377	168
2026-09-24 16:02:09	2	1097888	2548	4.71	3.24	384	168
2026-09-24 16:02:09	2	1098094	2545	4.57	3.23	389	168
2026-09-24 16:02:09	2	1098275	2543	4.61	3.21	381	168
2026-09-24 16:02:09	2	1098459	2540	4.73	3.30	386	168
2026-09-24 16:23:10	3	1097148	3818	4.51	3.41	393	168
2026-09-24 16:23:10	3	1097262	3817	4.51	3.41	387	168
2026-09-24 16:23:10	3	1097442	3814	4.68	3.55	386	168
2026-09-24 16:23:10	3	1097667	3812	4.60	3.49	373	168
2026-09-24 16:23:10	3	1097888	3809	4.59	3.45	379	168
2026-09-24 16:23:11	3	1098094	3807	4.48	3.46	379	168
2026-09-24 16:23:11	3	1098275	3804	4.60	3.40	381	168
2026-09-24 16:23:11	3	1098459	3801	4.64	3.51	388	168
2026-09-24 16:44:11	4	1097148	5080	4.53	3.42	399	168
2026-09-24 16:44:11	4	1097262	5078	4.63	3.53	388	168
2026-09-24 16:44:12	4	1097442	5076	4.62	3.49	379	168
2026-09-24 16:44:12	4	1097667	5073	4.63	3.49	375	168
2026-09-24 16:44:12	4	1097888	5070	4.72	3.57	380	168
2026-09-24 16:44:12	4	1098094	5068	4.52	3.49	380	168
2026-09-24 16:44:12	4	1098275	5065	4.67	3.48	379	168
2026-09-24 16:44:12	4	1098459	5063	4.69	3.57	381	168
2026-09-24 17:05:13	5	1097148	6341	4.62	3.50	395	168
2026-09-24 17:05:13	5	1097262	6339	4.66	3.52	378	168
2026-09-24 17:05:13	5	1097442	6337	4.66	3.51	378	168
2026-09-24 17:05:13	5	1097667	6334	4.71	3.59	372	168
2026-09-24 17:05:13	5	1097888	6332	4.74	3.62	373	168
2026-09-24 17:05:13	5	1098094	6329	4.64	3.62	378	168
2026-09-24 17:05:13	5	1098275	6327	4.66	3.48	377	168
2026-09-24 17:05:13	5	1098459	6324	4.70	3.60	379	168
2026-09-24 17:26:14	6	1097148	7602	4.76	3.63	397	168
2026-09-24 17:26:14	6	1097262	7601	4.87	3.74	377	168
2026-09-24 17:26:14	6	1097442	7598	4.75	3.60	384	168
2026-09-24 17:26:14	6	1097667	7596	4.78	3.68	366	168
2026-09-24 17:26:14	6	1097888	7593	4.77	3.63	367	168
2026-09-24 17:26:14	6	1098094	7590	4.69	3.66	377	168
2026-09-24 17:26:15	6	1098275	7588	4.79	3.59	374	168
