epoch,train_loss,lr,top1,top5
1,6.207232,0.020000,10.658000,26.638000
2,4.895245,0.040000,23.774000,47.242000
3,4.185480,0.060000,32.268000,58.542000
4,3.829477,0.080000,37.280000,64.238000
5,3.648471,0.100000,40.716000,67.528000
6,3.524216,0.099966,42.648000,69.462000
7,3.414942,0.099863,45.390000,72.328000
8,3.341405,0.099693,43.922000,70.478000
9,3.282565,0.099455,48.518000,74.814000
10,3.241282,0.099149,50.630000,76.382000
11,3.208446,0.098776,50.926000,77.008000
12,3.179090,0.098336,52.006000,78.232000
13,3.160222,0.097830,51.176000,77.422000
14,3.132196,0.097259,51.808000,77.380000
15,3.114312,0.096624,51.990000,77.600000
16,3.097086,0.095924,52.816000,78.978000
17,3.084982,0.095162,53.524000,79.084000
18,3.070720,0.094339,53.134000,78.930000
19,3.062986,0.093454,52.642000,78.570000
20,3.050948,0.092511,53.502000,78.830000
21,3.038865,0.091509,54.158000,79.576000
22,3.023252,0.090451,54.226000,79.896000
23,3.012270,0.089337,55.072000,80.276000
24,3.001516,0.088170,56.064000,80.460000
25,2.993022,0.086950,54.238000,79.376000
26,2.981594,0.085681,51.810000,77.284000
27,2.967954,0.084362,56.458000,81.048000
28,2.960009,0.082996,55.964000,80.866000
29,2.954128,0.081586,57.584000,82.210000
30,2.932546,0.080132,56.238000,81.284000
31,2.932705,0.078637,56.620000,81.796000
32,2.920458,0.077103,58.034000,82.082000
33,2.911467,0.075532,56.964000,81.550000
34,2.895601,0.073926,57.832000,82.404000
35,2.888916,0.072287,58.738000,82.808000
36,2.873959,0.070618,58.028000,82.444000
37,2.866483,0.068921,59.424000,83.170000
38,2.855399,0.067197,59.822000,83.578000
39,2.839805,0.065451,58.540000,82.624000
40,2.830003,0.063683,58.454000,82.348000
41,2.817636,0.061897,59.578000,83.412000
42,2.804499,0.060094,59.068000,82.880000
43,2.795381,0.058278,60.830000,84.410000
44,2.776519,0.056450,61.058000,84.358000
45,2.766546,0.054613,61.396000,84.648000
46,2.744820,0.052771,61.956000,84.974000
47,2.740997,0.050924,61.940000,85.094000
48,2.724178,0.049076,62.166000,85.126000
49,2.708585,0.047229,61.798000,85.106000
50,2.697410,0.045387,62.824000,85.416000
51,2.675442,0.043550,63.424000,86.196000
52,2.661876,0.041722,62.754000,85.318000
53,2.648228,0.039906,64.154000,86.268000
54,2.634173,0.038103,63.558000,86.012000
55,2.617404,0.036317,64.642000,86.578000
56,2.596032,0.034549,65.664000,87.174000
57,2.584727,0.032803,65.482000,87.118000
58,2.566775,0.031079,66.352000,87.920000
59,2.550328,0.029382,66.034000,87.686000
60,2.529386,0.027713,66.286000,87.600000
61,2.506003,0.026074,67.336000,88.290000
62,2.493433,0.024468,66.882000,88.038000
63,2.470583,0.022897,68.096000,88.936000
64,2.453693,0.021363,68.710000,88.996000
65,2.432957,0.019868,69.068000,89.282000
66,2.409572,0.018414,69.428000,89.416000
67,2.388793,0.017004,69.282000,89.418000
68,2.363803,0.015638,69.948000,89.838000
69,2.344463,0.014319,70.332000,90.070000
70,2.325682,0.013050,71.324000,90.522000
71,2.295688,0.011830,71.120000,90.450000
72,2.270229,0.010663,71.748000,90.866000
73,2.249965,0.009549,72.236000,90.942000
74,2.222499,0.008491,72.816000,91.272000
75,2.194831,0.007489,73.002000,91.438000
76,2.162476,0.006546,73.674000,91.730000
77,2.135838,0.005661,74.206000,92.096000
78,2.110738,0.004838,74.178000,92.200000
79,2.086330,0.004076,74.782000,92.364000
80,2.056800,0.003376,75.224000,92.538000
81,2.030851,0.002741,75.646000,92.748000
82,2.006818,0.002170,75.858000,92.964000
83,1.986209,0.001664,76.020000,93.014000
84,1.962807,0.001224,76.554000,93.048000
85,1.939140,0.000851,76.716000,93.206000
86,1.926379,0.000545,76.848000,93.336000
87,1.917559,0.000307,76.996000,93.386000
88,1.906935,0.000137,77.078000,93.354000
89,1.900566,0.000034,77.090000,93.450000
90,1.894376,0.000000,77.160000,93.430000
