agent_steps,updates,eval_mean,eval_se
0,0,-17.050,0.364
25000,3750,-8.600,1.080
50000,10000,8.500,0.835
75000,16250,9.950,0.709
100000,22500,14.250,0.692
125000,28750,15.150,0.491
150000,35000,15.850,0.562
175000,41250,16.400,0.536
200000,47500,17.900,0.360
225000,53750,17.300,0.436
250000,60000,18.200,0.378
275000,66250,18.350,0.237
300000,72500,18.750,0.315
325000,78750,17.400,0.363
350000,85000,19.150,0.215
375000,91250,18.050,0.296
400000,97500,18.200,0.297
425000,103750,18.000,0.458
450000,110000,17.450,0.397
475000,116250,17.800,0.508
500000,122500,18.350,0.437
