agent_steps,updates,eval_mean,eval_se
0,0,-18.450,0.328
25000,3750,-14.500,0.654
50000,10000,-1.000,1.473
75000,16250,-4.000,1.340
100000,22500,10.550,0.795
125000,28750,14.400,0.769
150000,35000,13.500,0.626
175000,41250,12.750,0.651
200000,47500,14.900,0.595
225000,53750,15.450,0.630
250000,60000,15.600,0.545
275000,66250,13.450,0.709
300000,72500,16.250,0.353
325000,78750,17.550,0.312
350000,85000,16.800,0.498
375000,91250,16.350,0.676
400000,97500,16.950,0.384
425000,103750,16.400,0.356
450000,110000,17.750,0.509
475000,116250,16.450,0.572
500000,122500,16.600,0.676
