agent_steps,updates,eval_mean,eval_se
0,0,-19.150,0.285
25000,3750,-20.800,0.089
50000,10000,-18.350,0.376
75000,16250,-8.850,1.237
100000,22500,-2.900,1.325
125000,28750,-2.550,1.167
150000,35000,2.750,1.378
175000,41250,3.400,1.308
200000,47500,3.800,1.330
225000,53750,6.200,1.550
250000,60000,9.600,1.062
275000,66250,10.550,0.870
300000,72500,5.850,0.962
325000,78750,5.950,1.066
350000,85000,6.850,1.291
375000,91250,7.400,0.901
400000,97500,7.950,1.108
425000,103750,6.700,1.179
450000,110000,7.850,1.160
475000,116250,9.300,1.018
500000,122500,7.950,1.171
