agent_steps,updates,eval_mean,eval_se
0,0,-18.350,0.294
25000,3750,-20.200,0.167
50000,10000,-16.100,0.424
75000,16250,-5.400,1.310
100000,22500,-0.200,1.033
125000,28750,8.550,0.929
150000,35000,11.500,0.904
175000,41250,10.200,0.623
200000,47500,9.500,0.870
225000,53750,9.450,1.305
250000,60000,13.000,0.604
275000,66250,11.900,0.728
300000,72500,11.900,0.964
325000,78750,14.050,0.568
350000,85000,14.350,0.589
375000,91250,9.800,0.829
400000,97500,12.000,1.049
425000,103750,14.850,0.626
450000,110000,15.050,0.726
475000,116250,15.950,0.559
500000,122500,11.400,0.801
