ts,card,edge_C,junction_C,mem_C,sclk_MHz,power_W,use_pct
2026-07-01 17:41:36,card0,68.0,85.0,86.0,2968,320.0,100
2026-07-01 17:41:36,card1,58.0,80.0,74.0,2783,317.0,100
2026-07-01 17:42:06,card0,67.0,85.0,86.0,2880,325.0,100
2026-07-01 17:42:06,card1,58.0,80.0,74.0,2766,287.0,100
2026-07-01 17:42:36,card0,67.0,85.0,86.0,3097,169.0,100
2026-07-01 17:42:36,card1,58.0,80.0,74.0,3058,157.0,100
2026-07-01 17:43:06,card0,67.0,85.0,86.0,2894,307.0,100
2026-07-01 17:43:06,card1,58.0,80.0,74.0,2813,286.0,100
2026-07-01 17:43:36,card0,67.0,85.0,86.0,2985,338.0,100
2026-07-01 17:43:36,card1,58.0,80.0,74.0,2891,299.0,100
2026-07-01 17:44:06,card0,68.0,85.0,86.0,2922,345.0,100
2026-07-01 17:44:06,card1,58.0,80.0,74.0,2810,280.0,100
2026-07-01 17:44:36,card0,68.0,85.0,86.0,2696,301.0,100
2026-07-01 17:44:36,card1,58.0,80.0,74.0,2751,281.0,100
2026-07-01 17:45:06,card0,67.0,85.0,86.0,2943,269.0,100
2026-07-01 17:45:06,card1,58.0,80.0,74.0,2755,304.0,100
2026-07-01 17:45:37,card0,68.0,85.0,86.0,2902,294.0,100
2026-07-01 17:45:37,card1,58.0,80.0,74.0,2810,281.0,100
2026-07-01 17:46:07,card0,67.0,85.0,86.0,2920,277.0,100
2026-07-01 17:46:07,card1,58.0,80.0,74.0,2797,318.0,100
2026-07-01 17:46:37,card0,67.0,85.0,86.0,2930,305.0,100
2026-07-01 17:46:37,card1,58.0,80.0,74.0,2771,301.0,100
2026-07-01 17:47:07,card0,68.0,85.0,86.0,2905,320.0,100
2026-07-01 17:47:07,card1,58.0,80.0,74.0,2780,295.0,100
2026-07-01 17:47:37,card0,68.0,85.0,86.0,2757,309.0,100
2026-07-01 17:47:37,card1,58.0,80.0,74.0,2616,289.0,100
2026-07-01 17:48:07,card0,67.0,85.0,86.0,2829,257.0,100
2026-07-01 17:48:07,card1,58.0,80.0,74.0,2739,284.0,100
2026-07-01 17:48:37,card0,67.0,84.0,86.0,2963,262.0,100
2026-07-01 17:48:37,card1,57.0,80.0,74.0,2833,284.0,100
2026-07-01 17:49:07,card0,67.0,85.0,86.0,2876,287.0,100
2026-07-01 17:49:07,card1,58.0,80.0,74.0,2746,282.0,100
