E0804 23:05:41.031292  593487 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
W0804 23:05:49.776744  593458 allocator_memory_registration.cc:63] Failed to register GPU memory with clique devices=4:[0,1,2,3]; local_participants=4; communication_id=0; incarnations=[]: INTERNAL: NCCL operation ncclCommRegister(comm, addr.opaque(), addr.size(), &handle) failed: unhandled cuda error (run with NCCL_DEBUG=INFO for details). Last NCCL warning(error) log entry (may be unrelated) 'Cuda failure 500 'named symbol not found''.
ResNet-34 (ImageNet) · Lean 4 → JAX
  Conv(3→64,7x7/2)+BN → Pool(3x3) → Res3(64→64,s1) → Res4(64→128,s2) → Res6(128→256,s2) → Res3(256→512,s2) → GAP → 512→1000

ImageNet (1000-class) — tfds streaming pipeline
lr=0.100000  batch_size=256 (4 devices x 64)  epochs=90  params=21797672
steps_per_epoch=5004  total_steps=450360
backend=gpu  devices=[CudaDevice(id=0), CudaDevice(id=1), CudaDevice(id=2), CudaDevice(id=3)]
Starting training...
  step 100/450360  loss=7.2783  lr=0.0004  (261.0ms/step avg)
  step 200/450360  loss=7.0322  lr=0.0008  (181.0ms/step avg)
  step 300/450360  loss=6.9126  lr=0.0012  (154.0ms/step avg)
  step 400/450360  loss=6.9206  lr=0.0016  (141.0ms/step avg)
  step 500/450360  loss=6.8528  lr=0.002  (133.0ms/step avg)
  step 600/450360  loss=6.8509  lr=0.0024  (127.0ms/step avg)
  step 700/450360  loss=6.8015  lr=0.0028  (124.0ms/step avg)
  step 800/450360  loss=6.7323  lr=0.0032  (121.0ms/step avg)
  step 900/450360  loss=6.7912  lr=0.0036  (118.0ms/step avg)
  step 1000/450360  loss=6.6938  lr=0.004  (117.0ms/step avg)
  step 1100/450360  loss=6.6337  lr=0.0044  (115.0ms/step avg)
  step 1200/450360  loss=6.5663  lr=0.0048  (114.0ms/step avg)
  step 1300/450360  loss=6.433  lr=0.0052  (113.0ms/step avg)
  step 1400/450360  loss=6.4114  lr=0.0056  (112.0ms/step avg)
  step 1500/450360  loss=6.303  lr=0.006  (111.0ms/step avg)
  step 1600/450360  loss=6.1957  lr=0.00639  (111.0ms/step avg)
  step 1700/450360  loss=6.233  lr=0.00679  (110.0ms/step avg)
  step 1800/450360  loss=6.1891  lr=0.00719  (110.0ms/step avg)
  step 1900/450360  loss=6.2203  lr=0.00759  (109.0ms/step avg)
  step 2000/450360  loss=6.0749  lr=0.00799  (109.0ms/step avg)
  step 2100/450360  loss=5.9966  lr=0.00839  (108.0ms/step avg)
  step 2200/450360  loss=5.9082  lr=0.00879  (108.0ms/step avg)
  step 2300/450360  loss=5.9299  lr=0.00919  (108.0ms/step avg)
  step 2400/450360  loss=5.8498  lr=0.00959  (107.0ms/step avg)
  step 2500/450360  loss=5.9939  lr=0.00999  (107.0ms/step avg)
  step 2600/450360  loss=5.7687  lr=0.01039  (107.0ms/step avg)
  step 2700/450360  loss=5.8003  lr=0.01079  (107.0ms/step avg)
  step 2800/450360  loss=5.568  lr=0.01119  (106.0ms/step avg)
  step 2900/450360  loss=5.8981  lr=0.01159  (106.0ms/step avg)
  step 3000/450360  loss=5.7583  lr=0.01199  (106.0ms/step avg)
  step 3100/450360  loss=5.6938  lr=0.01239  (106.0ms/step avg)
  step 3200/450360  loss=5.7178  lr=0.01279  (106.0ms/step avg)
  step 3300/450360  loss=5.6528  lr=0.01319  (105.0ms/step avg)
  step 3400/450360  loss=5.5447  lr=0.01359  (105.0ms/step avg)
  step 3500/450360  loss=5.6537  lr=0.01399  (105.0ms/step avg)
  step 3600/450360  loss=5.3722  lr=0.01439  (105.0ms/step avg)
  step 3700/450360  loss=5.4956  lr=0.01479  (105.0ms/step avg)
  step 3800/450360  loss=5.5617  lr=0.01519  (105.0ms/step avg)
  step 3900/450360  loss=5.4981  lr=0.01559  (105.0ms/step avg)
  step 4000/450360  loss=5.4856  lr=0.01599  (105.0ms/step avg)
  step 4100/450360  loss=5.4092  lr=0.01639  (105.0ms/step avg)
  step 4200/450360  loss=5.1517  lr=0.01679  (104.0ms/step avg)
  step 4300/450360  loss=5.3274  lr=0.01719  (104.0ms/step avg)
  step 4400/450360  loss=5.4225  lr=0.01759  (104.0ms/step avg)
  step 4500/450360  loss=5.281  lr=0.01799  (104.0ms/step avg)
  step 4600/450360  loss=5.1087  lr=0.01839  (104.0ms/step avg)
  step 4700/450360  loss=5.236  lr=0.01878  (104.0ms/step avg)
  step 4800/450360  loss=5.3199  lr=0.01918  (104.0ms/step avg)
  step 4900/450360  loss=5.1729  lr=0.01958  (104.0ms/step avg)
  step 5000/450360  loss=5.0594  lr=0.01998  (104.0ms/step avg)
  Running validation ...
[Epoch 1] lr=0.02 loss(train_avg)=5.997 val_top1=5155/49920 (0.1033) val_top5=0.2683 val_loss=4.8688  [519.4s train, 10.3s val]
  step 5100/450360  loss=5.1413  lr=0.02038  (106.0ms/step avg)
  step 5200/450360  loss=5.1047  lr=0.02078  (106.0ms/step avg)
  step 5300/450360  loss=5.06  lr=0.02118  (106.0ms/step avg)
  step 5400/450360  loss=4.997  lr=0.02158  (105.0ms/step avg)
  step 5500/450360  loss=4.7804  lr=0.02198  (105.0ms/step avg)
  step 5600/450360  loss=5.1395  lr=0.02238  (105.0ms/step avg)
  step 5700/450360  loss=4.854  lr=0.02278  (105.0ms/step avg)
  step 5800/450360  loss=4.9061  lr=0.02318  (105.0ms/step avg)
  step 5900/450360  loss=4.9637  lr=0.02358  (105.0ms/step avg)
  step 6000/450360  loss=5.006  lr=0.02398  (105.0ms/step avg)
  step 6100/450360  loss=4.9729  lr=0.02438  (105.0ms/step avg)
  step 6200/450360  loss=4.8413  lr=0.02478  (105.0ms/step avg)
  step 6300/450360  loss=4.7665  lr=0.02518  (105.0ms/step avg)
  step 6400/450360  loss=4.8159  lr=0.02558  (105.0ms/step avg)
  step 6500/450360  loss=4.6802  lr=0.02598  (105.0ms/step avg)
  step 6600/450360  loss=4.8717  lr=0.02638  (105.0ms/step avg)
  step 6700/450360  loss=4.9078  lr=0.02678  (105.0ms/step avg)
  step 6800/450360  loss=4.6018  lr=0.02718  (104.0ms/step avg)
  step 6900/450360  loss=4.7647  lr=0.02758  (104.0ms/step avg)
  step 7000/450360  loss=4.7097  lr=0.02798  (104.0ms/step avg)
  step 7100/450360  loss=4.665  lr=0.02838  (104.0ms/step avg)
  step 7200/450360  loss=4.461  lr=0.02878  (104.0ms/step avg)
  step 7300/450360  loss=4.6993  lr=0.02918  (104.0ms/step avg)
  step 7400/450360  loss=4.8714  lr=0.02958  (104.0ms/step avg)
  step 7500/450360  loss=4.6068  lr=0.02998  (104.0ms/step avg)
  step 7600/450360  loss=4.8308  lr=0.03038  (104.0ms/step avg)
  step 7700/450360  loss=4.6981  lr=0.03078  (104.0ms/step avg)
  step 7800/450360  loss=4.4003  lr=0.03118  (104.0ms/step avg)
  step 7900/450360  loss=4.5421  lr=0.03157  (104.0ms/step avg)
  step 8000/450360  loss=4.5481  lr=0.03197  (104.0ms/step avg)
  step 8100/450360  loss=4.4796  lr=0.03237  (104.0ms/step avg)
  step 8200/450360  loss=4.5214  lr=0.03277  (104.0ms/step avg)
  step 8300/450360  loss=4.518  lr=0.03317  (104.0ms/step avg)
  step 8400/450360  loss=4.5995  lr=0.03357  (104.0ms/step avg)
  step 8500/450360  loss=4.4206  lr=0.03397  (104.0ms/step avg)
  step 8600/450360  loss=4.447  lr=0.03437  (104.0ms/step avg)
  step 8700/450360  loss=4.393  lr=0.03477  (104.0ms/step avg)
  step 8800/450360  loss=4.5209  lr=0.03517  (104.0ms/step avg)
  step 8900/450360  loss=4.3407  lr=0.03557  (104.0ms/step avg)
  step 9000/450360  loss=4.2224  lr=0.03597  (104.0ms/step avg)
  step 9100/450360  loss=4.3081  lr=0.03637  (104.0ms/step avg)
  step 9200/450360  loss=4.3292  lr=0.03677  (104.0ms/step avg)
  step 9300/450360  loss=4.4384  lr=0.03717  (103.0ms/step avg)
  step 9400/450360  loss=4.3286  lr=0.03757  (103.0ms/step avg)
  step 9500/450360  loss=4.4896  lr=0.03797  (103.0ms/step avg)
  step 9600/450360  loss=4.1683  lr=0.03837  (103.0ms/step avg)
  step 9700/450360  loss=4.2941  lr=0.03877  (103.0ms/step avg)
  step 9800/450360  loss=4.4236  lr=0.03917  (103.0ms/step avg)
  step 9900/450360  loss=4.4392  lr=0.03957  (103.0ms/step avg)
  step 10000/450360  loss=4.2191  lr=0.03997  (103.0ms/step avg)
  Running validation ...
[Epoch 2] lr=0.04 loss(train_avg)=4.6608 val_top1=10066/49920 (0.2016) val_top5=0.4225 val_loss=4.0402  [503.8s train, 9.4s val]
  step 10100/450360  loss=4.3024  lr=0.04037  (104.0ms/step avg)
  step 10200/450360  loss=4.2668  lr=0.04077  (104.0ms/step avg)
  step 10300/450360  loss=4.3714  lr=0.04117  (104.0ms/step avg)
  step 10400/450360  loss=4.208  lr=0.04157  (104.0ms/step avg)
  step 10500/450360  loss=4.409  lr=0.04197  (104.0ms/step avg)
  step 10600/450360  loss=4.1122  lr=0.04237  (104.0ms/step avg)
  step 10700/450360  loss=4.0752  lr=0.04277  (104.0ms/step avg)
  step 10800/450360  loss=4.3646  lr=0.04317  (104.0ms/step avg)
  step 10900/450360  loss=4.2442  lr=0.04357  (104.0ms/step avg)
  step 11000/450360  loss=4.35  lr=0.04396  (104.0ms/step avg)
  step 11100/450360  loss=4.2846  lr=0.04436  (104.0ms/step avg)
  step 11200/450360  loss=4.1801  lr=0.04476  (104.0ms/step avg)
  step 11300/450360  loss=4.0068  lr=0.04516  (104.0ms/step avg)
  step 11400/450360  loss=4.2656  lr=0.04556  (104.0ms/step avg)
  step 11500/450360  loss=4.426  lr=0.04596  (104.0ms/step avg)
  step 11600/450360  loss=4.1876  lr=0.04636  (104.0ms/step avg)
  step 11700/450360  loss=3.9517  lr=0.04676  (104.0ms/step avg)
  step 11800/450360  loss=4.307  lr=0.04716  (104.0ms/step avg)
  step 11900/450360  loss=4.0831  lr=0.04756  (104.0ms/step avg)
  step 12000/450360  loss=4.2449  lr=0.04796  (104.0ms/step avg)
  step 12100/450360  loss=4.1407  lr=0.04836  (104.0ms/step avg)
  step 12200/450360  loss=4.0212  lr=0.04876  (104.0ms/step avg)
  step 12300/450360  loss=4.2457  lr=0.04916  (104.0ms/step avg)
  step 12400/450360  loss=3.9747  lr=0.04956  (104.0ms/step avg)
  step 12500/450360  loss=4.1267  lr=0.04996  (104.0ms/step avg)
  step 12600/450360  loss=4.1934  lr=0.05036  (103.0ms/step avg)
  step 12700/450360  loss=3.889  lr=0.05076  (103.0ms/step avg)
  step 12800/450360  loss=4.1218  lr=0.05116  (103.0ms/step avg)
  step 12900/450360  loss=3.8017  lr=0.05156  (103.0ms/step avg)
  step 13000/450360  loss=4.0978  lr=0.05196  (103.0ms/step avg)
  step 13100/450360  loss=3.9972  lr=0.05236  (103.0ms/step avg)
  step 13200/450360  loss=4.0942  lr=0.05276  (103.0ms/step avg)
  step 13300/450360  loss=3.9439  lr=0.05316  (103.0ms/step avg)
  step 13400/450360  loss=4.0331  lr=0.05356  (103.0ms/step avg)
  step 13500/450360  loss=3.9955  lr=0.05396  (103.0ms/step avg)
  step 13600/450360  loss=4.1209  lr=0.05436  (103.0ms/step avg)
  step 13700/450360  loss=3.941  lr=0.05476  (103.0ms/step avg)
  step 13800/450360  loss=4.0003  lr=0.05516  (103.0ms/step avg)
  step 13900/450360  loss=3.7099  lr=0.05556  (103.0ms/step avg)
  step 14000/450360  loss=3.9509  lr=0.05596  (103.0ms/step avg)
  step 14100/450360  loss=3.8782  lr=0.05635  (103.0ms/step avg)
  step 14200/450360  loss=3.973  lr=0.05675  (103.0ms/step avg)
  step 14300/450360  loss=3.9343  lr=0.05715  (103.0ms/step avg)
  step 14400/450360  loss=3.964  lr=0.05755  (103.0ms/step avg)
  step 14500/450360  loss=3.8055  lr=0.05795  (103.0ms/step avg)
  step 14600/450360  loss=4.0057  lr=0.05835  (103.0ms/step avg)
  step 14700/450360  loss=3.9042  lr=0.05875  (103.0ms/step avg)
  step 14800/450360  loss=3.9911  lr=0.05915  (103.0ms/step avg)
  step 14900/450360  loss=4.0745  lr=0.05955  (103.0ms/step avg)
  step 15000/450360  loss=3.9116  lr=0.05995  (103.0ms/step avg)
  Running validation ...
[Epoch 3] lr=0.06 loss(train_avg)=4.0894 val_top1=15186/49920 (0.3042) val_top5=0.5649 val_loss=3.3596  [503.7s train, 9.4s val]
  step 15100/450360  loss=3.8391  lr=0.06035  (104.0ms/step avg)
  step 15200/450360  loss=3.8504  lr=0.06075  (104.0ms/step avg)
  step 15300/450360  loss=3.8903  lr=0.06115  (104.0ms/step avg)
  step 15400/450360  loss=3.8164  lr=0.06155  (104.0ms/step avg)
  step 15500/450360  loss=3.8463  lr=0.06195  (104.0ms/step avg)
  step 15600/450360  loss=3.9336  lr=0.06235  (104.0ms/step avg)
  step 15700/450360  loss=3.8122  lr=0.06275  (104.0ms/step avg)
  step 15800/450360  loss=4.0074  lr=0.06315  (104.0ms/step avg)
  step 15900/450360  loss=3.7929  lr=0.06355  (103.0ms/step avg)
  step 16000/450360  loss=3.7895  lr=0.06395  (103.0ms/step avg)
  step 16100/450360  loss=3.8097  lr=0.06435  (103.0ms/step avg)
  step 16200/450360  loss=3.9623  lr=0.06475  (103.0ms/step avg)
  step 16300/450360  loss=3.735  lr=0.06515  (103.0ms/step avg)
  step 16400/450360  loss=3.6043  lr=0.06555  (103.0ms/step avg)
  step 16500/450360  loss=3.8392  lr=0.06595  (103.0ms/step avg)
  step 16600/450360  loss=3.7692  lr=0.06635  (103.0ms/step avg)
  step 16700/450360  loss=3.7927  lr=0.06675  (103.0ms/step avg)
  step 16800/450360  loss=3.8065  lr=0.06715  (103.0ms/step avg)
  step 16900/450360  loss=3.861  lr=0.06755  (103.0ms/step avg)
  step 17000/450360  loss=3.818  lr=0.06795  (103.0ms/step avg)
  step 17100/450360  loss=3.8895  lr=0.06835  (103.0ms/step avg)
  step 17200/450360  loss=3.8402  lr=0.06875  (103.0ms/step avg)
  step 17300/450360  loss=3.9098  lr=0.06914  (103.0ms/step avg)
  step 17400/450360  loss=3.5942  lr=0.06954  (103.0ms/step avg)
  step 17500/450360  loss=3.8428  lr=0.06994  (103.0ms/step avg)
  step 17600/450360  loss=3.6271  lr=0.07034  (103.0ms/step avg)
  step 17700/450360  loss=3.918  lr=0.07074  (103.0ms/step avg)
  step 17800/450360  loss=3.7754  lr=0.07114  (103.0ms/step avg)
  step 17900/450360  loss=3.7752  lr=0.07154  (103.0ms/step avg)
  step 18000/450360  loss=3.8338  lr=0.07194  (103.0ms/step avg)
  step 18100/450360  loss=3.72  lr=0.07234  (103.0ms/step avg)
  step 18200/450360  loss=3.571  lr=0.07274  (103.0ms/step avg)
  step 18300/450360  loss=3.6966  lr=0.07314  (103.0ms/step avg)
  step 18400/450360  loss=3.7678  lr=0.07354  (103.0ms/step avg)
  step 18500/450360  loss=3.6515  lr=0.07394  (103.0ms/step avg)
  step 18600/450360  loss=3.807  lr=0.07434  (103.0ms/step avg)
  step 18700/450360  loss=3.7351  lr=0.07474  (103.0ms/step avg)
  step 18800/450360  loss=3.6926  lr=0.07514  (103.0ms/step avg)
  step 18900/450360  loss=3.5926  lr=0.07554  (103.0ms/step avg)
  step 19000/450360  loss=3.9429  lr=0.07594  (103.0ms/step avg)
  step 19100/450360  loss=3.8194  lr=0.07634  (103.0ms/step avg)
  step 19200/450360  loss=3.7543  lr=0.07674  (103.0ms/step avg)
  step 19300/450360  loss=3.816  lr=0.07714  (103.0ms/step avg)
  step 19400/450360  loss=3.5291  lr=0.07754  (103.0ms/step avg)
  step 19500/450360  loss=3.6933  lr=0.07794  (103.0ms/step avg)
  step 19600/450360  loss=3.6378  lr=0.07834  (103.0ms/step avg)
  step 19700/450360  loss=3.7239  lr=0.07874  (103.0ms/step avg)
  step 19800/450360  loss=3.8382  lr=0.07914  (103.0ms/step avg)
  step 19900/450360  loss=3.6419  lr=0.07954  (103.0ms/step avg)
  step 20000/450360  loss=3.8916  lr=0.07994  (103.0ms/step avg)
  Running validation ...
[Epoch 4] lr=0.08 loss(train_avg)=3.8016 val_top1=15456/49920 (0.3096) val_top5=0.571 val_loss=3.3088  [503.9s train, 9.4s val]
  step 20100/450360  loss=3.645  lr=0.08034  (103.0ms/step avg)
  step 20200/450360  loss=3.7053  lr=0.08074  (103.0ms/step avg)
  step 20300/450360  loss=3.843  lr=0.08114  (103.0ms/step avg)
  step 20400/450360  loss=3.7288  lr=0.08153  (103.0ms/step avg)
  step 20500/450360  loss=3.7232  lr=0.08193  (103.0ms/step avg)
  step 20600/450360  loss=3.6231  lr=0.08233  (103.0ms/step avg)
  step 20700/450360  loss=3.7569  lr=0.08273  (103.0ms/step avg)
  step 20800/450360  loss=3.6894  lr=0.08313  (103.0ms/step avg)
  step 20900/450360  loss=3.8323  lr=0.08353  (103.0ms/step avg)
  step 21000/450360  loss=3.651  lr=0.08393  (103.0ms/step avg)
  step 21100/450360  loss=3.8242  lr=0.08433  (103.0ms/step avg)
  step 21200/450360  loss=3.651  lr=0.08473  (103.0ms/step avg)
  step 21300/450360  loss=3.763  lr=0.08513  (103.0ms/step avg)
  step 21400/450360  loss=3.6638  lr=0.08553  (103.0ms/step avg)
  step 21500/450360  loss=3.7995  lr=0.08593  (103.0ms/step avg)
  step 21600/450360  loss=3.6769  lr=0.08633  (103.0ms/step avg)
  step 21700/450360  loss=3.6839  lr=0.08673  (103.0ms/step avg)
  step 21800/450360  loss=3.6669  lr=0.08713  (103.0ms/step avg)
