net	variant	prec	arm	bs	workers	med_ms	min_ms	p90_ms	mean_ms	wait_ms	steps_ep	elapsed_s	note
r34	momdp64	f32	fed	64	8	220	216	223	220	4	5004	242	
r34	momdp64bf16	bf16	fed	64	8	169	146	179	169	23	5004	217	
r34	momdp64	f32	synth	64	8	217	215	218	217	2	5004	156	
r34	momdp64bf16	bf16	synth	64	8	144	142	145	144	2	5004	129	
r50	momdp64	f32	fed	64	8	352	351	355	352	1	5004	340	
r50	momdp64bf16	bf16	fed	64	8	230	227	234	230	3	5004	293	
r50	momdp64	f32	synth	64	8	352	350	353	352	2	5004	257	
r50	momdp64bf16	bf16	synth	64	8	227	224	227	226	3	5004	206	
mnv2	adamdp64	f32	fed	64	8	169	142	183	169	27	5004	196	
mnv2	adamdp64bf16	bf16	fed	64	8	104	79	135	110	25	5004	186	
mnv2	adamdp64	f32	synth	64	8	142	140	143	142	2	5004	112	
mnv2	adamdp64bf16	bf16	synth	64	8	78	76	79	77	2	5004	98	
mnv4	adamdp64	f32	fed	64	8	164	155	171	164	9	5004	206	
mnv4	adamdp64bf16	bf16	fed	64	8	112	98	355	157	14	5004	241	
mnv4	adamdp64	f32	synth	64	8	151	149	151	150	2	5004	120	
mnv4	adamdp64bf16	bf16	synth	64	8	87	85	88	86	2	5004	124	
enet	rmsdp64	f32	fed	64	8	164	160	294	195	4	5004	235	
enet	rmsdp64bf16	bf16	fed	64	8	99	93	502	193	6	5004	259	
enet	rmsdp64	f32	synth	64	8	159	157	160	158	2	5004	127	
enet	rmsdp64bf16	bf16	synth	64	8	92	90	93	92	2	5004	116	
cnx	adamdpwxclipdrop	f32	fed	32	8	212	210	213	211	2	10009	226	
cnx	adamdpwxclipdropbf16	bf16	fed	32	8	119	116	120	118	3	10009	181	
cnx	adamdpwxclipdrop	f32	synth	32	8	215	211	216	214	4	10009	151	
cnx	adamdpwxclipdropbf16	bf16	synth	32	8	119	116	120	118	3	10009	103	
vit	adamdp128x4wxclipdrop	f32	fed	128	8	234	230	1248	371	4	2502	329	
vit	adamdp128x4wxclipdropbf16	bf16	fed	128	8	155	152	1696	360	3	2502	325	
vit	adamdp128x4wxclipdrop	f32	synth	128	8	231	228	233	231	3	2502	163	
vit	adamdp128x4wxclipdropbf16	bf16	synth	128	8	152	148	154	152	4	2502	113	
