sigma,img_idx,label,pred,abstain,radius
0.250000,0,3,8,0,0.043842
0.250000,50,9,9,0,0.800447
0.250000,100,4,5,1,0.000000
0.250000,150,8,1,1,0.000000
0.250000,200,5,7,1,0.000000
0.250000,250,5,7,0,0.369395
0.250000,300,6,6,0,0.569415
0.250000,350,9,9,0,0.643157
0.250000,400,9,9,0,0.800447
0.250000,450,2,1,1,0.000000
0.250000,500,4,6,0,0.473506
0.250000,550,5,3,0,0.003419
0.250000,600,8,3,0,0.192471
0.250000,650,3,3,0,0.010245
0.250000,700,7,7,0,0.800447
0.250000,750,9,9,0,0.800447
0.250000,800,7,7,0,0.800447
0.250000,850,7,3,0,0.256861
0.250000,900,2,6,0,0.177096
0.250000,950,3,3,0,0.220951
0.250000,1000,5,5,0,0.735698
0.250000,1050,3,5,0,0.184153
0.250000,1100,7,8,0,0.671255
0.250000,1150,2,7,0,0.132564
0.250000,1200,8,8,0,0.221139
0.250000,1250,7,7,0,0.097202
0.250000,1300,4,6,1,0.000000
0.250000,1350,4,6,1,0.000000
0.250000,1400,5,3,1,0.000000
0.250000,1450,2,7,0,0.007637
0.250000,1500,1,1,0,0.157979
0.250000,1550,6,6,0,0.192982
0.250000,1600,8,9,0,0.779312
0.250000,1650,5,5,0,0.800447
0.250000,1700,5,3,1,0.000000
0.250000,1750,8,8,0,0.696423
0.250000,1800,4,2,0,0.061815
0.250000,1850,1,9,0,0.358653
0.250000,1900,8,8,0,0.800447
0.250000,1950,5,5,0,0.063489
0.250000,2000,1,6,0,0.593384
0.250000,2050,8,8,0,0.800447
0.250000,2100,2,6,0,0.259366
0.250000,2150,9,9,0,0.611035
0.250000,2200,0,2,0,0.447761
0.250000,2250,7,7,0,0.028251
0.250000,2300,3,3,1,0.000000
0.250000,2350,3,9,1,0.000000
0.250000,2400,0,0,0,0.198055
0.250000,2450,1,1,1,0.000000
0.250000,2500,4,6,0,0.170981
0.250000,2550,4,4,0,0.476394
0.250000,2600,8,8,0,0.800447
0.250000,2650,5,9,0,0.647598
0.250000,2700,9,9,0,0.800447
0.250000,2750,5,5,0,0.800447
0.250000,2800,4,6,0,0.066264
0.250000,2850,5,5,0,0.696423
0.250000,2900,3,5,0,0.017830
0.250000,2950,1,9,0,0.166936
