sigma,img_idx,delta,dg,bound,ratio
0.120000,0,0.100000,0.000000,0.833333,0.000000
0.120000,0,0.200000,0.000000,1.666667,0.000000
0.120000,0,0.300000,0.000000,2.500000,0.000000
0.120000,0,0.500000,0.000000,4.166667,0.000000
0.120000,0,0.750000,0.000000,6.250000,0.000000
0.120000,0,1.000000,0.000000,8.333333,0.000000
0.120000,250,0.100000,0.000000,0.833333,0.000000
0.120000,250,0.200000,0.000000,1.666667,0.000000
0.120000,250,0.300000,0.000000,2.500000,0.000000
0.120000,250,0.500000,0.000000,4.166667,0.000000
0.120000,250,0.750000,0.000000,6.250000,0.000000
0.120000,250,1.000000,0.000000,8.333333,0.000000
0.120000,500,0.100000,0.000000,0.833333,0.000000
0.120000,500,0.200000,0.000000,1.666667,0.000000
0.120000,500,0.300000,0.000000,2.500000,0.000000
0.120000,500,0.500000,0.000000,4.166667,0.000000
0.120000,500,0.750000,0.000000,6.250000,0.000000
0.120000,500,1.000000,0.000000,8.333333,0.000000
0.120000,750,0.100000,0.000000,0.833333,0.000000
0.120000,750,0.200000,0.000000,1.666667,0.000000
0.120000,750,0.300000,0.000000,2.500000,0.000000
0.120000,750,0.500000,0.000000,4.166667,0.000000
0.120000,750,0.750000,0.000000,6.250000,0.000000
0.120000,750,1.000000,0.000000,8.333333,0.000000
0.120000,1000,0.100000,0.000000,0.833333,0.000000
0.120000,1000,0.200000,0.000000,1.666667,0.000000
0.120000,1000,0.300000,0.000000,2.500000,0.000000
0.120000,1000,0.500000,0.000000,4.166667,0.000000
0.120000,1000,0.750000,0.000000,6.250000,0.000000
0.120000,1000,1.000000,0.000000,8.333333,0.000000
0.120000,1250,0.100000,0.000000,0.833333,0.000000
0.120000,1250,0.200000,0.000000,1.666667,0.000000
0.120000,1250,0.300000,0.000000,2.500000,0.000000
0.120000,1250,0.500000,0.000000,4.166667,0.000000
0.120000,1250,0.750000,0.000000,6.250000,0.000000
0.120000,1250,1.000000,0.000000,8.333333,0.000000
0.120000,1500,0.100000,0.100634,0.833333,0.120761
0.120000,1500,0.200000,0.124031,1.666667,0.074419
0.120000,1500,0.300000,0.234050,2.500000,0.093620
0.120000,1500,0.500000,0.148846,4.166667,0.035723
0.120000,1500,0.750000,0.066375,6.250000,0.010620
0.120000,1500,1.000000,0.100634,8.333333,0.012076
0.120000,1750,0.100000,0.000000,0.833333,0.000000
0.120000,1750,0.200000,0.000000,1.666667,0.000000
0.120000,1750,0.300000,0.000000,2.500000,0.000000
0.120000,1750,0.500000,0.000000,4.166667,0.000000
0.120000,1750,0.750000,0.000000,6.250000,0.000000
0.120000,1750,1.000000,0.000000,8.333333,0.000000
0.120000,2000,0.100000,0.000000,0.833333,0.000000
0.120000,2000,0.200000,0.000000,1.666667,0.000000
0.120000,2000,0.300000,0.000000,2.500000,0.000000
0.120000,2000,0.500000,0.000000,4.166667,0.000000
0.120000,2000,0.750000,0.000000,6.250000,0.000000
0.120000,2000,1.000000,0.000000,8.333333,0.000000
0.120000,2250,0.100000,0.000000,0.833333,0.000000
0.120000,2250,0.200000,0.000000,1.666667,0.000000
0.120000,2250,0.300000,0.000000,2.500000,0.000000
0.120000,2250,0.500000,0.000000,4.166667,0.000000
0.120000,2250,0.750000,0.000000,6.250000,0.000000
0.120000,2250,1.000000,0.000000,8.333333,0.000000
0.120000,2500,0.100000,0.000000,0.833333,0.000000
0.120000,2500,0.200000,0.000000,1.666667,0.000000
0.120000,2500,0.300000,0.000000,2.500000,0.000000
0.120000,2500,0.500000,0.000000,4.166667,0.000000
0.120000,2500,0.750000,0.000000,6.250000,0.000000
0.120000,2500,1.000000,0.000000,8.333333,0.000000
0.120000,2750,0.100000,0.000000,0.833333,0.000000
0.120000,2750,0.200000,0.000000,1.666667,0.000000
0.120000,2750,0.300000,0.000000,2.500000,0.000000
0.120000,2750,0.500000,0.000000,4.166667,0.000000
0.120000,2750,0.750000,0.000000,6.250000,0.000000
0.120000,2750,1.000000,0.000000,8.333333,0.000000
0.120000,3000,0.100000,0.000000,0.833333,0.000000
0.120000,3000,0.200000,0.000000,1.666667,0.000000
0.120000,3000,0.300000,0.000000,2.500000,0.000000
