epoch,top1,top5
5,1.404,5.080
15,15.024,33.126
25,33.470,58.434
35,45.016,70.400
45,50.570,75.758
55,53.994,78.420
65,56.288,80.160
75,57.592,81.572
85,58.882,82.370
95,59.766,83.214
105,60.630,83.886
115,61.560,84.624
125,62.512,85.218
135,63.182,85.706
145,63.810,86.204
155,64.390,86.572
165,65.152,87.014
175,65.742,87.330
185,66.302,87.690
195,66.812,87.962
205,67.316,88.344
215,67.800,88.706
225,68.252,88.972
235,68.802,89.188
245,69.152,89.444
255,69.526,89.630
265,69.754,89.746
275,69.976,89.850
285,70.236,89.958
295,70.286,89.976
